Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	300000.009	300000.009	300000.009	300000.009	0	0	0	0	0.440922	0	0	3
2	1	0	0.05	300000.003	300000.006	300000.003	300000.009	0.00295437139	0	0	0	0.155445	0	0	3
3	1	0	0.075	300000.002	300000.005	300000.002	300000.009	0.00454740343	0	0	0	0.170167	0	0	3
4	1	0	0.1	300000.001	300000.004	300000.001	300000.009	0.00550043723	0	0	0	0.225014	0	0	3
5	1	0	0.125	300000	300000.003	300000	300000.009	0.00626604795	0	0	0	0.189297	0	0	3
6	1	0	0.15	300000	300000.003	300000	300000.009	0.0067644493	0	0	0	0.136742	0	0	3
7	1	0	0.175	300000	300000.002	300000	300000.009	0.00709338806	0	0	0	0.0583124	0	0	3
8	1	0	0.2	300000	300000.002	300000	300000.009	0.00734182657	0	0	0	0.027482	0	0	3
9	1	0	0.225	300000	300000.002	300000	300000.009	0.00753322919	0	0	0	0.021692	0	0	3
10	1	0	0.25	300000	300000.002	300000	300000.009	0.00768837571	0	0	0	0.0185192	0	0	3
11	2	0	0.275	300000	300000.001	300000	300000.009	0.00781884108	0	0	0	0.0166529	0	0	3
12	2	0	0.3	300000	300000.001	300000	300000.009	0.00793243555	0	0	0	0.0134573	0	0	3
13	2	0	0.325	300000	300000.001	300000	300000.009	0.00803086796	0	0	0	0.0102282	0	0	3
14	2	0	0.35	300000	300000.001	300000	300000.009	0.00811724929	0	0	0	0.00769198	0	0	3
15	2	0	0.375	300000	300000.001	300000	300000.009	0.00819351128	0	0	0	0.0056646	0	0	3
16	2	0	0.4	300000	300000.001	300000	300000.009	0.00826070731	0	0	0	0.00432052	0	0	3
17	2	0	0.425	300000	300000.001	300000	300000.009	0.00832061114	0	0	0	0.00325265	0	0	3
18	2	0	0.45	300000	300000.001	300000	300000.009	0.00837412837	0	0	0	0.00259445	0	0	3
19	2	0	0.475	300000	300000.001	300000	300000.009	0.00842234772	0	0	0	0.00223002	0	0	3
20	2	0	0.5	300000	300000.001	300000	300000.009	0.0084658658	0	0	0	0.00198351	0	0	3
21	2	0	0.525	300000	300000	300000	300000.003	0.00341974804	0	0	0	0.00182676	0	0	3
22	2	0	0.55	300000	300000	300000	300000.002	0.00159502332	0	0	0	0.00167241	0	0	3
23	2	0	0.575	300000	300000	300000	300000.001	0.000968952023	0	0	0	0.00154858	0	0	3
24	2	0	0.6	300000	300000	300000	300000	0.000264040602	0	0	0	0.00143585	0	0	3
25	2	0	0.625	300000	300000	300000	300000	0.000232823484	0	0	0	0.00137118	0	0	3
26	2	0	0.65	300000	300000	300000	300000	0.00023315131	0	0	0	0.00133106	0	0	3
27	2	0	0.675	300000	300000	300000	300000	0.000233297586	0	0	0	0.0012895	0	0	3
28	3	0	0.7	300000	300000	300000	300000	0.000233822095	0	0	0	0.00125305	0	0	3
29	3	0	0.725	300000	300000	300000	300000	0.000214218686	0	0	0	0.00121374	0	0	3
30	3	0	0.75	300000	300000	300000	300000	0.000175750291	0	0	0	0.00118066	0	0	3
31	3	0	0.775	300000	300000	300000	300000	0.000117554097	0	0	0	0.00115943	0	0	3
32	3	0	0.8	300000	300000	300000	300000	8.76784907e-05	0	0	0	0.00113856	0	0	3
33	3	0	0.825	300000	300000	300000	300000	5.97473118e-05	0	0	0	0.00111858	0	0	3
34	3	0	0.85	300000	300000	300000	300000	3.91018693e-05	0	0	0	0.00110208	0	0	3
35	3	0	0.875	300000	300000	300000	300000	3.18437815e-05	0	0	0	0.0010825	0	0	3
36	3	0	0.9	300000	300000	300000	300000	2.15415494e-05	0	0	0	0.00107119	0	0	3
37	3	0	0.925	300000	300000	300000	300000	1.67360413e-05	0	0	0	0.00105784	0	0	3
38	3	0	0.95	300000	300000	300000	300000	1.04439678e-05	0	0	0	0.0010459	0	0	3
39	3	0	0.975	300000	300000	300000	300000	8.0288155e-06	0	0	0	0.00103617	0	0	3
40	3	0	1	300000	300000	300000	300000	6.54277392e-06	0.003	0	100	0.00102702	0	0	3
41	3	0	1.025	300000	300000	300000	300000	5.74847218e-06	0.003	0	100	0.00101888	0	0	3
42	3	0	1.05	300000	300000	300000	300000	4.9439841e-06	0.003	0	100	0.0010128	0	0	3
43	4	0	1.075	300000	300000	300000	300000	4.96685971e-06	0.003	0	100	0.00100459	0	0	3
44	4	0	1.1	300000	300000	300000	300000	5.10801328e-06	0.003	0	100	0.000998673	0	0	3
45	4	0	1.125	300000	300000	300000	300000	3.96178802e-06	0.003	0	100	0.000985255	0	0	3
46	4	0	1.15	300000	300000	300000	300000	3.67645407e-06	0.003	0	100	0.0009797	0	0	3
47	4	0	1.175	300000	300000	300000	300000	3.81824793e-06	0.003	0	100	0.000972451	0	0	3
48	4	0	1.2	300000	300000	300000	300000	3.75835225e-06	0.003	0	100	0.00096229	0	0	3
49	4	0	1.225	300000	300000	300000	300000	3.57965473e-06	0.003	0	100	0.000953267	0	0	3
50	4	0	1.25	300000	300000	300000	300000	3.54548683e-06	0.003	0	100	0.000947444	0	0	3
51	4	0	1.275	300000	300000	300000	300000	3.64863081e-06	0.003	0	100	0.000936603	0	0	3
52	4	0	1.3	300000	300000	300000	300000	3.78920231e-06	0.003	0	100	0.000928206	0	0	3
