Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.20034	293.20034	293.20034	293.20034	0	0	0	0	206.8	0	0	3
2	1	0	0.05	293.200683	293.200512	293.20034	293.200683	0.000171441443	0	0	0	206.8	0	0	3
3	1	0	0.075	293.201036	293.200687	293.20034	293.201036	0.000346288627	0	0	0	206.8	0	0	3
4	1	0	0.1	293.201368	293.200857	293.20034	293.201368	0.000516552221	0	0	0	206.8	0	0	3
5	1	0	0.125	293.201727	293.201031	293.20034	293.201727	0.000690681692	0	0	0	206.8	0	0	3
6	1	0	0.15	293.20263	293.201297	293.20034	293.20263	0.000957108814	0	0	0	206.8	0	0	3
7	1	0	0.175	293.208034	293.20226	293.20034	293.208034	0.00191945952	0	0	0	206.8	0	0	3
8	1	0	0.2	293.286306	293.212765	293.20034	293.286306	0.0124252298	0	0	0	206.8	0	0	3
9	1	0	0.225	294.781999	293.387125	293.20034	294.781999	0.186784471	0	0	0	206.8	0	0	3
10	1	0	0.25	300.172029	294.065615	293.20034	300.172029	0.865274942	0	0	0	206.77	0	0	3
11	2	0	0.275	305.972523	295.148061	293.20034	305.972523	1.9477211	0	0	0	206.719	0	0	3
12	2	0	0.3	310.612116	296.436733	293.20034	310.612116	3.23639231	0	0	0	206.671	0	0	3
13	2	0	0.325	314.676731	297.839809	293.20034	314.676731	4.63946908	0	0	0	206.627	0	0	3
14	2	0	0.35	318.4796	299.31408	293.20034	318.4796	6.11373981	0	0	0	206.581	0	0	3
15	2	0	0.375	322.268035	300.844344	293.20034	322.268035	7.64400347	0	0	0	206.529	0	0	3
16	2	0	0.4	327.583555	302.515544	293.20034	327.583555	9.31520415	0	0	0	206.433	0	0	3
17	2	0	0.425	332.691763	304.290616	293.20034	332.691763	11.0902758	0	0	0	206.3	0	0	3
18	2	0	0.45	337.84472	306.154733	293.20034	337.84472	12.9543927	0	0	0	206.105	0	0	3
19	2	0	0.475	343.142348	308.10145	293.20034	343.142348	14.9011093	0	0	0	205.809	0	0	3
20	2	0	0.5	349.147012	310.153728	293.20034	349.147012	16.9533874	0	0	0	205.345	0	0	3
21	2	0	0.525	359.242851	313.455853	293.200683	359.242851	20.2553415	0	0	0	204.074	0	0	3
22	2	0	0.55	370.820514	317.336845	293.201036	370.820514	24.1361582	0	0	0	201.569	0	0	3
23	2	0	0.575	383.247761	321.839181	293.201368	383.247761	28.6383242	0	0	0	197.587	0	0	3
24	2	0	0.6	393.65968	326.862097	293.201727	393.65968	33.6610657	0	0	0	192.985	0	0	3
25	2	0	0.625	403.553315	332.379676	293.20263	403.553315	39.1783786	0	0	0	187.217	0	0	3
26	2	0	0.65	416.429014	338.540995	293.208034	416.429014	45.3387355	0	0	0	177.076	0	0	3
27	2	0	0.675	428.574745	345.309331	293.286306	428.574745	52.0965653	0	0	0	164.76	0	0	3
28	3	0	0.7	438.619054	352.575968	294.781999	438.619054	59.1888435	0	0	0	151.702	0	0	3
29	3	0	0.725	447.461499	360.209943	300.172029	447.461499	66.144328	0	0	0	138.314	0	0	3
30	3	0	0.75	455.284772	367.96558	305.972523	455.284772	72.817519	0	0	0	124.105	0	0	3
31	3	0	0.775	464.883039	375.911106	310.612116	464.883039	79.4743736	0	0	0	103.623	0	0	3
32	3	0	0.8	472.439223	384.002461	314.676731	472.439223	86.1626521	0	0	0	85.7453	0	0	3
33	3	0	0.825	478.689013	392.203076	318.4796	478.689013	92.8889955	0	0	0	69.2247	0	0	3
34	3	0	0.85	483.362888	400.44724	322.268035	483.362888	99.6028963	0	0	0	56.0384	0	0	3
35	3	0	0.875	487.075926	408.687635	327.583555	487.075926	106.17209	0	0	0	44.9673	0	0	3
36	3	0	0.9	490.993409	416.858127	332.691763	490.993409	112.567511	0	0	0	32.3323	0	0	3
37	3	0	0.925	493.770387	424.912059	337.84472	493.770387	118.757326	0	0	0	22.96	0	0	3
38	3	0	0.95	495.60023	432.799834	343.142348	495.60023	124.698384	0	0	0	16.5285	0	0	3
39	3	0	0.975	496.909924	440.488213	349.147012	496.909924	130.334485	0	0	0	11.7991	0	0	3
40	3	0	1	497.804064	447.921065	359.242851	497.804064	134.465212	30.6904541	0	22.8	8.55924	0	0	3
41	3	0	1.025	498.632061	454.890526	370.820514	498.632061	127.811547	30.8146537	0	24.1	5.4159	0	0	3
42	3	0	1.05	499.112351	461.305118	383.247761	499.112351	115.86459	30.8506754	0	26.6	3.57909	0	0	3
43	4	0	1.075	499.442098	467.114835	393.65968	499.442098	105.782418	30.8791535	0	29.1	2.27657	0	0	3
44	4	0	1.1	499.63871	468.663591	393.65968	499.63871	105.979031	30.900752	0	29.1	1.49452	0	0	3
45	4	0	1.125	499.764394	473.716196	403.553315	499.764394	96.2110784	30.9174545	0	32.1	0.983809	0	0	3
46	4	0	1.15	499.845605	478.301543	416.429014	499.845605	83.4165906	30.9306198	0	37	0.650251	0	0	3
47	4	0	1.175	499.898791	482.276294	428.574745	499.898791	71.3240458	30.9410475	0	43.3	0.428982	0	0	3
