"Time Sec","Position mm","100 kN kN","Cycle"
0.,48.1192,-0.00653863,1
0.02,48.107,-0.00668764,1
0.04,48.0868,-0.00141859,1
0.06,48.0647,-0.602007E-3,1
0.08,48.0464,-0.685453E-3,1
0.1,48.0261,0.00597239,1
0.12,48.0057,0.00673533,1
0.14,47.9848,-0.0119269,1
0.16,47.9662,-0.00702143,1
0.18,47.9444,-0.0254333,1
0.2,47.9265,-0.0215232,1
0.22,47.9041,-0.0560522,1
0.24,47.8839,-0.0798523,1
0.26,47.865,-0.0962973,1
0.28,47.8464,-0.128329,1
0.3,47.8231,-0.168997,1
0.32,47.8057,-0.201035,1
0.34,47.7861,-0.223625,1
0.36,47.7639,-0.281864,1
0.38,47.7444,-0.248814,1
0.4,47.7266,-0.249398,1
0.42,47.7048,-0.248802,1
0.44,47.6818,-0.263608,1
0.46,47.6652,-0.237411,1
0.48,47.6448,-0.228149,1
0.5,47.6234,-0.257629,1
0.52,47.6037,-0.245845,1
0.54,47.5845,-0.252438,1
0.56,47.5643,-0.250888,1
0.58,47.5424,-0.248492,1
0.6,47.5245,-0.235438,1
0.62,47.5044,-0.245994,1
0.64,47.4827,-0.252336,1
0.66,47.4644,-0.2482,1
0.68,47.4444,-0.238127,1
0.7,47.4226,-0.237763,1
0.72,47.4038,-0.243956,1
0.74,47.3835,-0.243801,1
0.76,47.3618,-0.234032,1
0.78,47.3444,-0.234097,1
0.8,47.3236,-0.234157,1
0.82,47.3028,-0.253248,1
0.84,47.2829,-0.260448,1
0.86,47.2641,-0.251651,1
0.88,47.2429,-0.244337,1
0.9,47.2223,-0.252414,1
0.92,47.2027,-0.247717,1
0.94,47.1834,-0.241965,1
0.96,47.1618,-0.248963,1
0.98,47.1428,-0.237036,1
1.,47.1231,-0.235003,1
1.02,47.1022,-0.239241,1
1.04,47.0819,-0.260562,1
1.06,47.0631,-0.242168,1
1.08,47.0426,-0.247991,1
1.1,47.0208,-0.247949,1
1.12,47.0032,-0.234395,1
1.14,46.9836,-0.229657,1
1.16,46.962,-0.247633,1
1.18,46.941,-0.25239,1
1.2,46.9227,-0.232023,1
1.22,46.9015,-0.246024,1
1.24,46.8805,-0.238007,1
1.26,46.8634,-0.239831,1
1.28,46.8428,-0.238574,1
1.3,46.8218,-0.241154,1
1.32,46.8028,-0.238669,1
1.34,46.7836,-0.219542,1
1.36,46.7619,-0.243026,1
1.38,46.7418,-0.231236,1
1.4,46.7218,-0.23123,1
1.42,46.7009,-0.226933,1
1.44,46.6803,-0.224316,1
1.46,46.6641,-0.207162,1
1.48,46.6413,-0.222319,1
1.5,46.6208,-0.214481,1
1.52,46.6019,-0.224042,1
1.54,46.582,-0.211984,1
1.56,46.5609,-0.227839,1
1.58,46.5423,-0.217986,1
1.6,46.5234,-0.213456,1
1.62,46.5015,-0.215846,1
1.64,46.4815,-0.206572,1
1.66,46.4615,-0.220162,1
1.68,46.4407,-0.215727,1
1.7,46.422,-0.221568,1
1.72,46.402,-0.216442,1
1.74,46.382,-0.216627,1
1.76,46.3596,-0.22974,1
1.78,46.3411,-0.219423,1
1.8,46.3222,-0.222474,1
1.82,46.3001,-0.239545,1
1.84,46.2819,-0.256121,1
1.86,46.2617,-0.274754,1
1.88,46.242,-0.288206,1
1.9,46.2207,-0.293159,1
1.92,46.2019,-0.280726,1
1.94,46.1822,-0.284815,1
1.96,46.1604,-0.29034,1
1.98,46.1429,-0.279605,1
2.,46.1217,-0.28764,1
2.02,46.1006,-0.284612,1
2.04,46.0817,-0.280499,1
2.06,46.0626,-0.283808,1
2.08,46.0414,-0.296795,1
2.1,46.0197,-0.296855,1
2.12,46.0012,-0.293696,1
2.14,45.982,-0.288773,1
2.16,45.9598,-0.298494,1
2.18,45.9434,-0.298208,1
2.2,45.9194,-0.318253,1
2.22,45.9004,-0.316763,1
2.24,45.8812,-0.305647,1
2.26,45.8594,-0.299901,1
2.28,45.8418,-0.310302,1
2.3,45.8212,-0.311124,1
2.32,45.8007,-0.323856,1
2.34,45.7798,-0.325745,1
2.36,45.7612,-0.324798,1
2.38,45.7416,-0.322843,1
2.4,45.7215,-0.326175,1
2.42,45.7026,-0.342983,1
2.44,45.6801,-0.337273,1
2.46,45.6605,-0.340348,1
2.48,45.6408,-0.33834,1
2.5,45.6205,-0.336474,1
2.52,45.6003,-0.341004,1
2.54,45.5809,-0.360072,1
2.56,45.5599,-0.354314,1
2.58,45.5413,-0.347656,1
2.6,45.5207,-0.340158,1
2.62,45.5011,-0.357789,1
2.64,45.4817,-0.355095,1
2.66,45.4582,-0.353783,1
2.68,45.4429,-0.35302,1
2.7,45.4215,-0.37815,1
2.72,45.4003,-0.356674,1
2.74,45.3821,-0.371444,1
2.76,45.3609,-0.365382,1
2.78,45.3394,-0.367689,1
2.8,45.3202,-0.386179,1
2.82,45.3025,-0.383914,1
2.84,45.281,-0.378609,1
2.86,45.2606,-0.373894,1
2.88,45.241,-0.372589,1
2.9,45.221,-0.375766,1
2.92,45.2008,-0.390047,1
2.94,45.18,-0.391334,1
2.96,45.1614,-0.392663,1
2.98,45.142,-0.394875,1
3.,45.1206,-0.392801,1
3.02,45.103,-0.394011,1
3.04,45.0812,-0.390917,1
3.06,45.0589,-0.396085,1
3.08,45.0417,-0.393063,1
3.1,45.0207,-0.405663,1
3.12,45.0013,-0.399625,1
3.14,44.9807,-0.401855,1
3.16,44.9616,-0.397062,1
3.18,44.9409,-0.409985,1
3.2,44.9199,-0.41213,1
3.22,44.902,-0.40409,1
3.24,44.8814,-0.400174,1
3.26,44.8609,-0.405222,1
3.28,44.8411,-0.408459,1
3.3,44.8209,-0.408572,1
3.32,44.7992,-0.406265,1
3.34,44.7806,-0.404906,1
3.36,44.7631,-0.396967,1
3.38,44.7397,-0.407338,1
3.4,44.7208,-0.412118,1
3.42,44.7008,-0.406462,1
3.44,44.6805,-0.414819,1
3.46,44.6605,-0.426239,1
3.48,44.6407,-0.421166,1
3.5,44.6215,-0.416553,1
3.52,44.5991,-0.423247,1
3.54,44.5814,-0.422186,1
3.56,44.5626,-0.434685,1
3.58,44.5405,-0.438321,1
3.6,44.5209,-0.42966,1
3.62,44.5015,-0.42519,1
3.64,44.4805,-0.424439,1
3.66,44.4599,-0.424689,1
3.68,44.4409,-0.436533,1
3.7,44.4208,-0.437039,1
3.72,44.4002,-0.440061,1
3.74,44.3819,-0.442755,1
3.76,44.3591,-0.44511,1
