Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0183241542	0	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.0366483084	0	0	0	0	0	0	0	0	0	0	0	3
3	2	0	0.0549724626	0	0	0	0	0	0	0	0	0	0	0	3
4	2	0	0.0732966168	0	0	0	0	0	0	0	0	0	0	0	3
5	2	0	0.091620771	0	0	0	0	0	0	0	0	0	0	0	3
6	2	0	0.109944925	0	0	0	0	0	0	0	0	0	0	0	3
7	3	0	0.128269079	0	0	0	0	0	0	0	0	0	0	0	3
8	3	0	0.146593234	0	0	0	0	0	0	0	0	0	0	0	3
9	3	0	0.164917388	0	0	0	0	0	0	0	0	0	0	0	3
10	3	0	0.183241542	0	0	0	0	0	0	0	0	0	0	0	3
11	3	0	0.201565696	0	0	0	0	0	0	0	0	0	0	0	3
12	3	0	0.21988985	0	0	0	0	0	0	0	0	0	0	0	3
13	3	0	0.238214005	0	0	0	0	0	0	0	0	0	0	0	3
14	4	0	0.256538159	0	0	0	0	0	0	0	0	0	0	0	3
15	4	0	0.274862313	0	0	0	0	0	0	0	0	0	0	0	3
16	4	0	0.293186467	0	0	0	0	0	0	0	0	0	0	0	3
17	4	0	0.311510621	0	0	0	0	0	0	0	0	0	0	0	3
18	4	0	0.329834776	0	0	0	0	0	0	0	0	0	0	0	3
19	4	0	0.34815893	0	0	0	0	0	0	0	0	0	0	0	3
20	4	0	0.366483084	0	0	0	0	0	0	0	0	0	0	0	3
21	5	0	0.384807238	0	0	0	0	0	0	0	0	0	0	0	3
22	5	0	0.403131392	0	0	0	0	0	0	0	0	0	0	0	3
23	5	0	0.421455547	0	0	0	0	0	0	0	0	0	0	0	3
24	5	0	0.439779701	0	0	0	0	0	0	0	0	0	0	0	3
25	5	0	0.458103855	0	0	0	0	0	0	0	0	0	0	0	3
26	5	0	0.476428009	0	0	0	0	0	0	0	0	0	0	0	3
27	5	0	0.494752163	0	0	0	0	0	0	0	0	0	0	0	3
28	6	0	0.513076318	0	0	0	0	0	0	0	0	0	0	0	3
29	6	0	0.531400472	0	0	0	0	0	0	0	0	0	0	0	3
30	6	0	0.549724626	0	0	0	0	0	0	0	0	0	0	0	3
31	6	0	0.56804878	0	0	0	0	0	0	0	0	0	0	0	3
32	6	0	0.586372934	0	0	0	0	0	0	0	0	0	0	0	3
33	6	0	0.604697089	0	0	0	0	0	0	0	0	0	0	0	3
34	7	0	0.623021243	0	0	0	0	0	0	0	0	0	0	0	3
35	7	0	0.641345397	0	0	0	0	0	0	0	0	0	0	0	3
36	7	0	0.659669551	0	0	0	0	0	0	0	0	0	0	0	3
37	7	0	0.677993705	0	0	0	0	0	0	0	0	0	0	0	3
38	7	0	0.69631786	0	0	0	0	0	0	0	0	0	0	0	3
39	7	0	0.714642014	0	0	0	0	0	0	0	0	0	0	0	3
40	7	0	0.732966168	0	0	0	0	0	0	0	0	0	0	0	3
41	8	0	0.751290322	0	0	0	0	0	0	0	0	0	0	0	3
42	8	0	0.769614476	0	0	0	0	0	0	0	0	0	0	0	3
43	8	0	0.787938631	0	0	0	0	0	0	0	0	0	0	0	3
44	8	0	0.806262785	0	0	0	0	0	0	0	0	0	0	0	3
45	8	0	0.824586939	0	0	0	0	0	0	0	0	0	0	0	3
46	9	0	0.842911093	0	0	0	0	0	0	0	0	0	0	0	3
47	9	0	0.861235247	0	0	0	0	0	0	0	0	0	0	0	3
48	9	0	0.879559402	0	0	0	0	0	0	0	0	0	0	0	3
49	9	0	0.897883556	0	0	0	0	0	0	0	0	0	0	0	3
50	9	0	0.91620771	0	0	0	0	0	0	0	0	0	0	0	3
51	9	0	0.934531864	0	0	0	0	0	0	0	0	0	0	0	3
52	10	0	0.952856018	0	0	0	0	0	0	0	0	0	0	0	3
53	10	0	0.971180173	0	0	0	0	0	0	0	0	0	0	0	3
54	10	0	0.989504327	0	0	0	0	0	0	0	0	0	0	0	3
55	10	0	1.00782848	0	0	0	0	0	5e-06	0	100	0	0	0	3
56	10	0	1.02615264	0	0	0	0	0	5e-06	0	100	0	0	0	3
57	11	0	1.04447679	0	0	0	0	0	5e-06	0	100	0	0	0	3
58	11	0	1.06280094	0	0	0	0	0	5e-06	0	100	0	0	0	3
59	11	0	1.0811251	0	0	0	0	0	5e-06	0	100	0	0	0	3
60	11	0	1.09944925	0	0	0	0	0	5e-06	0	100	0	0	0	3
61	11	0	1.11777341	0	0	0	0	0	5e-06	0	100	0	0	0	3
62	12	0	1.13609756	0	0	0	0	0	5e-06	0	100	0	0	0	3
63	12	0	1.15442171	0	0	0	0	0	5e-06	0	100	0	0	0	3
64	12	0	1.17274587	0	0	0	0	0	5e-06	0	100	0	0	0	3
65	12	0	1.19107002	0	0	0	0	0	5e-06	0	100	0	0	0	3
66	13	0	1.20939418	0	0	0	0	0	5e-06	0	100	0	0	0	3
