Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0183241542
2	2	0	0.0366483084
3	2	0	0.0549724626
4	2	0	0.0732966168
5	2	0	0.091620771
6	2	0	0.109944925
7	3	0	0.128269079
8	3	0	0.146593234
9	3	0	0.164917388
10	3	0	0.183241542
11	3	0	0.201565696
12	3	0	0.21988985
13	3	0	0.238214005
14	4	0	0.256538159
15	4	0	0.274862313
16	4	0	0.293186467
17	4	0	0.311510621
18	4	0	0.329834776
19	4	0	0.34815893
20	4	0	0.366483084
21	5	0	0.384807238
22	5	0	0.403131392
23	5	0	0.421455547
24	5	0	0.439779701
25	5	0	0.458103855
26	5	0	0.476428009
27	5	0	0.494752163
28	6	0	0.513076318
29	6	0	0.531400472
30	6	0	0.549724626
31	6	0	0.56804878
32	6	0	0.586372934
33	6	0	0.604697089
34	7	0	0.623021243
35	7	0	0.641345397
36	7	0	0.659669551
37	7	0	0.677993705
38	7	0	0.69631786
39	7	0	0.714642014
40	7	0	0.732966168
41	8	0	0.751290322
42	8	0	0.769614476
43	8	0	0.787938631
44	8	0	0.806262785
45	8	0	0.824586939
46	9	0	0.842911093
47	9	0	0.861235247
48	9	0	0.879559402
49	9	0	0.897883556
50	9	0	0.91620771
51	9	0	0.934531864
52	10	0	0.952856018
53	10	0	0.971180173
54	10	0	0.989504327
55	10	0	1.00782848
56	10	0	1.02615264
57	11	0	1.04447679
58	11	0	1.06280094
59	11	0	1.0811251
60	11	0	1.09944925
61	11	0	1.11777341
62	12	0	1.13609756
63	12	0	1.15442171
64	12	0	1.17274587
65	12	0	1.19107002
66	13	0	1.20939418
67	13	0	1.22771833
68	13	0	1.24604249
69	13	0	1.26436664
70	13	0	1.28269079
71	14	0	1.30101495
72	14	0	1.3193391
73	14	0	1.33766326
74	14	0	1.35598741
75	14	0	1.37431156
76	14	0	1.39263572
77	15	0	1.41095987
78	15	0	1.42928403
79	15	0	1.44760818
80	15	0	1.46593234
81	16	0	1.48425649
82	16	0	1.50258064
83	16	0	1.5209048
84	16	0	1.53922895
85	16	0	1.55755311
86	17	0	1.57587726
87	17	0	1.59420142
88	17	0	1.61252557
89	17	0	1.63084972
90	17	0	1.64917388
91	18	0	1.66749803
92	18	0	1.68582219
93	18	0	1.70414634
94	18	0	1.72247049
95	18	0	1.74079465
96	19	0	1.7591188
97	19	0	1.77744296
98	19	0	1.79576711
99	19	0	1.81409127
100	19	0	1.83241542
101	20	0	1.85073957
102	20	0	1.86906373
103	20	0	1.88738788
104	20	0	1.90571204
105	21	0	1.92403619
106	21	0	1.94236035
107	21	0	1.9606845
108	21	0	1.97900865
109	22	0	1.99733281
110	22	0	2.01565696
111	22	0	2.03398112
112	22	0	2.05230527
113	22	0	2.07062942
114	23	0	2.08895358
115	23	0	2.10727773
116	23	0	2.12560189
117	23	0	2.14392604
118	24	0	2.1622502
119	24	0	2.18057435
120	24	0	2.1988985
121	24	0	2.21722266
122	25	0	2.23554681
123	25	0	2.25387097
124	25	0	2.27219512
125	25	0	2.29051927
126	25	0	2.30884343
127	26	0	2.32716758
128	26	0	2.34549174
129	26	0	2.36381589
130	26	0	2.38214005
131	26	0	2.4004642
132	27	0	2.41878835
133	27	0	2.43711251
134	27	0	2.45543666
135	27	0	2.47376082
136	27	0	2.49208497
137	28	0	2.51040913
138	28	0	2.52873328
139	28	0	2.54705743
140	28	0	2.56538159
141	28	0	2.58370574
142	28	0	2.6020299
143	29	0	2.62035405
144	29	0	2.6386782
145	29	0	2.65700236
146	29	0	2.67532651
147	29	0	2.69365067
148	30	0	2.71197482
149	30	0	2.73029898
150	30	0	2.74862313
151	30	0	2.76694728
152	30	0	2.78527144
153	31	0	2.80359559
154	31	0	2.82191975
155	31	0	2.8402439
156	31	0	2.85856805
157	31	0	2.87689221
158	31	0	2.89521636
159	32	0	2.91354052
160	32	0	2.93186467
161	32	0	2.95018883
162	32	0	2.96851298
163	32	0	2.98683713
164	33	0	3.00516129
165	33	0	3.02348544
166	33	0	3.0418096
167	33	0	3.06013375
168	33	0	3.07845791
169	33	0	3.09678206
170	34	0	3.11510621
171	34	0	3.13343037
172	34	0	3.15175452
