Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0173887856	102547.259	102547.259	102547.259	102547.259	0	0	0	0	5.06956e+06	0	0	3
2	2	0	0.0347775712	104941.307	103744.283	102547.259	104941.307	1197.02377	0	0	0	4.87877e+06	0	0	3
3	3	0	0.0521663568	108316.708	105268.425	102547.259	108316.708	2721.16531	0	0	0	4.64226e+06	0	0	3
4	3	0	0.0695551424	112892.04	107174.329	102547.259	112892.04	4627.06911	0	0	0	4.52448e+06	0	0	3
5	3	0	0.0869439281	119274.195	109594.302	102547.259	119274.195	7047.04242	0	0	0	4.53547e+06	0	0	3
6	3	0	0.104332714	129683.726	112942.539	102547.259	129683.726	10395.2798	0	0	0	5.08126e+06	0	0	3
7	4	0	0.121721499	141578.164	117033.343	102547.259	141578.164	14486.0833	0	0	0	4.36262e+06	0	0	3
8	4	0	0.139110285	154094.457	121665.982	102547.259	154094.457	19118.7226	0	0	0	4.93663e+06	0	0	3
9	4	0	0.15649907	167552.327	126764.465	102547.259	167552.327	24217.2053	0	0	0	5.06947e+06	0	0	3
10	4	0	0.173887856	178929.416	131980.96	102547.259	178929.416	29433.7004	0	0	0	4.917e+06	0	0	3
11	4	0	0.191276642	175301.396	135919.181	102547.259	178929.416	33371.9219	0	0	0	5.06947e+06	0	0	3
12	5	0	0.208665427	170051.136	138763.511	102547.259	178929.416	36216.2515	0	0	0	5.06946e+06	0	0	3
13	5	0	0.226054213	162413.453	140582.737	102547.259	178929.416	38035.4778	0	0	0	5.06947e+06	0	0	3
14	5	0	0.243442999	166361.072	142424.047	102547.259	178929.416	39876.7874	0	0	0	5.06947e+06	0	0	3
15	5	0	0.260831784	168678.949	144174.374	102547.259	178929.416	41627.1143	0	0	0	5.06947e+06	0	0	3
16	5	0	0.27822057	174214.051	146051.854	102547.259	178929.416	43504.5941	0	0	0	5.06947e+06	0	0	3
17	6	0	0.295609355	184514.443	148314.359	102547.259	184514.443	45767.0994	0	0	0	5.06947e+06	0	0	3
18	6	0	0.312998141	197865.149	151067.181	102547.259	197865.149	48519.9211	0	0	0	5.06946e+06	0	0	3
19	6	0	0.330386927	214082.967	154383.801	102547.259	214082.967	51836.5414	0	0	0	5.06947e+06	0	0	3
20	6	0	0.347775712	233137.708	158321.496	102547.259	233137.708	55774.2368	0	0	0	5.06947e+06	0	0	3
21	7	0	0.365164498	254722.529	162912.022	102547.259	254722.529	60364.7621	0	0	0	5.06946e+06	0	0	3
22	7	0	0.382553283	274210.007	167971.021	102547.259	274210.007	65423.7615	0	0	0	5.06954e+06	0	0	3
23	7	0	0.399942069	295763.917	173527.234	102547.259	295763.917	70979.9744	0	0	0	5.0746e+06	0	0	3
24	7	0	0.417330855	320167.858	179637.26	102547.259	320167.858	77090.0004	0	0	0	5.07895e+06	0	0	3
25	7	0	0.43471964	343964.318	186210.342	102547.259	343964.318	83663.0827	0	0	0	5.08278e+06	0	0	3
26	8	0	0.452108426	375851.03	193504.215	102547.259	375851.03	90956.9553	0	0	0	5.08694e+06	0	0	3
27	8	0	0.469497211	411537.213	201579.511	102547.259	411537.213	99032.2516	0	0	0	5.09106e+06	0	0	3
28	8	0	0.486885997	444007.517	210237.654	102547.259	444007.517	107690.395	0	0	0	5.09414e+06	0	0	3
29	9	0	0.504274783	480381.992	219552.976	102547.259	480381.992	117005.717	0	0	0	5.09761e+06	0	0	3
30	9	0	0.521663568	520910.589	233979.298	104941.307	520910.589	130235.015	0	0	0	5.10061e+06	0	0	3
