Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0224360787	0	0	0	0	0	0	0	1000	0	0	0	3
2	1	0	0.0448721575	0	0	0	0	0	0	0	1000	0	0	0	3
3	1	0	0.0673082362	0	0	0	0	0	0	0	1000	0	0	0	3
4	1	0	0.089744315	0	0	0	0	0	0	0	1000	0	0	0	3
5	1	0	0.112180394	0	0	0	0	0	0	0	1000	0	0	0	3
6	1	0	0.134616472	0	0	0	0	0	0	0	1000	0	0	0	3
7	2	0	0.157052551	0	0	0	0	0	0	0	1000	0	0	0	3
8	2	0	0.17948863	0	0	0	0	0	0	0	1000	0	0	0	3
9	2	0	0.201924709	0	0	0	0	0	0	0	1000	0	0	0	3
10	2	0	0.224360787	0	0	0	0	0	0	0	1000	0	0	0	3
11	2	0	0.246796866	0	0	0	0	0	0	0	1000	0	0	0	3
12	2	0	0.269232945	0	0	0	0	0	0	0	1000	0	0	0	3
13	2	0	0.291669024	0	0	0	0	0	0	0	1000	0	0	0	3
14	3	0	0.314105102	0	0	0	0	0	0	0	1000	0	0	0	3
15	3	0	0.336541181	0	0	0	0	0	0	0	1000	0	0	0	3
16	3	0	0.35897726	0	0	0	0	0	0	0	1000	0	0	0	3
17	3	0	0.381413339	0	0	0	0	0	0	0	1000	0	0	0	3
18	3	0	0.403849417	0	0	0	0	0	0	0	1000	0	0	0	3
19	3	0	0.426285496	0	0	0	0	0	0	0	1000	0	0	0	3
20	3	0	0.448721575	0	0	0	0	0	0	0	1000	0	0	0	3
21	4	0	0.471157654	0	0	0	0	0	0	0	1000	0	0	0	3
22	4	0	0.493593732	0	0	0	0	0	0	0	1000	0	0	0	3
23	4	0	0.516029811	0	0	0	0	0	0	0	1000	0	0	0	3
24	4	0	0.53846589	0	0	0	0	0	0	0	1000	0	0	0	3
25	4	0	0.560901969	0	0	0	0	0	0	0	1000	0	0	0	3
26	4	0	0.583338047	0	0	0	0	0	0	0	1000	0	0	0	3
27	4	0	0.605774126	0	0	0	0	0	0	0	1000	0	0	0	3
28	4	0	0.628210205	0	0	0	0	0	0	0	1000	0	0	0	3
29	5	0	0.650646283	0	0	0	0	0	0	0	1000	0	0	0	3
30	5	0	0.673082362	0	0	0	0	0	0	0	1000	0	0	0	3
31	5	0	0.695518441	0	0	0	0	0	0	0	1000	0	0	0	3
32	5	0	0.71795452	0	0	0	0	0	0	0	1000	0	0	0	3
33	5	0	0.740390598	0	0	0	0	0	0	0	1000	0	0	0	3
34	5	0	0.762826677	0	0	0	0	0	0	0	1000	0	0	0	3
35	5	0	0.785262756	0	0	0	0	0	0	0	1000	0	0	0	3
36	5	0	0.807698835	0	0	0	0	0	0	0	1000	0	0	0	3
37	5	0	0.830134913	0	0	0	0	0	0	0	1000	0	0	0	3
38	6	0	0.852570992	0	0	0	0	0	0	0	1000	0	0	0	3
39	6	0	0.875007071	0	0	0	0	0	0	0	1000	0	0	0	3
40	6	0	0.89744315	0	0	0	0	0	0	0	1000	0	0	0	3
41	6	0	0.919879228	0	0	0	0	0	0	0	1000	0	0	0	3
42	6	0	0.942315307	0	0	0	0	0	0	0	1000	0	0	0	3
43	6	0	0.964751386	0	0	0	0	0	0	0	1000	0	0	0	3
44	6	0	0.987187465	0	0	0	0	0	0	0	1000	0	0	0	3
45	6	0	1.00962354	0	0	0	0	0	1e-08	0	1000	0	0	0	3
