Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0224360787	293.199999	293.199999	293.199999	293.199999	0	0	0	0	0.000126434	0	0	3
2	1	0	0.0448721575	293.199997	293.199998	293.199997	293.199999	1.0784687e-06	0	0	0	0.000502062	0	0	3
3	1	0	0.0673082362	293.199994	293.199997	293.199994	293.199999	2.62699717e-06	0	0	0	0.00110106	0	0	3
4	1	0	0.089744315	293.199989	293.199995	293.199989	293.199999	4.65736224e-06	0	0	0	0.00193643	0	0	3
5	1	0	0.112180394	293.199981	293.199992	293.199981	293.199999	7.30679437e-06	0	0	0	0.00309611	0	0	3
6	1	0	0.134616472	293.199956	293.199986	293.199956	293.199999	1.33269763e-05	0	0	0	0.00721733	0	0	3
7	2	0	0.157052551	293.199822	293.199963	293.199822	293.199999	3.67283466e-05	0	0	0	0.0263063	0	0	3
8	2	0	0.17948863	293.199559	293.199912	293.199559	293.199999	8.72054317e-05	0	0	0	0.0597829	0	0	3
9	2	0	0.201924709	293.19934	293.199849	293.19934	293.199999	0.00015080915	0	0	0	0.0892923	0	0	3
10	2	0	0.224360787	293.199151	293.199779	293.199151	293.199999	0.000220591972	0	0	0	0.11216	0	0	3
11	2	0	0.246796866	293.198903	293.199699	293.198903	293.199999	0.000300168008	0	0	0	0.140801	0	0	3
12	2	0	0.269232945	293.202644	293.199945	293.198903	293.202644	0.000300168008	0	0	0	0.231621	0	0	3
13	2	0	0.291669024	293.206283	293.200432	293.198903	293.206283	0.000732964246	0	0	0	0.35438	0	0	3
14	3	0	0.314105102	293.209765	293.201099	293.198903	293.209765	0.00139961092	0	0	0	0.464883	0	0	3
15	3	0	0.336541181	293.212661	293.20187	293.198903	293.212661	0.00217039458	0	0	0	0.543131	0	0	3
16	3	0	0.35897726	293.214083	293.202633	293.198903	293.214083	0.00293374337	0	0	0	0.608559	0	0	3
17	3	0	0.381413339	293.216405	293.203443	293.198903	293.216405	0.00374385711	0	0	0	0.669223	0	0	3
18	3	0	0.403849417	293.218234	293.204265	293.198903	293.218234	0.00456555887	0	0	0	0.716681	0	0	3
19	3	0	0.426285496	293.220396	293.205114	293.198903	293.220396	0.00541458179	0	0	0	0.751843	0	0	3
20	3	0	0.448721575	293.222224	293.205969	293.198903	293.222224	0.00627011929	0	0	0	0.77716	0	0	3
21	4	0	0.471157654	293.224832	293.206867	293.198903	293.224832	0.00716834323	0	0	0	0.793216	0	0	3
22	4	0	0.493593732	293.227134	293.207789	293.198903	293.227134	0.00808954493	0	0	0	0.805523	0	0	3
23	4	0	0.516029811	293.229416	293.208729	293.198903	293.229416	0.00902986459	0	0	0	0.8151	0	0	3
24	4	0	0.53846589	293.231772	293.21011	293.198903	293.231772	0.0104112709	0	0	0	0.823848	0	0	3
25	4	0	0.560901969	293.234098	293.211593	293.198903	293.234098	0.0118939162	0	0	0	0.83736	0	0	3
26	4	0	0.583338047	293.238037	293.213247	293.198903	293.238037	0.01354799	0	0	0	0.842986	0	0	3
27	4	0	0.605774126	293.242244	293.215084	293.198903	293.242244	0.0153851949	0	0	0	0.855564	0	0	3
28	4	0	0.628210205	293.246636	293.217113	293.198903	293.246636	0.0174136392	0	0	0	0.867762	0	0	3
29	5	0	0.650646283	293.251183	293.21934	293.198903	293.251183	0.0196408935	0	0	0	0.879675	0	0	3
30	5	0	0.673082362	293.255865	293.221777	293.198903	293.255865	0.0220775282	0	0	0	0.891312	0	0	3
31	5	0	0.695518441	293.263393	293.224552	293.198903	293.263393	0.0248529112	0	0	0	0.908406	0	0	3
32	5	0	0.71795452	293.271264	293.227679	293.198903	293.271264	0.0279800657	0	0	0	0.924821	0	0	3
33	5	0	0.740390598	293.279384	293.231168	293.198903	293.279384	0.0314684768	0	0	0	0.939965	0	0	3
34	5	0	0.762826677	293.287753	293.235031	293.202644	293.287753	0.035086121	0	0	0	0.953656	0	0	3
35	5	0	0.785262756	293.296314	293.239103	293.206283	293.296314	0.0386711485	0	0	0	0.966095	0	0	3
36	5	0	0.807698835	293.309712	293.2436	293.209765	293.309712	0.0425014056	0	0	0	0.981846	0	0	3
37	5	0	0.830134913	293.323257	293.248535	293.212661	293.323257	0.0466650361	0	0	0	0.994993	0	0	3
38	6	0	0.852570992	293.337017	293.253941	293.214083	293.337017	0.0513084704	0	0	0	1.0057	0	0	3
39	6	0	0.875007071	293.350918	293.259891	293.216405	293.350918	0.0564477044	0	0	0	1.01468	0	0	3
40	6	0	0.89744315	293.364939	293.266349	293.218234	293.364939	0.0620839974	0	0	0	1.02212	0	0	3
41	6	0	0.919879228	293.385481	293.27362	293.220396	293.385481	0.0685065789	0	0	0	1.03033	0	0	3
42	6	0	0.942315307	293.405925	293.281687	293.222224	293.405925	0.075717525	0	0	0	1.03657	0	0	3
43	6	0	0.964751386	293.42585	293.29054	293.224832	293.42585	0.0836725827	0	0	0	1.04153	0	0	3
44	6	0	0.987187465	293.445415	293.300131	293.227134	293.445415	0.0923419307	0	0	0	1.04501	0	0	3
45	6	0	1.00962354	293.464387	293.310446	293.229416	293.464387	0.101716947	0.0204910604	0	0	1.048	0	0	3
