Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0173887856	0	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.0347775712	0	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.0521663568	0	0	0	0	0	0	0	0	0	0	0	3
4	3	0	0.0695551424	0	0	0	0	0	0	0	0	0	0	0	3
5	3	0	0.0869439281	0	0	0	0	0	0	0	0	0	0	0	3
6	3	0	0.104332714	0	0	0	0	0	0	0	0	0	0	0	3
7	4	0	0.121721499	0	0	0	0	0	0	0	0	0	0	0	3
8	4	0	0.139110285	0	0	0	0	0	0	0	0	0	0	0	3
9	4	0	0.15649907	0	0	0	0	0	0	0	0	0	0	0	3
10	4	0	0.173887856	0	0	0	0	0	0	0	0	0	0	0	3
11	4	0	0.191276642	0	0	0	0	0	0	0	0	0	0	0	3
12	5	0	0.208665427	0	0	0	0	0	0	0	0	0	0	0	3
13	5	0	0.226054213	0	0	0	0	0	0	0	0	0	0	0	3
14	5	0	0.243442999	0	0	0	0	0	0	0	0	0	0	0	3
15	5	0	0.260831784	0	0	0	0	0	0	0	0	0	0	0	3
16	5	0	0.27822057	0	0	0	0	0	0	0	0	0	0	0	3
17	6	0	0.295609355	0	0	0	0	0	0	0	0	0	0	0	3
18	6	0	0.312998141	0	0	0	0	0	0	0	0	0	0	0	3
19	6	0	0.330386927	0	0	0	0	0	0	0	0	0	0	0	3
20	6	0	0.347775712	0	0	0	0	0	0	0	0	0	0	0	3
21	7	0	0.365164498	0	0	0	0	0	0	0	0	0	0	0	3
22	7	0	0.382553283	0	0	0	0	0	0	0	0	0	0	0	3
23	7	0	0.399942069	0	0	0	0	0	0	0	0	0	0	0	3
24	7	0	0.417330855	0	0	0	0	0	0	0	0	0	0	0	3
25	7	0	0.43471964	0	0	0	0	0	0	0	0	0	0	0	3
26	8	0	0.452108426	0	0	0	0	0	0	0	0	0	0	0	3
27	8	0	0.469497211	0	0	0	0	0	0	0	0	0	0	0	3
28	8	0	0.486885997	0	0	0	0	0	0	0	0	0	0	0	3
29	9	0	0.504274783	0	0	0	0	0	0	0	0	0	0	0	3
30	9	0	0.521663568	0	0	0	0	0	0	0	0	0	0	0	3
31	9	0	0.539052354	0	0	0	0	0	0	0	0	0	0	0	3
32	10	0	0.55644114	0	0	0	0	0	0	0	0	0	0	0	3
33	10	0	0.573829925	0	0	0	0	0	0	0	0	0	0	0	3
34	10	0	0.591218711	0	0	0	0	0	0	0	0	0	0	0	3
35	10	0	0.608607496	0	0	0	0	0	0	0	0	0	0	0	3
36	11	0	0.625996282	0	0	0	0	0	0	0	0	0	0	0	3
37	11	0	0.643385068	0	0	0	0	0	0	0	0	0	0	0	3
38	11	0	0.660773853	0	0	0	0	0	0	0	0	0	0	0	3
39	12	0	0.678162639	0	0	0	0	0	0	0	0	0	0	0	3
40	12	0	0.695551424	0	0	0	0	0	0	0	0	0	0	0	3
41	12	0	0.71294021	0	0	0	0	0	0	0	0	0	0	0	3
42	13	0	0.730328996	0	0	0	0	0	0	0	0	0	0	0	3
43	13	0	0.747717781	0	0	0	0	0	0	0	0	0	0	0	3
44	13	0	0.765106567	0	0	0	0	0	0	0	0	0	0	0	3
45	14	0	0.782495352	0	0	0	0	0	0	0	0	0	0	0	3
46	14	0	0.799884138	0	0	0	0	0	0	0	0	0	0	0	3
47	14	0	0.817272924	0	0	0	0	0	0	0	0	0	0	0	3
48	15	0	0.834661709	0	0	0	0	0	0	0	0	0	0	0	3
49	15	0	0.852050495	0	0	0	0	0	0	0	0	0	0	0	3
50	15	0	0.869439281	0	0	0	0	0	0	0	0	0	0	0	3
51	15	0	0.886828066	0	0	0	0	0	0	0	0	0	0	0	3
52	15	0	0.904216852	0	0	0	0	0	0	0	0	0	0	0	3
53	16	0	0.921605637	0	0	0	0	0	0	0	0	0	0	0	3
54	16	0	0.938994423	0	0	0	0	0	0	0	0	0	0	0	3
55	16	0	0.956383209	0	0	0	0	0	0	0	0	0	0	0	3
56	16	0	0.973771994	0	0	0	0	0	0	0	0	0	0	0	3
57	17	0	0.99116078	0	0	0	0	0	0	0	0	0	0	0	3
58	17	0	1.00854957	0	0	0	0	0	5e-06	0	100	0	0	0	3
59	17	0	1.02593835	0	0	0	0	0	5e-06	0	100	0	0	0	3
60	17	0	1.04332714	0	0	0	0	0	5e-06	0	100	0	0	0	3
61	18	0	1.06071592	0	0	0	0	0	5e-06	0	100	0	0	0	3
62	18	0	1.07810471	0	0	0	0	0	5e-06	0	100	0	0	0	3
63	18	0	1.09549349	0	0	0	0	0	5e-06	0	100	0	0	0	3
64	18	0	1.11288228	0	0	0	0	0	5e-06	0	100	0	0	0	3
65	19	0	1.13027106	0	0	0	0	0	5e-06	0	100	0	0	0	3
66	19	0	1.14765985	0	0	0	0	0	5e-06	0	100	0	0	0	3
67	19	0	1.16504864	0	0	0	0	0	5e-06	0	100	0	0	0	3
68	20	0	1.18243742	0	0	0	0	0	5e-06	0	100	0	0	0	3
69	20	0	1.19982621	0	0	0	0	0	5e-06	0	100	0	0	0	3
70	20	0	1.21721499	0	0	0	0	0	5e-06	0	100	0	0	0	3
71	20	0	1.23460378	0	0	0	0	0	5e-06	0	100	0	0	0	3
72	21	0	1.25199256	0	0	0	0	0	5e-06	0	100	0	0	0	3
73	21	0	1.26938135	0	0	0	0	0	5e-06	0	100	0	0	0	3
74	21	0	1.28677014	0	0	0	0	0	5e-06	0	100	0	0	0	3
75	21	0	1.30415892	0	0	0	0	0	5e-06	0	100	0	0	0	3
76	22	0	1.32154771	0	0	0	0	0	5e-06	0	100	0	0	0	3
77	22	0	1.33893649	0	0	0	0	0	5e-06	0	100	0	0	0	3
78	22	0	1.35632528	0	0	0	0	0	5e-06	0	100	0	0	0	3
79	22	0	1.37371406	0	0	0	0	0	5e-06	0	100	0	0	0	3
80	23	0	1.39110285	0	0	0	0	0	5e-06	0	100	0	0	0	3
81	23	0	1.40849163	0	0	0	0	0	5e-06	0	100	0	0	0	3
82	23	0	1.42588042	0	0	0	0	0	5e-06	0	100	0	0	0	3
83	23	0	1.44326921	0	0	0	0	0	5e-06	0	100	0	0	0	3
84	24	0	1.46065799	0	0	0	0	0	5e-06	0	100	0	0	0	3
85	24	0	1.47804678	0	0	0	0	0	5e-06	0	100	0	0	0	3
86	24	0	1.49543556	0	0	0	0	0	5e-06	0	100	0	0	0	3
87	24	0	1.51282435	0	0	0	0	0	5e-06	0	100	0	0	0	3
88	25	0	1.53021313	0	0	0	0	0	5e-06	0	100	0	0	0	3
89	25	0	1.54760192	0	0	0	0	0	5e-06	0	100	0	0	0	3
90	25	0	1.5649907	0	0	0	0	0	5e-06	0	100	0	0	0	3
91	25	0	1.58237949	0	0	0	0	0	5e-06	0	100	0	0	0	3
92	26	0	1.59976828	0	0	0	0	0	5e-06	0	100	0	0	0	3
93	26	0	1.61715706	0	0	0	0	0	5e-06	0	100	0	0	0	3
94	26	0	1.63454585	0	0	0	0	0	5e-06	0	100	0	0	0	3
95	26	0	1.65193463	0	0	0	0	0	5e-06	0	100	0	0	0	3
96	27	0	1.66932342	0	0	0	0	0	5e-06	0	100	0	0	0	3
97	27	0	1.6867122	0	0	0	0	0	5e-06	0	100	0	0	0	3
98	27	0	1.70410099	0	0	0	0	0	5e-06	0	100	0	0	0	3
99	27	0	1.72148978	0	0	0	0	0	5e-06	0	100	0	0	0	3
100	28	0	1.73887856	0	0	0	0	0	5e-06	0	100	0	0	0	3
101	28	0	1.75626735	0	0	0	0	0	5e-06	0	100	0	0	0	3
102	28	0	1.77365613	0	0	0	0	0	5e-06	0	100	0	0	0	3
103	29	0	1.79104492	0	0	0	0	0	5e-06	0	100	0	0	0	3
104	29	0	1.8084337	0	0	0	0	0	5e-06	0	100	0	0	0	3
105	29	0	1.82582249	0	0	0	0	0	5e-06	0	100	0	0	0	3
106	29	0	1.84321127	0	0	0	0	0	5e-06	0	100	0	0	0	3
107	30	0	1.86060006	0	0	0	0	0	5e-06	0	100	0	0	0	3
108	30	0	1.87798885	0	0	0	0	0	5e-06	0	100	0	0	0	3
109	30	0	1.89537763	0	0	0	0	0	5e-06	0	100	0	0	0	3
110	30	0	1.91276642	0	0	0	0	0	5e-06	0	100	0	0	0	3
111	30	0	1.9301552	0	0	0	0	0	5e-06	0	100	0	0	0	3
112	31	0	1.94754399	0	0	0	0	0	5e-06	0	100	0	0	0	3
113	31	0	1.96493277	0	0	0	0	0	5e-06	0	100	0	0	0	3
114	31	0	1.98232156	0	0	0	0	0	5e-06	0	100	0	0	0	3
115	32	0	1.99971035	0	0	0	0	0	5e-06	0	100	0	0	0	3
116	32	0	2.01709913	0	0	0	0	0	5e-06	0	100	0	0	0	3
117	32	0	2.03448792	0	0	0	0	0	5e-06	0	100	0	0	0	3
118	32	0	2.0518767	0	0	0	0	0	5e-06	0	100	0	0	0	3
119	32	0	2.06926549	0	0	0	0	0	5e-06	0	100	0	0	0	3
120	33	0	2.08665427	0	0	0	0	0	5e-06	0	100	0	0	0	3
121	33	0	2.10404306	0	0	0	0	0	5e-06	0	100	0	0	0	3
122	33	0	2.12143184	0	0	0	0	0	5e-06	0	100	0	0	0	3
123	33	0	2.13882063	0	0	0	0	0	5e-06	0	100	0	0	0	3
124	34	0	2.15620942	0	0	0	0	0	5e-06	0	100	0	0	0	3
125	34	0	2.1735982	0	0	0	0	0	5e-06	0	100	0	0	0	3
126	34	0	2.19098699	0	0	0	0	0	5e-06	0	100	0	0	0	3
127	35	0	2.20837577	0	0	0	0	0	5e-06	0	100	0	0	0	3
128	35	0	2.22576456	0	0	0	0	0	5e-06	0	100	0	0	0	3
129	35	0	2.24315334	0	0	0	0	0	5e-06	0	100	0	0	0	3
130	35	0	2.26054213	0	0	0	0	0	5e-06	0	100	0	0	0	3
131	35	0	2.27793091	0	0	0	0	0	5e-06	0	100	0	0	0	3
132	36	0	2.2953197	0	0	0	0	0	5e-06	0	100	0	0	0	3
133	36	0	2.31270849	0	0	0	0	0	5e-06	0	100	0	0	0	3
134	36	0	2.33009727	0	0	0	0	0	5e-06	0	100	0	0	0	3
135	36	0	2.34748606	0	0	0	0	0	5e-06	0	100	0	0	0	3
136	37	0	2.36487484	0	0	0	0	0	5e-06	0	100	0	0	0	3
137	37	0	2.38226363	0	0	0	0	0	5e-06	0	100	0	0	0	3
138	37	0	2.39965241	0	0	0	0	0	5e-06	0	100	0	0	0	3
139	37	0	2.4170412	0	0	0	0	0	5e-06	0	100	0	0	0	3
140	38	0	2.43442999	0	0	0	0	0	5e-06	0	100	0	0	0	3
141	38	0	2.45181877	0	0	0	0	0	5e-06	0	100	0	0	0	3
