#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,accel_speed,baro_speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 4225, 1, Aether4,    -0.30, 3,   boost,   -0.54, 100584.00,   61.87,    0.08,   -0.00,   -0.00, 16.2, 4.10, 4.06, 4.12,  -9.86,  -0.16,   0.14,  -0.03,   0.06,  -0.12,  -0.07,   0.10,   0.97,   1.02, 4.12, 4.12, 0.00, 0.00, 0.00, 1, 1, 12,  43.1045784, -70.9943036,    35.0, 2018,  4, 13, 11, 24, 40,        0,        0,   0,   0,   1.3,   0.7,   1.1, 41,  0,  0,  0,  0,  0,  0,  0,  0, 35, 32, 35,  0, 35, 26,  0,  0, 39,  0, 34,  0,  0,  0, 35, 30,  0,  0,  0,  0,  0, 36,  0
6, 4225, 1, Aether4,    -0.29, 3,   boost,   -0.54, 100574.00,   62.70,    0.92,   -0.01,   -0.01, 16.2, 4.10, 4.06, 4.12,  -9.89,  -0.15,   0.11,   0.03,  -0.07,   0.07,  -0.07,   0.11,   0.97,   1.02, 4.12, 4.12, 0.00, 0.00, 0.00, 1, 1, 12,  43.1045784, -70.9943036,    35.0, 2018,  4, 13, 11, 24, 40,        0,        0,   0,   0,   1.3,   0.7,   1.1, 41,  0,  0,  0,  0,  0,  0,  0,  0, 35, 32, 35,  0, 35, 26,  0,  0, 39,  0, 34,  0,  0,  0, 35, 30,  0,  0,  0,  0,  0, 36,  0
6, 4225, 1, Aether4,    -0.28, 3,   boost,   -0.54, 100582.00,   62.03,    0.25,   -0.01,   -0.01, 16.2, 4.10, 4.06, 4.12,  -9.93,  -0.16,   0.10,  -0.09,  -0.01,   0.07,  -0.08,   0.11,   0.98,   1.02, 4.12, 4.12, 0.00, 0.00, 0.00, 1, 1, 12,  43.1045784, -70.9943036,    35.0, 2018,  4, 13, 11, 24, 40,        0,        0,   0,   0,   1.3,   0.7,   1.1, 41,  0,  0,  0,  0,  0,  0,  0,  0, 35, 32, 35,  0, 35, 26,  0,  0, 39,  0, 34,  0,  0,  0, 35, 30,  0,  0,  0,  0,  0, 36,  0
6, 4225, 1, Aether4,    -0.27, 3,   boost,   -0.54, 100593.00,   61.11,   -0.67,   -0.02,   -0.02, 16.2, 4.10, 4.06, 4.12,  -9.88,  -0.15,   0.09,  -0.15,   0.06,  -0.06,  -0.08,   0.11,   0.97,   1.02, 4.12, 4.12, 0.00, 0.00, 0.00, 1, 1, 12,  43.1045784, -70.9943036,    35.0, 2018,  4, 13, 11, 24, 40,        0,        0,   0,   0,   1.3,   0.7,   1.1, 41,  0,  0,  0,  0,  0,  0,  0,  0, 35, 32, 35,  0, 35, 26,  0,  0, 39,  0, 34,  0,  0,  0, 35, 30,  0,  0,  0,  0,  0, 36,  0
6, 4225, 1, Aether4,    -0.26, 3,   boost,   -0.54, 100578.00,   62.37,    0.59,   -0.02,   -0.02, 16.2, 4.10, 4.06, 4.12,  -9.88,  -0.14,   0.11,  -0.09,   0.06,   0.07,  -0.07,   0.11,   0.97,   1.02, 4.12, 4.12, 0.00, 0.00, 0.00, 1, 1, 12,  43.1045784, -70.9943036,    35.0, 2018,  4, 13, 11, 24, 40,        0,        0,   0,   0,   1.3,   0.7,   1.1, 41,  0,  0,  0,  0,  0,  0,  0,  0, 35, 32, 35,  0, 35, 26,  0,  0, 39,  0, 34,  0,  0,  0, 35, 30,  0,  0,  0,  0,  0, 36,  0
6, 4225, 1, Aether4,    -0.25, 3,   boost,   -0.54, 100589.00,   61.45,   -0.33,   -0.03,   -0.03, 16.2, 4.10, 4.06, 4.12,  -9.89,  -0.18,   0.05,  -0.09,  -0.13,  -0.06,  -0.08,   0.11,   0.98,   1.02, 4.12, 4.12, 0.00, 0.00, 0.00, 1, 1, 12,  43.1045784, -70.9943036,    35.0, 2018,  4, 13, 11, 24, 40,        0,        0,   0,   0,   1.3,   0.7,   1.1, 41,  0,  0,  0,  0,  0,  0,  0,  0, 35, 32, 35,  0, 35, 26,  0,  0, 39,  0, 34,  0,  0,  0, 35, 30,  0,  0,  0,  0,  0, 36,  0
6, 4225, 1, Aether4,    -0.24, 3,   boost,   -0.54, 100579.00,   62.28,    0.50,   -0.03,   -0.03, 16.2, 4.10, 4.06, 4.12,  -9.87,  -0.16,   0.09,  -0.15,   0.12,   0.01,  -0.07,   0.11,   0.97,   1.02, 4.12, 4.12, 0.00, 0.00, 0.00, 1, 1, 12,  43.1045784, -70.9943036,    35.0, 2018,  4, 13, 11, 24, 40,        0,        0,   0,   0,   1.3,   0.7,   1.1, 41,  0,  0,  0,  0,  0,  0,  0,  0, 35, 32, 35,  0, 35, 26,  0,  0, 39,  0, 34,  0,  0,  0, 35, 30,  0,  0,  0,  0,  0, 36,  0
6, 4225, 1, Aether4,    -0.23, 3,   boost,   -0.54, 100589.00,   61.45,   -0.33,   -0.04,   -0.04, 16.2, 4.10, 4.06, 4.12,  -9.87,  -0.15,   0.02,  -0.03,  -0.01,  -0.06,  -0.07,   0.11,   0.97,   1.02, 4.12, 4.12, 0.00, 0.00, 0.00, 1, 1, 12,  43.1045784, -70.9943036,    35.0, 2018,  4, 13, 11, 24, 40,        0,        0,   0,   0,   1.3,   0.7,   1.1, 41,  0,  0,  0,  0,  0,  0,  0,  0, 35, 32, 35,  0, 35, 26,  0,  0, 39,  0, 34,  0,  0,  0, 35, 30,  0,  0,  0,  0,  0, 36,  0
6, 4225, 1, Aether4,    -0.22, 3,   boost,   -0.54, 100579.00,   62.28,    0.50,   -0.04,   -0.04, 16.2, 4.10, 4.06, 4.12,  -9.90,  -0.14,   0.07,   0.03,   0.12,   0.01,  -0.08,   0.11,   0.97,   1.02, 4.12, 4.12, 0.00, 0.00, 0.00, 1, 1, 12,  43.1045784, -70.9943036,    35.0, 2018,  4, 13, 11, 24, 40,        0,        0,   0,   0,   1.3,   0.7,   1.1, 41,  0,  0,  0,  0,  0,  0,  0,  0, 35, 32, 35,  0, 35, 26,  0,  0, 39,  0, 34,  0,  0,  0, 35, 30,  0,  0,  0,  0,  0, 36,  0
6, 4225, 1, Aether4,    -0.21, 3,   boost,   -0.54, 100579.00,   62.28,    0.50,   -0.05,   -0.05, 16.2, 4.10, 4.06, 4.12,  -9.87,  -0.16,   0.09,  -0.03,  -0.01,  -0.06,  -0.07,   0.11,   0.97,   1.02, 4.12, 4.12, 0.00, 0.00, 0.00, 1, 1, 12,  43.1045784, -70.9943036,    35.0, 2018,  4, 13, 11, 24, 40,        0,        0,   0,   0,   1.3,   0.7,   1.1, 41,  0,  0,  0,  0,  0,  0,  0,  0, 35, 32, 35,  0, 35, 26,  0,  0, 39,  0, 34,  0,  0,  0, 35, 30,  0,  0,  0,  0,  0, 36,  0
