Iteration	CPUTime	PhysTime	Travels	CourFact
1	6	0	0.0115386682	0
2	6	0	0.0230773363	0
3	7	0	0.0346160045	0
4	8	0	0.0461546727	0
5	9	0	0.0576933408	0
6	10	0	0.069232009	0
7	11	0	0.0807706772	0
8	12	0	0.0923093453	0
9	13	0	0.103848013	0
10	13	0	0.115386682	0
11	14	0	0.12692535	0
12	15	0	0.138464018	0
13	16	0	0.150002686	0
14	17	0	0.161541354	0
15	18	0	0.173080022	0
16	19	0	0.184618691	0
17	19	0	0.196157359	0
18	20	0	0.207696027	0
19	21	0	0.219234695	0
20	22	0	0.230773363	0
21	23	0	0.242312031	0
22	24	0	0.2538507	0
23	25	0	0.265389368	0
24	26	0	0.276928036	0
25	26	0	0.288466704	0
26	27	0	0.300005372	0
27	28	0	0.31154404	0
28	29	0	0.323082709	0
29	30	0	0.334621377	0
30	31	0	0.346160045	0
31	31	0	0.357698713	0
32	32	0	0.369237381	0
33	33	0	0.380776049	0
34	34	0	0.392314718	0
35	35	0	0.403853386	0
36	35	0	0.415392054	0
37	36	0	0.426930722	0
38	37	0	0.43846939	0
39	38	0	0.450008058	0
40	39	0	0.461546727	0
41	39	0	0.473085395	0
42	40	0	0.484624063	0
43	41	0	0.496162731	0
44	42	0	0.507701399	0
45	43	0	0.519240067	0
46	44	0	0.530778736	0
47	44	0	0.542317404	0
48	45	0	0.553856072	0
49	46	0	0.56539474	0
50	47	0	0.576933408	0
51	47	0	0.588472076	0
52	48	0	0.600010745	0
53	49	0	0.611549413	0
54	50	0	0.623088081	0
55	51	0	0.634626749	0
56	51	0	0.646165417	0
57	52	0	0.657704085	0
58	53	0	0.669242754	0
59	54	0	0.680781422	0
60	54	0	0.69232009	0
61	55	0	0.703858758	0
62	56	0	0.715397426	0
63	57	0	0.726936094	0
64	58	0	0.738474763	0
65	58	0	0.750013431	0
66	59	0	0.761552099	0
67	60	0	0.773090767	0
68	61	0	0.784629435	0
69	62	0	0.796168103	0
70	62	0	0.807706772	0
71	63	0	0.81924544	0
72	64	0	0.830784108	0
73	65	0	0.842322776	0
74	65	0	0.853861444	0
75	66	0	0.865400112	0
76	67	0	0.876938781	0
77	68	0	0.888477449	0
78	69	0	0.900016117	0
79	69	0	0.911554785	0
80	70	0	0.923093453	0
81	71	0	0.934632121	0
82	72	0	0.94617079	0
83	72	0	0.957709458	0
84	73	0	0.969248126	0
85	74	0	0.980786794	0
86	75	0	0.992325462	0
87	76	0	1.00386413	0
88	76	0	1.0154028	0
89	77	0	1.02694147	0
90	78	0	1.03848013	0
91	79	0	1.0500188	0
92	79	0	1.06155747	0
93	80	0	1.07309614	0
94	81	0	1.08463481	0
95	82	0	1.09617348	0
96	83	0	1.10771214	0
97	83	0	1.11925081	0
98	84	0	1.13078948	0
99	85	0	1.14232815	0
100	86	0	1.15386682	0
101	87	0	1.16540548	0
102	88	0	1.17694415	0
103	88	0	1.18848282	0
