Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0115386682	293.210797	293.210797	293.210797	293.210797	0	0	0	5.56233	0	0	3
2	6	0	0.0230773363	293.205262	293.208029	293.205262	293.210797	0.00276749333	0	0	6.10426	0	0	3
3	7	0	0.0346160045	293.201427	293.205829	293.201427	293.210797	0.00496817046	0	0	6.66881	0	0	3
4	8	0	0.0461546727	293.201434	293.20473	293.201427	293.210797	0.00606685838	0	0	7.25036	0	0	3
5	9	0	0.0576933408	293.202338	293.204252	293.201427	293.210797	0.00654519183	0	0	7.84561	0	0	3
6	10	0	0.069232009	293.203232	293.204082	293.201427	293.210797	0.00671518555	0	0	8.34063	0	0	3
7	11	0	0.0807706772	293.203936	293.204061	293.201427	293.210797	0.00673601888	0	0	8.85512	0	0	3
8	12	0	0.0923093453	293.204594	293.204128	293.201427	293.210797	0.00673601888	0	0	9.51787	0	0	3
9	13	0	0.103848013	293.20519	293.204246	293.201427	293.210797	0.00673601888	0	0	9.8766	0	0	3
10	13	0	0.115386682	293.205673	293.204388	293.201427	293.210797	0.00673601888	0	0	8.20155	0	0	3
11	14	0	0.12692535	293.206177	293.204551	293.201427	293.210797	0.00673601888	0	0	6.81806	0	0	3
12	15	0	0.138464018	293.206437	293.204708	293.201427	293.210797	0.00673601888	0	0	6.7072	0	0	3
13	16	0	0.150002686	293.20657	293.204851	293.201427	293.210797	0.00673601888	0	0	6.6717	0	0	3
14	17	0	0.161541354	293.206644	293.204979	293.201427	293.210797	0.00673601888	0	0	6.63632	0	0	3
15	18	0	0.173080022	293.206746	293.205097	293.201427	293.210797	0.00673601888	0	0	6.59394	0	0	3
16	19	0	0.184618691	293.206894	293.205209	293.201427	293.210797	0.00673601888	0	0	6.53861	0	0	3
17	19	0	0.196157359	293.207047	293.205318	293.201427	293.210797	0.00673601888	0	0	6.51194	0	0	3
18	20	0	0.207696027	293.207199	293.205422	293.201427	293.210797	0.00673601888	0	0	6.45492	0	0	3
19	21	0	0.219234695	293.207349	293.205523	293.201427	293.210797	0.00673601888	0	0	6.39977	0	0	3
20	22	0	0.230773363	293.207498	293.205622	293.201427	293.210797	0.00673601888	0	0	6.34916	0	0	3
21	23	0	0.242312031	293.207705	293.205721	293.201427	293.210797	0.00673601888	0	0	6.28681	0	0	3
22	24	0	0.2538507	293.207904	293.205821	293.201427	293.210797	0.00673601888	0	0	6.22869	0	0	3
23	25	0	0.265389368	293.208087	293.205919	293.201427	293.210797	0.00673601888	0	0	6.18983	0	0	3
24	26	0	0.276928036	293.20825	293.206016	293.201427	293.210797	0.00673601888	0	0	6.14266	0	0	3
25	26	0	0.288466704	293.208392	293.206111	293.201427	293.210797	0.00673601888	0	0	6.11855	0	0	3
26	27	0	0.300005372	293.208551	293.206205	293.201427	293.210797	0.00673601888	0	0	6.09231	0	0	3
27	28	0	0.31154404	293.208671	293.206296	293.201427	293.210797	0.00673601888	0	0	6.05686	0	0	3
28	29	0	0.323082709	293.208754	293.206384	293.201427	293.210797	0.00673601888	0	0	6.01582	0	0	3
29	30	0	0.334621377	293.2088	293.206468	293.201427	293.210797	0.00673601888	0	0	5.9749	0	0	3
30	31	0	0.346160045	293.208814	293.206546	293.201427	293.210797	0.00673601888	0	0	5.93402	0	0	3
31	31	0	0.357698713	293.208766	293.206617	293.201427	293.210797	0.00673601888	0	0	5.87054	0	0	3
32	32	0	0.369237381	293.208686	293.206682	293.201427	293.210797	0.00673601888	0	0	5.83883	0	0	3
33	33	0	0.380776049	293.208588	293.20674	293.201427	293.210797	0.00673601888	0	0	5.75764	0	0	3
34	34	0	0.392314718	293.208497	293.206791	293.201427	293.210797	0.00673601888	0	0	5.70508	0	0	3
35	35	0	0.403853386	293.208418	293.206838	293.201427	293.210797	0.00673601888	0	0	5.65925	0	0	3
36	35	0	0.415392054	293.208367	293.20688	293.201427	293.210797	0.00673601888	0	0	5.63111	0	0	3
37	36	0	0.426930722	293.208381	293.206921	293.201427	293.210797	0.00673601888	0	0	5.63511	0	0	3
38	37	0	0.43846939	293.208456	293.206961	293.201427	293.210797	0.00673601888	0	0	5.63424	0	0	3
39	38	0	0.450008058	293.208577	293.207003	293.201427	293.210797	0.00673601888	0	0	5.6342	0	0	3
