Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	-1.16619755e-43	-1.16619755e-43	-1.16619755e-43	-1.16619755e-43	0	0	0	0	0	0	0	3
2	1	0	0.05	3.15468729e-07	1.57734365e-07	-1.16619755e-43	3.15468729e-07	1.57734365e-07	0	0	0	0	0	0	3
3	1	0	0.075	1.99968777e-07	1.71812502e-07	-1.16619755e-43	3.15468729e-07	1.71812502e-07	0	0	0	0	0	0	3
4	1	0	0.1	5.57044032e-08	1.42785477e-07	-1.16619755e-43	3.15468729e-07	1.71812502e-07	0	0	0	0	0	0	3
5	1	0	0.125	-9.4161393e-09	1.12345154e-07	-9.4161393e-09	3.15468729e-07	1.71812502e-07	0	0	0	0	0	0	3
6	1	0	0.15	1.27645244e-08	9.57483824e-08	-9.4161393e-09	3.15468729e-07	1.71812502e-07	0	0	0	0	0	0	3
7	1	0	0.175	-2.68936421e-10	8.20316226e-08	-9.4161393e-09	3.15468729e-07	1.71812502e-07	0	0	0	0	0	0	3
8	1	0	0.2	-1.31581045e-10	7.17612222e-08	-9.4161393e-09	3.15468729e-07	1.71812502e-07	0	0	0	0	0	0	3
9	1	0	0.225	-6.02666741e-10	6.37207901e-08	-9.4161393e-09	3.15468729e-07	1.71812502e-07	0	0	0	0	0	0	3
10	1	0	0.25	1.38616957e-08	5.87348806e-08	-9.4161393e-09	3.15468729e-07	1.71812502e-07	0	0	0	0	0	0	3
11	2	0	0.275	6.85278641e-08	5.96251518e-08	-9.4161393e-09	3.15468729e-07	1.71812502e-07	0	0	0	0	0	0	3
12	2	0	0.3	-6.41936561e-08	4.93069178e-08	-6.41936561e-08	3.15468729e-07	1.71812502e-07	0	0	0	0	0	0	3
13	2	0	0.325	3.07460404e-07	6.91648783e-08	-6.41936561e-08	3.15468729e-07	1.71812502e-07	0	0	0	0	0	0	3
14	2	0	0.35	2.55739222e-07	8.24916171e-08	-6.41936561e-08	3.15468729e-07	1.71812502e-07	0	0	0	0	0	0	3
15	2	0	0.375	3.03438027e-07	9.72213778e-08	-6.41936561e-08	3.15468729e-07	1.71812502e-07	0	0	0	0	0	0	3
16	2	0	0.4	2.72594279e-07	1.08182184e-07	-6.41936561e-08	3.15468729e-07	1.71812502e-07	0	0	0	0	0	0	3
