"Time Sec","Position mm","100 kN kN","Cycle"
0.,9.75719,0.00280142,1
0.1,9.65985,0.00357628,1
0.2,9.56138,0.00590086,1
0.3,9.45979,0.00222921,1
0.4,9.36056,0.00430346,1
0.5,9.25779,-0.00499487,1
0.6,9.16179,0.00354052,1
0.7,9.05829,-0.00125766,1
0.8,8.96046,0.00406504,1
0.9,8.85932,0.238419E-3,1
1.,8.75734,0.00281334,1
1.1,8.65907,0.00158548,1
1.2,8.55827,-0.00649095,1
1.3,8.46,-0.00221729,1
1.4,8.35721,-0.0191808,1
1.5,8.25724,-0.00630021,1
1.6,8.15687,-0.0160694,1
1.7,8.05841,-0.0142455,1
1.8,7.95635,-0.0237644,1
1.9,7.8576,-0.0154316,1
2.,7.75583,-0.0276089,1
2.1,7.6583,-0.0234485,1
2.2,7.55593,-0.032115,1
2.3,7.4576,-0.0423372,1
2.4,7.35676,-0.0556469,1
2.5,7.25726,-0.0489831,1
2.6,7.15743,-0.061965,1
2.7,7.05834,-0.0512123,1
2.8,6.95574,-0.0827193,1
2.9,6.85695,-0.0766814,1
3.,6.75811,-0.0658929,1
3.1,6.65661,-0.0861287,1
3.2,6.55725,-0.0879526,1
3.3,6.4564,-0.0872433,1
3.4,6.35803,-0.0916004,1
3.5,6.25404,-0.0963092,1
3.6,6.15765,-0.0955582,1
3.7,6.0567,-0.100565,1
3.8,5.95741,-0.0990868,1
3.9,5.85765,-0.102144,1
4.,5.75616,-0.104558,1
4.1,5.65683,-0.1086,1
4.2,5.55736,-0.114042,1
4.3,5.45715,-0.112051,1
4.4,5.35624,-0.112844,1
4.5,5.25527,-0.115532,1
4.6,5.15678,-0.114679,1
4.7,5.05609,-0.121903,1
4.8,4.95627,-0.120175,1
4.9,4.8571,-0.122344,1
5.,4.75652,-0.119525,1
5.1,4.65723,-0.117326,1
5.2,4.55674,-0.12359,1
5.3,4.45648,-0.119305,1
5.4,4.35749,-0.124639,1
5.5,4.25621,-0.125694,1
5.6,4.15672,-0.127566,1
5.7,4.05631,-0.126261,1
5.8,3.95807,-0.126803,1
5.9,3.856,-0.125659,1
6.,3.75828,-0.122714,1
6.1,3.65632,-0.125706,1
6.2,3.5578,-0.124717,1
6.3,3.45719,-0.122815,1
6.4,3.35761,-0.124151,1
6.5,3.25562,-0.131071,1
6.6,3.15837,-0.120229,1
6.7,3.05591,-0.125271,1
6.8,2.95718,-0.128436,1
6.9,2.85622,-0.127894,1
7.,2.75638,-0.125057,1
7.1,2.65778,-0.124264,1
7.2,2.5574,-0.1252,1
7.3,2.45734,-0.129884,1
7.4,2.3558,-0.127697,1
7.5,2.25861,-0.125992,1
7.6,2.15605,-0.135762,1
7.7,2.0588,-0.122643,1
7.8,1.9569,-0.129759,1
7.9,1.85704,-0.126314,1
8.,1.75605,-0.128883,1
8.1,1.65707,-0.130147,1
8.2,1.55603,-0.133783,1
8.3,1.45609,-0.133061,1
8.4,1.35623,-0.136137,1
8.5,1.25691,-0.132793,1
8.6,1.15688,-0.134748,1
8.7,1.05631,-0.132835,1
8.8,0.955305,-0.139141,1
8.9,0.857754,-0.134057,1
9.,0.757196,-0.134945,1
9.1,0.655626,-0.141484,1
9.2,0.558032,-0.140911,1
9.3,0.457703,-0.152737,1
9.4,0.357864,-0.145531,1
9.5,0.25712,-0.15893,1
9.6,0.15849,-0.155753,1
9.7,0.0561889,-0.152916,1
9.8,-0.0424781,-0.153428,1
9.9,-0.144475,-0.158262,1
10.,-0.242841,-0.14503,1
10.1,-0.342606,-0.151891,1
10.2,-0.442256,-0.157762,1
10.3,-0.543338,-0.171852,1
10.4,-0.642647,-0.151885,1
10.5,-0.743339,-0.176126,1
10.6,-0.842381,-0.168347,1
10.7,-0.942329,-0.17432,1
10.8,-1.04266,-0.159794,1
10.9,-1.14218,-0.16821,1
11.,-1.24379,-0.181425,1
11.1,-1.34384,-0.162882,1
11.2,-1.4433,-0.173974,1
11.3,-1.54168,-0.168979,1
11.4,-1.64415,-0.163293,1
11.5,-1.74278,-0.165874,1
11.6,-1.84412,-0.166357,1
11.7,-1.94255,-0.160927,1
11.8,-2.04328,-0.16312,1
11.9,-2.14378,-0.164407,1
12.,-2.24349,-0.154471,1
12.1,-2.34316,-0.147903,1
12.2,-2.44353,-0.154072,1
12.3,-2.54289,-0.13988,1
12.4,-2.64156,-0.141561,1
12.5,-2.74315,-0.139874,1
12.6,-2.84159,-0.131667,1
12.7,-2.94207,-0.145251,1
12.8,-3.04309,-0.14044,1
12.9,-3.14396,-0.138116,1
13.,-3.24224,-0.143796,1
13.1,-3.34319,-0.138384,1
13.2,-3.44196,-0.13606,1
13.3,-3.54157,-0.1414,1
13.4,-3.64316,-0.13563,1
13.5,-3.74189,-0.126064,1
13.6,-3.84212,-0.128454,1
13.7,-3.94184,-0.126964,1
13.8,-4.04341,-0.138134,1
13.9,-4.14243,-0.131148,1
14.,-4.2432,-0.138521,1
14.1,-4.34217,-0.143141,1
14.2,-4.44187,-0.136858,1
14.3,-4.54279,-0.127578,1
