Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0110075593	0	0	0	0	0	0	0	0	0	0	0	3
2	6	0	0.0220151186	0	0	0	0	0	0	0	0	0	0	0	3
3	7	0	0.033022678	0	0	0	0	0	0	0	0	0	0	0	3
4	8	0	0.0440302373	0	0	0	0	0	0	0	0	0	0	0	3
5	9	0	0.0550377966	0	0	0	0	0	0	0	0	0	0	0	3
6	10	0	0.0660453559	0	0	0	0	0	0	0	0	0	0	0	3
7	12	0	0.0770529153	0	0	0	0	0	0	0	0	0	0	0	3
8	13	0	0.0880604746	0	0	0	0	0	0	0	0	0	0	0	3
9	14	0	0.0990680339	0	0	0	0	0	0	0	0	0	0	0	3
10	15	0	0.110075593	0	0	0	0	0	0	0	0	0	0	0	3
11	16	0	0.121083153	0	0	0	0	0	0	0	0	0	0	0	3
12	17	0	0.132090712	0	0	0	0	0	0	0	0	0	0	0	3
13	18	0	0.143098271	0	0	0	0	0	0	0	0	0	0	0	3
14	20	0	0.154105831	0	0	0	0	0	0	0	0	0	0	0	3
15	21	0	0.16511339	0	0	0	0	0	0	0	0	0	0	0	3
16	22	0	0.176120949	0	0	0	0	0	0	0	0	0	0	0	3
17	23	0	0.187128509	0	0	0	0	0	0	0	0	0	0	0	3
18	24	0	0.198136068	0	0	0	0	0	0	0	0	0	0	0	3
19	25	0	0.209143627	0	0	0	0	0	0	0	0	0	0	0	3
20	26	0	0.220151186	0	0	0	0	0	0	0	0	0	0	0	3
21	27	0	0.231158746	0	0	0	0	0	0	0	0	0	0	0	3
22	28	0	0.242166305	0	0	0	0	0	0	0	0	0	0	0	3
23	30	0	0.253173864	0	0	0	0	0	0	0	0	0	0	0	3
24	31	0	0.264181424	0	0	0	0	0	0	0	0	0	0	0	3
25	32	0	0.275188983	0	0	0	0	0	0	0	0	0	0	0	3
26	33	0	0.286196542	0	0	0	0	0	0	0	0	0	0	0	3
27	34	0	0.297204102	0	0	0	0	0	0	0	0	0	0	0	3
28	35	0	0.308211661	0	0	0	0	0	0	0	0	0	0	0	3
29	36	0	0.31921922	0	0	0	0	0	0	0	0	0	0	0	3
30	37	0	0.33022678	0	0	0	0	0	0	0	0	0	0	0	3
31	38	0	0.341234339	0	0	0	0	0	0	0	0	0	0	0	3
32	40	0	0.352241898	0	0	0	0	0	0	0	0	0	0	0	3
33	41	0	0.363249458	0	0	0	0	0	0	0	0	0	0	0	3
34	42	0	0.374257017	0	0	0	0	0	0	0	0	0	0	0	3
35	43	0	0.385264576	0	0	0	0	0	0	0	0	0	0	0	3
36	44	0	0.396272136	0	0	0	0	0	0	0	0	0	0	0	3
37	45	0	0.407279695	0	0	0	0	0	0	0	0	0	0	0	3
38	46	0	0.418287254	0	0	0	0	0	0	0	0	0	0	0	3
39	47	0	0.429294814	0	0	0	0	0	0	0	0	0	0	0	3
40	48	0	0.440302373	0	0	0	0	0	0	0	0	0	0	0	3
41	50	0	0.451309932	0	0	0	0	0	0	0	0	0	0	0	3
42	51	0	0.462317492	0	0	0	0	0	0	0	0	0	0	0	3
43	52	0	0.473325051	0	0	0	0	0	0	0	0	0	0	0	3
44	53	0	0.48433261	0	0	0	0	0	0	0	0	0	0	0	3
45	54	0	0.49534017	0	0	0	0	0	0	0	0	0	0	0	3
46	55	0	0.506347729	0	0	0	0	0	0	0	0	0	0	0	3
47	56	0	0.517355288	0	0	0	0	0	0	0	0	0	0	0	3
48	58	0	0.528362848	0	0	0	0	0	0	0	0	0	0	0	3
49	59	0	0.539370407	0	0	0	0	0	0	0	0	0	0	0	3
50	60	0	0.550377966	0	0	0	0	0	0	0	0	0	0	0	3
51	61	0	0.561385526	0	0	0	0	0	0	0	0	0	0	0	3
52	62	0	0.572393085	0	0	0	0	0	0	0	0	0	0	0	3
53	63	0	0.583400644	0	0	0	0	0	0	0	0	0	0	0	3
54	64	0	0.594408203	0	0	0	0	0	0	0	0	0	0	0	3
55	65	0	0.605415763	0	0	0	0	0	0	0	0	0	0	0	3
56	66	0	0.616423322	0	0	0	0	0	0	0	0	0	0	0	3
57	67	0	0.627430881	0	0	0	0	0	0	0	0	0	0	0	3
58	69	0	0.638438441	0	0	0	0	0	0	0	0	0	0	0	3
59	70	0	0.649446	0	0	0	0	0	0	0	0	0	0	0	3
60	71	0	0.660453559	0	0	0	0	0	0	0	0	0	0	0	3
61	72	0	0.671461119	0	0	0	0	0	0	0	0	0	0	0	3
62	73	0	0.682468678	0	0	0	0	0	0	0	0	0	0	0	3
63	74	0	0.693476237	0	0	0	0	0	0	0	0	0	0	0	3
64	75	0	0.704483797	0	0	0	0	0	0	0	0	0	0	0	3
65	76	0	0.715491356	0	0	0	0	0	0	0	0	0	0	0	3
66	77	0	0.726498915	0	0	0	0	0	0	0	0	0	0	0	3
67	79	0	0.737506475	0	0	0	0	0	0	0	0	0	0	0	3
68	80	0	0.748514034	0	0	0	0	0	0	0	0	0	0	0	3
69	81	0	0.759521593	0	0	0	0	0	0	0	0	0	0	0	3
70	82	0	0.770529153	0	0	0	0	0	0	0	0	0	0	0	3
71	83	0	0.781536712	0	0	0	0	0	0	0	0	0	0	0	3
72	84	0	0.792544271	0	0	0	0	0	0	0	0	0	0	0	3
73	85	0	0.803551831	0	0	0	0	0	0	0	0	0	0	0	3
74	86	0	0.81455939	0	0	0	0	0	0	0	0	0	0	0	3
75	88	0	0.825566949	0	0	0	0	0	0	0	0	0	0	0	3
76	89	0	0.836574509	0	0	0	0	0	0	0	0	0	0	0	3
77	90	0	0.847582068	0	0	0	0	0	0	0	0	0	0	0	3
78	91	0	0.858589627	0	0	0	0	0	0	0	0	0	0	0	3
79	92	0	0.869597187	0	0	0	0	0	0	0	0	0	0	0	3
80	93	0	0.880604746	0	0	0	0	0	0	0	0	0	0	0	3
81	94	0	0.891612305	0	0	0	0	0	0	0	0	0	0	0	3
82	95	0	0.902619865	0	0	0	0	0	0	0	0	0	0	0	3
83	97	0	0.913627424	0	0	0	0	0	0	0	0	0	0	0	3
84	98	0	0.924634983	0	0	0	0	0	0	0	0	0	0	0	3
85	99	0	0.935642543	0	0	0	0	0	0	0	0	0	0	0	3
86	100	0	0.946650102	0	0	0	0	0	0	0	0	0	0	0	3
87	101	0	0.957657661	0	0	0	0	0	0	0	0	0	0	0	3
88	103	0	0.96866522	0	0	0	0	0	0	0	0	0	0	0	3
89	104	0	0.97967278	0	0	0	0	0	0	0	0	0	0	0	3
90	105	0	0.990680339	0	0	0	0	0	0	0	0	0	0	0	3
91	106	0	1.0016879	0	0	0	0	0	5e-06	0	100	0	0	0	3
