Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0110075593	101357.865	101357.865	101357.865	101357.865	0	0	0	0	17420.3	0	0	3
2	6	0	0.0220151186	101317.319	101337.592	101317.319	101357.865	20.2726406	0	0	0	31953.8	0	0	3
3	7	0	0.033022678	101305.229	101326.804	101305.229	101357.865	31.0604235	0	0	0	44486.9	0	0	3
4	8	0	0.0440302373	101312.132	101323.136	101305.229	101357.865	34.7285626	0	0	0	42289.3	0	0	3
5	9	0	0.0550377966	101318.983	101322.305	101305.229	101357.865	35.5592684	0	0	0	46822.5	0	0	3
6	10	0	0.0660453559	101320.172	101321.95	101305.229	101357.865	35.9148764	0	0	0	50086.9	0	0	3
7	12	0	0.0770529153	101321.854	101321.936	101305.229	101357.865	35.9285345	0	0	0	51337	0	0	3
8	13	0	0.0880604746	101322.99	101322.068	101305.229	101357.865	35.9285345	0	0	0	50013.5	0	0	3
9	14	0	0.0990680339	101323.086	101322.181	101305.229	101357.865	35.9285345	0	0	0	44784	0	0	3
10	15	0	0.110075593	101323.199	101322.283	101305.229	101357.865	35.9285345	0	0	0	39953.3	0	0	3
11	16	0	0.121083153	101323.354	101322.38	101305.229	101357.865	35.9285345	0	0	0	34666.7	0	0	3
12	17	0	0.132090712	101323.554	101322.478	101305.229	101357.865	35.9285345	0	0	0	29721	0	0	3
13	18	0	0.143098271	101323.852	101322.584	101305.229	101357.865	35.9285345	0	0	0	25702.1	0	0	3
14	20	0	0.154105831	101324.053	101322.689	101305.229	101357.865	35.9285345	0	0	0	21670.4	0	0	3
15	21	0	0.16511339	101324.246	101322.792	101305.229	101357.865	35.9285345	0	0	0	18783.6	0	0	3
16	22	0	0.176120949	101324.374	101322.891	101305.229	101357.865	35.9285345	0	0	0	15791.6	0	0	3
17	23	0	0.187128509	101324.453	101322.983	101305.229	101357.865	35.9285345	0	0	0	14209	0	0	3
18	24	0	0.198136068	101324.536	101323.069	101305.229	101357.865	35.9285345	0	0	0	12328.5	0	0	3
19	25	0	0.209143627	101324.57	101323.148	101305.229	101357.865	35.9285345	0	0	0	10987.7	0	0	3
20	26	0	0.220151186	101324.609	101323.221	101305.229	101357.865	35.9285345	0	0	0	9765.89	0	0	3
21	27	0	0.231158746	101324.638	101323.289	101305.229	101357.865	35.9285345	0	0	0	8551.91	0	0	3
22	28	0	0.242166305	101324.64	101323.35	101305.229	101357.865	35.9285345	0	0	0	7943.4	0	0	3
23	30	0	0.253173864	101324.652	101323.407	101305.229	101357.865	35.9285345	0	0	0	7784.56	0	0	3
24	31	0	0.264181424	101324.654	101323.459	101305.229	101357.865	35.9285345	0	0	0	7726.31	0	0	3
25	32	0	0.275188983	101324.66	101323.507	101305.229	101357.865	35.9285345	0	0	0	7688.52	0	0	3
26	33	0	0.286196542	101324.672	101323.552	101305.229	101357.865	35.9285345	0	0	0	7646.69	0	0	3
27	34	0	0.297204102	101324.683	101323.594	101305.229	101357.865	35.9285345	0	0	0	7610.88	0	0	3
28	35	0	0.308211661	101324.692	101323.633	101305.229	101357.865	35.9285345	0	0	0	7576.26	0	0	3
29	36	0	0.31921922	101324.705	101323.67	101305.229	101357.865	35.9285345	0	0	0	7545.82	0	0	3
30	37	0	0.33022678	101324.71	101323.704	101305.229	101357.865	35.9285345	0	0	0	7521.95	0	0	3
31	38	0	0.341234339	101324.713	101323.737	101305.229	101357.865	35.9285345	0	0	0	7496.01	0	0	3
32	40	0	0.352241898	101324.713	101323.767	101305.229	101357.865	35.9285345	0	0	0	7491.69	0	0	3
33	41	0	0.363249458	101324.71	101323.796	101305.229	101357.865	35.9285345	0	0	0	7470.48	0	0	3
34	42	0	0.374257017	101324.715	101323.823	101305.229	101357.865	35.9285345	0	0	0	7469.28	0	0	3
35	43	0	0.385264576	101324.715	101323.849	101305.229	101357.865	35.9285345	0	0	0	7449.81	0	0	3
36	44	0	0.396272136	101324.722	101323.873	101305.229	101357.865	35.9285345	0	0	0	7453.75	0	0	3
37	45	0	0.407279695	101324.726	101323.896	101305.229	101357.865	35.9285345	0	0	0	7441.35	0	0	3
38	46	0	0.418287254	101324.731	101323.918	101305.229	101357.865	35.9285345	0	0	0	7445.69	0	0	3
39	47	0	0.429294814	101324.731	101323.939	101305.229	101357.865	35.9285345	0	0	0	7433.09	0	0	3
40	48	0	0.440302373	101324.733	101323.959	101305.229	101357.865	35.9285345	0	0	0	7435.15	0	0	3
41	50	0	0.451309932	101324.735	101323.977	101305.229	101357.865	35.9285345	0	0	0	7426.01	0	0	3
42	51	0	0.462317492	101324.738	101323.996	101305.229	101357.865	35.9285345	0	0	0	7431.47	0	0	3
43	52	0	0.473325051	101324.738	101324.013	101305.229	101357.865	35.9285345	0	0	0	7422.49	0	0	3
44	53	0	0.48433261	101324.738	101324.029	101305.229	101357.865	35.9285345	0	0	0	7425.94	0	0	3
