Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0110075593	293.203793	293.203793	293.203793	293.203793	0	0	0	0	12.4356	0	0	3
2	6	0	0.0220151186	293.200233	293.202013	293.200233	293.203793	0.00178011102	0	0	0	13.6201	0	0	3
3	7	0	0.033022678	293.19923	293.201085	293.19923	293.203793	0.00270775493	0	0	0	15.3646	0	0	3
4	8	0	0.0440302373	293.200002	293.200814	293.19923	293.203793	0.00297860574	0	0	0	16.1972	0	0	3
5	9	0	0.0550377966	293.200759	293.200803	293.19923	293.203793	0.00298972838	0	0	0	15.3908	0	0	3
6	10	0	0.0660453559	293.201019	293.200839	293.19923	293.203793	0.00298972838	0	0	0	12.6866	0	0	3
7	12	0	0.0770529153	293.201306	293.200906	293.19923	293.203793	0.00298972838	0	0	0	11.1983	0	0	3
8	13	0	0.0880604746	293.201528	293.200984	293.19923	293.203793	0.00298972838	0	0	0	11.0707	0	0	3
9	14	0	0.0990680339	293.201668	293.20106	293.19923	293.203793	0.00298972838	0	0	0	10.616	0	0	3
10	15	0	0.110075593	293.201796	293.201133	293.19923	293.203793	0.00298972838	0	0	0	10.5226	0	0	3
11	16	0	0.121083153	293.201996	293.201212	293.19923	293.203793	0.00298972838	0	0	0	10.9919	0	0	3
12	17	0	0.132090712	293.202183	293.201293	293.19923	293.203793	0.00298972838	0	0	0	10.6427	0	0	3
13	18	0	0.143098271	293.202348	293.201374	293.19923	293.203793	0.00298972838	0	0	0	10.5762	0	0	3
14	20	0	0.154105831	293.202501	293.201454	293.19923	293.203793	0.00298972838	0	0	0	10.3074	0	0	3
15	21	0	0.16511339	293.202639	293.201533	293.19923	293.203793	0.00298972838	0	0	0	9.91909	0	0	3
16	22	0	0.176120949	293.202829	293.201614	293.19923	293.203793	0.00298972838	0	0	0	9.39611	0	0	3
17	23	0	0.187128509	293.203005	293.201696	293.19923	293.203793	0.00298972838	0	0	0	8.81475	0	0	3
18	24	0	0.198136068	293.203165	293.201778	293.19923	293.203793	0.00298972838	0	0	0	8.32203	0	0	3
19	25	0	0.209143627	293.203315	293.201859	293.19923	293.203793	0.00298972838	0	0	0	7.94215	0	0	3
20	26	0	0.220151186	293.203455	293.201938	293.19923	293.203793	0.00298972838	0	0	0	7.6432	0	0	3
21	27	0	0.231158746	293.203648	293.20202	293.19923	293.203793	0.00298972838	0	0	0	7.24916	0	0	3
22	28	0	0.242166305	293.203827	293.202102	293.19923	293.203827	0.00298972838	0	0	0	7.13723	0	0	3
23	30	0	0.253173864	293.203991	293.202184	293.19923	293.203991	0.00298972838	0	0	0	7.08269	0	0	3
24	31	0	0.264181424	293.204142	293.202266	293.19923	293.204142	0.00298972838	0	0	0	7.03102	0	0	3
25	32	0	0.275188983	293.20428	293.202346	293.19923	293.20428	0.00298972838	0	0	0	6.9822	0	0	3
26	33	0	0.286196542	293.20446	293.202428	293.19923	293.20446	0.00298972838	0	0	0	6.93564	0	0	3
27	34	0	0.297204102	293.204612	293.202508	293.19923	293.204612	0.00298972838	0	0	0	6.86569	0	0	3
28	35	0	0.308211661	293.204736	293.202588	293.19923	293.204736	0.00298972838	0	0	0	6.79227	0	0	3
29	36	0	0.31921922	293.204838	293.202666	293.19923	293.204838	0.00298972838	0	0	0	6.73023	0	0	3
30	37	0	0.33022678	293.204918	293.202741	293.19923	293.204918	0.00298972838	0	0	0	6.6716	0	0	3
31	38	0	0.341234339	293.205	293.202814	293.19923	293.205	0.00298972838	0	0	0	6.62165	0	0	3
32	40	0	0.352241898	293.205057	293.202884	293.19923	293.205057	0.00298972838	0	0	0	6.55643	0	0	3
33	41	0	0.363249458	293.205099	293.202951	293.19923	293.205099	0.00298972838	0	0	0	6.50792	0	0	3
34	42	0	0.374257017	293.205133	293.203015	293.19923	293.205133	0.00298972838	0	0	0	6.46836	0	0	3
35	43	0	0.385264576	293.20516	293.203076	293.19923	293.20516	0.00298972838	0	0	0	6.44113	0	0	3
36	44	0	0.396272136	293.205199	293.203135	293.19923	293.205199	0.00298972838	0	0	0	6.41435	0	0	3
37	45	0	0.407279695	293.205234	293.203192	293.19923	293.205234	0.00298972838	0	0	0	6.39801	0	0	3
38	46	0	0.418287254	293.205262	293.203246	293.19923	293.205262	0.00298972838	0	0	0	6.39465	0	0	3
39	47	0	0.429294814	293.205289	293.203299	293.19923	293.205289	0.00298972838	0	0	0	6.39445	0	0	3
40	48	0	0.440302373	293.20531	293.203349	293.19923	293.20531	0.00298972838	0	0	0	6.38538	0	0	3
41	50	0	0.451309932	293.205333	293.203397	293.19923	293.205333	0.00298972838	0	0	0	6.38218	0	0	3
42	51	0	0.462317492	293.205351	293.203444	293.19923	293.205351	0.00298972838	0	0	0	6.37911	0	0	3
43	52	0	0.473325051	293.205365	293.203489	293.19923	293.205365	0.00298972838	0	0	0	6.37965	0	0	3
44	53	0	0.48433261	293.205371	293.203531	293.19923	293.205371	0.00298972838	0	0	0	6.36923	0	0	3
45	54	0	0.49534017	293.205375	293.203572	293.19923	293.205375	0.00298972838	0	0	0	6.36871	0	0	3
46	55	0	0.506347729	293.205381	293.203612	293.19923	293.205381	0.00298972838	0	0	0	6.36968	0	0	3
47	56	0	0.517355288	293.205383	293.203646	293.19923	293.205383	0.00284302968	0	0	0	6.3673	0	0	3
48	58	0	0.528362848	293.205385	293.203758	293.19923	293.205385	0.00295502541	0	0	0	6.36319	0	0	3
49	59	0	0.539370407	293.205387	293.203892	293.200002	293.205387	0.00308887302	0	0	0	6.36209	0	0	3
50	60	0	0.550377966	293.205388	293.204009	293.200759	293.205388	0.00320596911	0	0	0	6.36314	0	0	3
51	61	0	0.561385526	293.205392	293.20411	293.201019	293.205392	0.00327079758	0	0	0	6.36444	0	0	3
