Iteration	CPUTime	PhysTime	Travels
1	4	0	0.0110075593
2	6	0	0.0220151186
3	7	0	0.033022678
4	8	0	0.0440302373
5	9	0	0.0550377966
6	10	0	0.0660453559
7	12	0	0.0770529153
8	13	0	0.0880604746
9	14	0	0.0990680339
10	15	0	0.110075593
11	16	0	0.121083153
12	17	0	0.132090712
13	18	0	0.143098271
14	20	0	0.154105831
15	21	0	0.16511339
16	22	0	0.176120949
17	23	0	0.187128509
18	24	0	0.198136068
19	25	0	0.209143627
20	26	0	0.220151186
21	27	0	0.231158746
22	28	0	0.242166305
23	30	0	0.253173864
24	31	0	0.264181424
25	32	0	0.275188983
26	33	0	0.286196542
27	34	0	0.297204102
28	35	0	0.308211661
29	36	0	0.31921922
30	37	0	0.33022678
31	38	0	0.341234339
32	40	0	0.352241898
33	41	0	0.363249458
34	42	0	0.374257017
35	43	0	0.385264576
36	44	0	0.396272136
37	45	0	0.407279695
38	46	0	0.418287254
39	47	0	0.429294814
40	48	0	0.440302373
41	50	0	0.451309932
42	51	0	0.462317492
43	52	0	0.473325051
44	53	0	0.48433261
45	54	0	0.49534017
46	55	0	0.506347729
47	56	0	0.517355288
48	58	0	0.528362848
49	59	0	0.539370407
50	60	0	0.550377966
51	61	0	0.561385526
52	62	0	0.572393085
53	63	0	0.583400644
54	64	0	0.594408203
55	65	0	0.605415763
56	66	0	0.616423322
57	67	0	0.627430881
58	69	0	0.638438441
59	70	0	0.649446
60	71	0	0.660453559
61	72	0	0.671461119
62	73	0	0.682468678
63	74	0	0.693476237
64	75	0	0.704483797
65	76	0	0.715491356
66	77	0	0.726498915
67	79	0	0.737506475
68	80	0	0.748514034
69	81	0	0.759521593
70	82	0	0.770529153
71	83	0	0.781536712
72	84	0	0.792544271
73	85	0	0.803551831
74	86	0	0.81455939
75	88	0	0.825566949
76	89	0	0.836574509
77	90	0	0.847582068
78	91	0	0.858589627
79	92	0	0.869597187
80	93	0	0.880604746
81	94	0	0.891612305
82	95	0	0.902619865
83	97	0	0.913627424
84	98	0	0.924634983
85	99	0	0.935642543
86	100	0	0.946650102
87	101	0	0.957657661
88	103	0	0.96866522
89	104	0	0.97967278
90	105	0	0.990680339
91	106	0	1.0016879
