"Time Sec","Position mm","100 kN kN","Cycle"
0.,43.922,0.00118017,1
0.1,43.8273,0.00716448,1
0.2,43.7259,0.0103951,1
0.3,43.6248,0.00663996,1
0.4,43.5247,-0.500679E-3,1
0.5,43.4244,0.00829697,1
0.6,43.325,0.0111341,1
0.7,43.2239,0.476837E-3,1
0.8,43.1237,0.00196695,1
0.9,43.0241,0.00598431,1
1.,42.9235,0.00140667,1
1.1,42.8235,0.00370741,1
1.2,42.7225,-0.0103056,1
1.3,42.622,-0.0032723,1
1.4,42.5227,0.00367165,1
1.5,42.4216,-0.0058949,1
1.6,42.3245,-0.631809E-3,1
1.7,42.2229,-0.013268,1
1.8,42.1226,-0.0160217,1
1.9,42.0221,-0.0132263,1
2.,41.9213,-0.0158072,1
2.1,41.8236,-0.0222206,1
2.2,41.7225,-0.0346363,1
2.3,41.6228,-0.0263214,1
2.4,41.5221,-0.0334561,1
2.5,41.4234,-0.0361741,1
2.6,41.3217,-0.0506103,1
2.7,41.2223,-0.0414193,1
2.8,41.1226,-0.0479698,1
2.9,41.0235,-0.0725508,1
3.,40.92,-0.0743151,1
3.1,40.8219,-0.0703275,1
3.2,40.7212,-0.0821531,1
3.3,40.623,-0.0766099,1
3.4,40.5214,-0.0909865,1
3.5,40.4227,-0.0941992,1
3.6,40.3208,-0.0965953,1
3.7,40.2212,-0.102198,1
3.8,40.1219,-0.0965238,1
3.9,40.0227,-0.102305,1
4.,39.9239,-0.102282,1
4.1,39.8208,-0.10888,1
4.2,39.7232,-0.10398,1
4.3,39.6201,-0.119036,1
4.4,39.5229,-0.115615,1
4.5,39.4206,-0.122344,1
4.6,39.3232,-0.119358,1
4.7,39.2219,-0.125289,1
4.8,39.1225,-0.12483,1
4.9,39.0211,-0.132775,1
5.,38.923,-0.129467,1
5.1,38.8218,-0.131142,1
5.2,38.723,-0.127757,1
5.3,38.6215,-0.13417,1
5.4,38.5227,-0.13417,1
5.5,38.4222,-0.146395,1
5.6,38.3224,-0.136834,1
5.7,38.2235,-0.142181,1
5.8,38.1203,-0.14472,1
5.9,38.0217,-0.158501,1
6.,37.9211,-0.154972,1
6.1,37.8229,-0.15043,1
6.2,37.7222,-0.150573,1
6.3,37.6216,-0.157112,1
6.4,37.5203,-0.178647,1
6.5,37.4242,-0.158757,1
6.6,37.3223,-0.173175,1
6.7,37.2229,-0.163054,1
6.8,37.1201,-0.163281,1
6.9,37.0236,-0.149679,1
7.,36.9215,-0.171638,1
7.1,36.8231,-0.153178,1
7.2,36.7207,-0.160533,1
7.3,36.6238,-0.165749,1
7.4,36.5223,-0.168788,1
7.5,36.4232,-0.148952,1
7.6,36.3224,-0.154328,1
7.7,36.2203,-0.15496,1
7.8,36.1219,-0.157118,1
7.9,36.0215,-0.168514,1
8.,35.9227,-0.14475,1
8.1,35.8216,-0.153261,1
8.2,35.7217,-0.141925,1
8.3,35.6217,-0.171596,1
8.4,35.5229,-0.173622,1
8.5,35.4222,-0.163811,1
8.6,35.3221,-0.149107,1
8.7,35.2233,-0.160158,1
8.8,35.1213,-0.16439,1
8.9,35.0231,-0.159925,1
9.,34.922,-0.152546,1
9.1,34.8227,-0.164366,1
9.2,34.7225,-0.162494,1
9.3,34.6219,-0.154251,1
9.4,34.5226,-0.181872,1
9.5,34.4213,-0.159818,1
9.6,34.3222,-0.150603,1
9.7,34.2224,-0.160205,1
9.8,34.1211,-0.160325,1
9.9,34.0223,-0.15555,1
10.,33.923,-0.155121,1
10.1,33.8207,-0.16256,1
10.2,33.7217,-0.155687,1
10.3,33.6211,-0.156927,1
10.4,33.5239,-0.16039,1
10.5,33.4209,-0.165939,1
10.6,33.3223,-0.159359,1
10.7,33.2219,-0.152326,1
10.8,33.1236,-0.160253,1
10.9,33.022,-0.158513,1
11.,32.9244,-0.133038,1
11.1,32.8221,-0.138557,1
11.2,32.7225,-0.149727,1
11.3,32.6208,-0.155848,1
11.4,32.5224,-0.134993,1
11.5,32.4213,-0.144917,1
11.6,32.3232,-0.135356,1
11.7,32.2232,-0.133467,1
11.8,32.1222,-0.135201,1
11.9,32.0225,-0.137323,1
12.,31.9215,-0.139809,1
12.1,31.8216,-0.126868,1
12.2,31.7215,-0.138211,1
12.3,31.6229,-0.128108,1
12.4,31.5203,-0.140399,1
12.5,31.4233,-0.130153,1
12.6,31.3213,-0.133592,1
12.7,31.2216,-0.125223,1
12.8,31.122,-0.125772,1
12.9,31.0233,-0.125217,1
13.,30.9211,-0.127018,1
13.1,30.8234,-0.126505,1
13.2,30.722,-0.123757,1
13.3,30.6239,-0.117999,1
13.4,30.5221,-0.124317,1
13.5,30.4216,-0.122005,1
13.6,30.3217,-0.128269,1
13.7,30.2208,-0.123155,1
13.8,30.1238,-0.120759,1
13.9,30.0218,-0.120211,1
14.,29.9225,-0.120223,1
14.1,29.8217,-0.122982,1
14.2,29.7232,-0.126487,1
14.3,29.6232,-0.12185,1
14.4,29.5229,-0.121349,1
14.5,29.4216,-0.118738,1
14.6,29.3238,-0.118965,1
14.7,29.2216,-0.122726,1
14.8,29.1227,-0.12148,1
14.9,29.022,-0.122887,1
15.,28.9238,-0.118035,1
15.1,28.8222,-0.117403,1
15.2,28.723,-0.121695,1
15.3,28.6221,-0.128824,1
15.4,28.5232,-0.117844,1
15.5,28.4227,-0.123221,1
15.6,28.3242,-0.124103,1
15.7,28.2222,-0.12278,1
15.8,28.1219,-0.128067,1
15.9,28.0247,-0.118905,1
16.,27.9217,-0.126082,1
16.1,27.8235,-0.121856,1
16.2,27.7219,-0.12719,1
16.3,27.6229,-0.123698,1
16.4,27.521,-0.141704,1
16.5,27.4224,-0.125593,1
16.6,27.3221,-0.127149,1
16.7,27.2224,-0.124925,1
16.8,27.1227,-0.127077,1
16.9,27.0231,-0.127333,1
17.,26.9226,-0.124675,1
17.1,26.8236,-0.125325,1
17.2,26.7219,-0.127208,1
17.3,26.6221,-0.129527,1
17.4,26.5228,-0.129718,1
17.5,26.4224,-0.127494,1
17.6,26.3231,-0.125897,1
17.7,26.2236,-0.142473,1
17.8,26.1225,-0.147641,1
17.9,26.0238,-0.129849,1
18.,25.9223,-0.123233,1
18.1,25.822,-0.131327,1
18.2,25.7248,-0.12874,1
18.3,25.6248,-0.131071,1
18.4,25.5228,-0.133109,1
18.5,25.4229,-0.129491,1
18.6,25.3232,-0.138736,1
18.7,25.2232,-0.138193,1
18.8,25.1225,-0.130665,1
18.9,25.0237,-0.126743,1
19.,24.9223,-0.128627,1
19.1,24.8238,-0.134504,1
19.2,24.7218,-0.132734,1
19.3,24.6227,-0.126868,1
19.4,24.5224,-0.141144,1
19.5,24.4226,-0.138676,1
19.6,24.3219,-0.134808,1
19.7,24.2216,-0.131524,1
19.8,24.1246,-0.13212,1
19.9,24.0232,-0.129473,1
20.,23.9237,-0.135261,1
20.1,23.8218,-0.127685,1
20.2,23.7241,-0.133926,1
20.3,23.6217,-0.135857,1
20.4,23.525,-0.132924,1
20.5,23.4227,-0.131571,1
20.6,23.3246,-0.12641,1
20.7,23.2219,-0.131869,1
20.8,23.1239,-0.127065,1
20.9,23.0221,-0.13206,1
21.,22.9247,-0.127274,1
21.1,22.822,-0.129002,1
21.2,22.7236,-0.127447,1
21.3,22.6212,-0.132883,1
21.4,22.5244,-0.124288,1
21.5,22.4232,-0.128961,1
21.6,22.3253,-0.122976,1
21.7,22.2246,-0.123787,1
21.8,22.1217,-0.132084,1
21.9,22.0237,-0.127155,1
22.,21.924,-0.12117,1
22.1,21.8241,-0.126874,1
22.2,21.7221,-0.129944,1
22.3,21.6237,-0.124103,1
22.4,21.5217,-0.129181,1
22.5,21.4244,-0.118321,1
22.6,21.3224,-0.126642,1
22.7,21.2238,-0.122327,1
22.8,21.1226,-0.12663,1
22.9,21.0239,-0.118011,1
23.,20.9214,-0.128758,1
23.1,20.8239,-0.114208,1
23.2,20.7233,-0.114524,1
23.3,20.6238,-0.113899,1
23.4,20.5217,-0.113624,1
23.5,20.4224,-0.112295,1
23.6,20.3224,-0.118351,1
23.7,20.222,-0.10851,1
23.8,20.1232,-0.108123,1
23.9,20.0223,-0.113076,1
24.,19.9228,-0.109333,1
24.1,19.8235,-0.105208,1
24.2,19.7236,-0.100505,1
24.3,19.6232,-0.106597,1
24.4,19.5233,-0.103462,1
24.5,19.4222,-0.0946701,1
24.6,19.3221,-0.0917971,1
24.7,19.221,-0.0921845,1
24.8,19.1232,-0.0908911,1
24.9,19.0225,-0.0798881,1
25.,18.9227,-0.0811994,1
25.1,18.8239,-0.0814796,1
25.2,18.7235,-0.0761688,1
25.3,18.6235,-0.0752509,1
25.4,18.5228,-0.0725031,1
25.5,18.4231,-0.0617802,1
25.6,18.3231,-0.0675142,1
25.7,18.2229,-0.0664353,1
25.8,18.1228,-0.050509,1
25.9,18.0233,-0.0535131,1
26.,17.9219,-0.049895,1
26.1,17.8226,-0.0460386,1
26.2,17.7236,-0.043577,1
26.3,17.6226,-0.0458181,1
26.4,17.5231,-0.0374794,1
26.5,17.4232,-0.0422001,1
26.6,17.5508,0.00462532,1
26.7,20.1782,0.00847578,1
26.8,22.7898,0.00697374,1
26.9,25.4005,0.0106215,1
27.,28.0104,0.00938177,1
27.1,30.6149,0.00933409,1
27.2,33.2243,0.00864267,1
27.3,35.8297,0.00435114,1
27.4,38.4371,0.00821352,1
27.5,41.0423,0.0106931,1
27.6,43.6496,0.00619888,1
27.7,43.9882,0.00923872,1
27.8,43.9793,0.00647306,1
27.9,43.9739,0.0110507,1
28.,43.9681,0.0084877,1
28.1,43.9638,0.00481606,1
28.2,43.9598,0.00920296,1
28.3,43.9573,0.0142217,1
28.4,43.9529,0.00550747,1
28.5,43.9509,0.00677109,1
28.6,43.9466,0.00127554,1
28.7,43.9459,0.00590086,1
28.8,43.9431,0.00751019,1
28.9,43.9427,0.00389814,1
29.,43.9371,0.00244379,1
29.1,43.9382,0.00590086,1
29.2,43.9359,0.00224113,1
29.3,43.9361,0.00964403,1
29.4,43.9327,0.00622273,1
29.5,43.9323,0.00673533,1
29.6,43.93,0.00327826,1
29.7,43.9299,0.00987053,1
29.8,43.9304,0.00941753,1
29.9,43.9282,0.0068903,1
30.,43.9295,0.00863075,1
30.1,43.927,0.00556707,1
30.2,43.9278,0.0107527,1
30.3,43.9259,0.00975132,1
30.4,43.9272,0.00838041,1
30.5,43.9252,0.00526905,1
30.6,43.9267,0.0111699,1
30.7,43.9249,0.00324249,1
30.8,43.9248,0.00370741,1
30.9,43.9256,0.00500679,1
31.,43.9254,0.00200272,1
31.1,43.9234,0.00300407,1
31.2,43.9238,0.00611544,1
31.3,43.9262,-0.00235438,1
31.4,43.9251,0.00640154,1
31.5,43.9237,0.739098E-3,1
31.6,43.923,0.00566244,1
31.7,43.923,0.00183582,1
31.8,43.9224,0.00869036,1
31.9,43.9242,0.00975132,1
