Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0135325086	293.233037	293.233037	293.233037	293.233037	0	0	0	0	8.96643	0	0	3
2	5	0	0.0270650173	293.201057	293.217047	293.201057	293.233037	0.0159898755	0	0	0	10.574	0	0	3
3	5	0	0.0405975259	293.200702	293.211599	293.200702	293.233037	0.0214383739	0	0	0	10.0318	0	0	3
4	6	0	0.0541300346	293.209372	293.211042	293.200702	293.233037	0.0219951042	0	0	0	10.0749	0	0	3
5	6	0	0.0676625432	293.212772	293.211388	293.200702	293.233037	0.0219951042	0	0	0	10.3409	0	0	3
6	6	0	0.0811950519	293.212133	293.211512	293.200702	293.233037	0.0219951042	0	0	0	10.0419	0	0	3
7	7	0	0.0947275605	293.211695	293.211538	293.200702	293.233037	0.0219951042	0	0	0	9.59946	0	0	3
8	7	0	0.108260069	293.211687	293.211557	293.200702	293.233037	0.0219951042	0	0	0	9.14541	0	0	3
9	8	0	0.121792578	293.211718	293.211575	293.200702	293.233037	0.0219951042	0	0	0	8.76582	0	0	3
10	8	0	0.135325086	293.21172	293.211589	293.200702	293.233037	0.0219951042	0	0	0	8.48114	0	0	3
11	9	0	0.148857595	293.211731	293.211602	293.200702	293.233037	0.0219951042	0	0	0	8.20872	0	0	3
12	9	0	0.162390104	293.21175	293.211614	293.200702	293.233037	0.0219951042	0	0	0	8.01687	0	0	3
13	10	0	0.175922612	293.211758	293.211625	293.200702	293.233037	0.0219951042	0	0	0	7.87314	0	0	3
14	10	0	0.189455121	293.211775	293.211636	293.200702	293.233037	0.0219951042	0	0	0	7.76301	0	0	3
15	11	0	0.20298763	293.211785	293.211646	293.200702	293.233037	0.0219951042	0	0	0	7.67022	0	0	3
16	11	0	0.216520138	293.21182	293.211657	293.200702	293.233037	0.0219951042	0	0	0	7.56971	0	0	3
17	12	0	0.230052647	293.211865	293.211669	293.200702	293.233037	0.0219951042	0	0	0	7.48767	0	0	3
18	12	0	0.243585156	293.211916	293.211683	293.200702	293.233037	0.0219951042	0	0	0	7.4193	0	0	3
19	13	0	0.257117664	293.211962	293.211698	293.200702	293.233037	0.0219951042	0	0	0	7.36771	0	0	3
20	13	0	0.270650173	293.212009	293.211713	293.200702	293.233037	0.0219951042	0	0	0	7.32254	0	0	3
21	14	0	0.284182682	293.212061	293.21173	293.200702	293.233037	0.0219951042	0	0	0	7.269	0	0	3
22	14	0	0.29771519	293.212094	293.211746	293.200702	293.233037	0.0219951042	0	0	0	7.24067	0	0	3
23	15	0	0.311247699	293.212101	293.211762	293.200702	293.233037	0.0219951042	0	0	0	7.20354	0	0	3
24	15	0	0.324780208	293.212085	293.211775	293.200702	293.233037	0.0219951042	0	0	0	7.17203	0	0	3
25	16	0	0.338312716	293.212059	293.211787	293.200702	293.233037	0.0219951042	0	0	0	7.1411	0	0	3
26	16	0	0.351845225	293.211958	293.211793	293.200702	293.233037	0.0219951042	0	0	0	7.09438	0	0	3
27	17	0	0.365377733	293.211824	293.211794	293.200702	293.233037	0.0219951042	0	0	0	7.04903	0	0	3
28	17	0	0.378910242	293.211675	293.21179	293.200702	293.233037	0.0219951042	0	0	0	7.01218	0	0	3
29	18	0	0.392442751	293.211512	293.21178	293.200702	293.233037	0.0219951042	0	0	0	7.03262	0	0	3
30	18	0	0.405975259	293.211356	293.211766	293.200702	293.233037	0.0219951042	0	0	0	7.06112	0	0	3
31	19	0	0.419507768	293.211151	293.211746	293.200702	293.233037	0.0219951042	0	0	0	7.08718	0	0	3
32	19	0	0.433040277	293.211005	293.211723	293.200702	293.233037	0.0219951042	0	0	0	7.09826	0	0	3
33	20	0	0.446572785	293.210925	293.211699	293.200702	293.233037	0.0219951042	0	0	0	7.09041	0	0	3
34	20	0	0.460105294	293.210906	293.211676	293.200702	293.233037	0.0219951042	0	0	0	7.08142	0	0	3
35	21	0	0.473637803	293.210926	293.211654	293.200702	293.233037	0.0219951042	0	0	0	7.08194	0	0	3
36	21	0	0.487170311	293.21099	293.211636	293.200702	293.233037	0.0219951042	0	0	0	7.06808	0	0	3
37	22	0	0.50070282	293.211056	293.21162	293.200702	293.233037	0.0219951042	0	0	0	7.05059	0	0	3
38	22	0	0.514235329	293.211109	293.211028	293.200702	293.212772	0.00601970513	0	0	0	7.04556	0	0	3
39	23	0	0.527767837	293.211147	293.2113	293.200702	293.212772	0.000766780943	0	0	0	7.04286	0	0	3
40	23	0	0.541300346	293.211174	293.211583	293.209372	293.212772	0.000766780943	0	0	0	7.0432	0	0	3
41	24	0	0.554832855	293.211194	293.211632	293.210906	293.212772	0.000766780943	0	0	0	7.03556	0	0	3
42	24	0	0.568365363	293.211201	293.21159	293.210906	293.212133	0.000766780943	0	0	0	7.03431	0	0	3
43	25	0	0.581897872	293.211205	293.211565	293.210906	293.212101	0.000766780943	0	0	0	7.03377	0	0	3
44	25	0	0.59543038	293.211208	293.211552	293.210906	293.212101	0.000766780943	0	0	0	7.02496	0	0	3
45	26	0	0.608962889	293.211217	293.211539	293.210906	293.212101	0.000766780943	0	0	0	7.02633	0	0	3
46	26	0	0.622495398	293.211227	293.211526	293.210906	293.212101	0.000766780943	0	0	0	7.01665	0	0	3
47	27	0	0.636027906	293.211234	293.211513	293.210906	293.212101	0.000766780943	0	0	0	7.02577	0	0	3
48	27	0	0.649560415	293.211254	293.2115	293.210906	293.212101	0.000766780943	0	0	0	7.02437	0	0	3
49	28	0	0.663092924	293.211264	293.211487	293.210906	293.212101	0.000766780943	0	0	0	7.01689	0	0	3
50	28	0	0.676625432	293.211284	293.211474	293.210906	293.212101	0.000766780943	0	0	0	7.01665	0	0	3
51	29	0	0.690157941	293.211288	293.211461	293.210906	293.212101	0.000766780943	0	0	0	7.00582	0	0	3
52	29	0	0.70369045	293.211302	293.211448	293.210906	293.212101	0.000766780943	0	0	0	7.00331	0	0	3
53	30	0	0.717222958	293.211306	293.211434	293.210906	293.212101	0.000766780943	0	0	0	7.01124	0	0	3
54	30	0	0.730755467	293.211324	293.211419	293.210906	293.212101	0.000766780943	0	0	0	7.01043	0	0	3
55	31	0	0.744287976	293.211335	293.211403	293.210906	293.212101	0.000766780943	0	0	0	7.00998	0	0	3
