Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0136483991	0	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.0272967982	0	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.0409451973	0	0	0	0	0	0	0	0	0	0	0	3
4	4	0	0.0545935964	0	0	0	0	0	0	0	0	0	0	0	3
5	4	0	0.0682419955	0	0	0	0	0	0	0	0	0	0	0	3
6	5	0	0.0818903946	0	0	0	0	0	0	0	0	0	0	0	3
7	5	0	0.0955387937	0	0	0	0	0	0	0	0	0	0	0	3
8	6	0	0.109187193	0	0	0	0	0	0	0	0	0	0	0	3
9	6	0	0.122835592	0	0	0	0	0	0	0	0	0	0	0	3
10	7	0	0.136483991	0	0	0	0	0	0	0	0	0	0	0	3
11	8	0	0.15013239	0	0	0	0	0	0	0	0	0	0	0	3
12	8	0	0.163780789	0	0	0	0	0	0	0	0	0	0	0	3
13	9	0	0.177429188	0	0	0	0	0	0	0	0	0	0	0	3
14	10	0	0.191077587	0	0	0	0	0	0	0	0	0	0	0	3
15	10	0	0.204725987	0	0	0	0	0	0	0	0	0	0	0	3
16	11	0	0.218374386	0	0	0	0	0	0	0	0	0	0	0	3
17	11	0	0.232022785	0	0	0	0	0	0	0	0	0	0	0	3
18	12	0	0.245671184	0	0	0	0	0	0	0	0	0	0	0	3
19	13	0	0.259319583	0	0	0	0	0	0	0	0	0	0	0	3
20	13	0	0.272967982	0	0	0	0	0	0	0	0	0	0	0	3
21	14	0	0.286616381	0	0	0	0	0	0	0	0	0	0	0	3
22	14	0	0.30026478	0	0	0	0	0	0	0	0	0	0	0	3
23	15	0	0.313913179	0	0	0	0	0	0	0	0	0	0	0	3
24	16	0	0.327561579	0	0	0	0	0	0	0	0	0	0	0	3
25	16	0	0.341209978	0	0	0	0	0	0	0	0	0	0	0	3
26	17	0	0.354858377	0	0	0	0	0	0	0	0	0	0	0	3
27	17	0	0.368506776	0	0	0	0	0	0	0	0	0	0	0	3
28	18	0	0.382155175	0	0	0	0	0	0	0	0	0	0	0	3
29	19	0	0.395803574	0	0	0	0	0	0	0	0	0	0	0	3
30	19	0	0.409451973	0	0	0	0	0	0	0	0	0	0	0	3
31	20	0	0.423100372	0	0	0	0	0	0	0	0	0	0	0	3
32	21	0	0.436748771	0	0	0	0	0	0	0	0	0	0	0	3
33	21	0	0.45039717	0	0	0	0	0	0	0	0	0	0	0	3
34	22	0	0.46404557	0	0	0	0	0	0	0	0	0	0	0	3
35	22	0	0.477693969	0	0	0	0	0	0	0	0	0	0	0	3
36	23	0	0.491342368	0	0	0	0	0	0	0	0	0	0	0	3
37	24	0	0.504990767	0	0	0	0	0	0	0	0	0	0	0	3
38	24	0	0.518639166	0	0	0	0	0	0	0	0	0	0	0	3
39	25	0	0.532287565	0	0	0	0	0	0	0	0	0	0	0	3
40	26	0	0.545935964	0	0	0	0	0	0	0	0	0	0	0	3
41	26	0	0.559584363	0	0	0	0	0	0	0	0	0	0	0	3
42	27	0	0.573232762	0	0	0	0	0	0	0	0	0	0	0	3
43	28	0	0.586881162	0	0	0	0	0	0	0	0	0	0	0	3
44	28	0	0.600529561	0	0	0	0	0	0	0	0	0	0	0	3
45	29	0	0.61417796	0	0	0	0	0	0	0	0	0	0	0	3
46	29	0	0.627826359	0	0	0	0	0	0	0	0	0	0	0	3
47	30	0	0.641474758	0	0	0	0	0	0	0	0	0	0	0	3
48	31	0	0.655123157	0	0	0	0	0	0	0	0	0	0	0	3
49	32	0	0.668771556	0	0	0	0	0	0	0	0	0	0	0	3
50	32	0	0.682419955	0	0	0	0	0	0	0	0	0	0	0	3
51	33	0	0.696068354	0	0	0	0	0	0	0	0	0	0	0	3
52	34	0	0.709716754	0	0	0	0	0	0	0	0	0	0	0	3
53	34	0	0.723365153	0	0	0	0	0	0	0	0	0	0	0	3
54	35	0	0.737013552	0	0	0	0	0	0	0	0	0	0	0	3
55	36	0	0.750661951	0	0	0	0	0	0	0	0	0	0	0	3
56	36	0	0.76431035	0	0	0	0	0	0	0	0	0	0	0	3
57	37	0	0.777958749	0	0	0	0	0	0	0	0	0	0	0	3
58	38	0	0.791607148	0	0	0	0	0	0	0	0	0	0	0	3
59	38	0	0.805255547	0	0	0	0	0	0	0	0	0	0	0	3
60	39	0	0.818903946	0	0	0	0	0	0	0	0	0	0	0	3
61	39	0	0.832552345	0	0	0	0	0	0	0	0	0	0	0	3
62	40	0	0.846200745	0	0	0	0	0	0	0	0	0	0	0	3
63	41	0	0.859849144	0	0	0	0	0	0	0	0	0	0	0	3
64	41	0	0.873497543	0	0	0	0	0	0	0	0	0	0	0	3
65	42	0	0.887145942	0	0	0	0	0	0	0	0	0	0	0	3
66	43	0	0.900794341	0	0	0	0	0	0	0	0	0	0	0	3
67	43	0	0.91444274	0	0	0	0	0	0	0	0	0	0	0	3
68	44	0	0.928091139	0	0	0	0	0	0	0	0	0	0	0	3
69	45	0	0.941739538	0	0	0	0	0	0	0	0	0	0	0	3
70	45	0	0.955387937	0	0	0	0	0	0	0	0	0	0	0	3
71	46	0	0.969036337	0	0	0	0	0	0	0	0	0	0	0	3
72	46	0	0.982684736	0	0	0	0	0	0	0	0	0	0	0	3
73	47	0	0.996333135	0	0	0	0	0	0	0	0	0	0	0	3
74	48	0	1.00998153	0	0	0	0	0	5e-06	0	100	0	0	0	3
75	48	0	1.02362993	0	0	0	0	0	5e-06	0	100	0	0	0	3
76	49	0	1.03727833	0	0	0	0	0	5e-06	0	100	0	0	0	3
77	49	0	1.05092673	0	0	0	0	0	5e-06	0	100	0	0	0	3
78	50	0	1.06457513	0	0	0	0	0	5e-06	0	100	0	0	0	3
79	51	0	1.07822353	0	0	0	0	0	5e-06	0	100	0	0	0	3
80	51	0	1.09187193	0	0	0	0	0	5e-06	0	100	0	0	0	3
81	52	0	1.10552033	0	0	0	0	0	5e-06	0	100	0	0	0	3
82	53	0	1.11916873	0	0	0	0	0	5e-06	0	100	0	0	0	3
83	53	0	1.13281713	0	0	0	0	0	5e-06	0	100	0	0	0	3
84	54	0	1.14646552	0	0	0	0	0	5e-06	0	100	0	0	0	3
85	55	0	1.16011392	0	0	0	0	0	5e-06	0	100	0	0	0	3
86	55	0	1.17376232	0	0	0	0	0	5e-06	0	100	0	0	0	3
87	56	0	1.18741072	0	0	0	0	0	5e-06	0	100	0	0	0	3
88	56	0	1.20105912	0	0	0	0	0	5e-06	0	100	0	0	0	3
89	57	0	1.21470752	0	0	0	0	0	5e-06	0	100	0	0	0	3
90	58	0	1.22835592	0	0	0	0	0	5e-06	0	100	0	0	0	3
91	58	0	1.24200432	0	0	0	0	0	5e-06	0	100	0	0	0	3
92	59	0	1.25565272	0	0	0	0	0	5e-06	0	100	0	0	0	3
93	60	0	1.26930112	0	0	0	0	0	5e-06	0	100	0	0	0	3
94	60	0	1.28294952	0	0	0	0	0	5e-06	0	100	0	0	0	3
95	61	0	1.29659792	0	0	0	0	0	5e-06	0	100	0	0	0	3
96	61	0	1.31024631	0	0	0	0	0	5e-06	0	100	0	0	0	3
97	62	0	1.32389471	0	0	0	0	0	5e-06	0	100	0	0	0	3
98	63	0	1.33754311	0	0	0	0	0	5e-06	0	100	0	0	0	3
99	63	0	1.35119151	0	0	0	0	0	5e-06	0	100	0	0	0	3
100	64	0	1.36483991	0	0	0	0	0	5e-06	0	100	0	0	0	3
101	65	0	1.37848831	0	0	0	0	0	5e-06	0	100	0	0	0	3
102	66	0	1.39213671	0	0	0	0	0	5e-06	0	100	0	0	0	3
103	66	0	1.40578511	0	0	0	0	0	5e-06	0	100	0	0	0	3
