Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0140513848	101378.539	101378.539	101378.539	101378.539	0	0	0	0	15198.8	0	0	3
2	2	0	0.0281027697	101342.354	101360.447	101342.354	101378.539	18.092479	0	0	0	24219.6	0	0	3
3	3	0	0.0421541545	101323.196	101348.03	101323.196	101378.539	30.5094596	0	0	0	17102.8	0	0	3
4	3	0	0.0562055393	101320.068	101341.039	101320.068	101378.539	37.4998142	0	0	0	10751.8	0	0	3
5	4	0	0.0702569242	101324.22	101337.675	101320.068	101378.539	40.8637875	0	0	0	9419.34	0	0	3
6	4	0	0.084308309	101326.116	101335.749	101320.068	101378.539	42.7904011	0	0	0	8926.13	0	0	3
7	5	0	0.0983596938	101325.677	101334.31	101320.068	101378.539	44.229239	0	0	0	8328.65	0	0	3
8	5	0	0.112411079	101325.622	101333.224	101320.068	101378.539	45.315252	0	0	0	7662.33	0	0	3
9	6	0	0.126462463	101325.416	101332.356	101320.068	101378.539	46.1827952	0	0	0	6764.41	0	0	3
10	6	0	0.140513848	101325.383	101331.659	101320.068	101378.539	46.880181	0	0	0	6217.91	0	0	3
11	7	0	0.154565233	101325.219	101331.074	101320.068	101378.539	47.4656658	0	0	0	6268.61	0	0	3
12	8	0	0.168616618	101324.93	101330.562	101320.068	101378.539	47.9776403	0	0	0	6155.25	0	0	3
13	8	0	0.182668003	101324.8	101330.118	101320.068	101378.539	48.4208751	0	0	0	5919.55	0	0	3
14	9	0	0.196719388	101324.706	101329.732	101320.068	101378.539	48.8074959	0	0	0	5735.52	0	0	3
15	9	0	0.210770772	101324.516	101329.384	101320.068	101378.539	49.155247	0	0	0	5657.72	0	0	3
16	10	0	0.224822157	101324.356	101329.07	101320.068	101378.539	49.4695003	0	0	0	5650.9	0	0	3
17	10	0	0.238873542	101324.247	101328.786	101320.068	101378.539	49.7531871	0	0	0	5647.93	0	0	3
18	11	0	0.252924927	101324.047	101328.523	101320.068	101378.539	50.0164432	0	0	0	5620.68	0	0	3
19	11	0	0.266976312	101323.873	101328.278	101320.068	101378.539	50.2611875	0	0	0	5601.96	0	0	3
20	12	0	0.281027697	101323.806	101328.055	101320.068	101378.539	50.4847763	0	0	0	5546.33	0	0	3
21	13	0	0.295079081	101323.643	101327.844	101320.068	101378.539	50.6948449	0	0	0	5488.66	0	0	3
22	13	0	0.309130466	101323.436	101327.644	101320.068	101378.539	50.895224	0	0	0	5434.5	0	0	3
23	14	0	0.323181851	101323.204	101327.451	101320.068	101378.539	51.0882502	0	0	0	5374.27	0	0	3
24	14	0	0.337233236	101323.022	101327.266	101320.068	101378.539	51.2727878	0	0	0	5313.81	0	0	3
25	15	0	0.351284621	101322.836	101327.089	101320.068	101378.539	51.4500135	0	0	0	5259.54	0	0	3
26	15	0	0.365336006	101322.589	101326.916	101320.068	101378.539	51.6231138	0	0	0	5222.93	0	0	3
27	16	0	0.37938739	101322.375	101326.748	101320.068	101378.539	51.7913204	0	0	0	5218.58	0	0	3
28	16	0	0.393438775	101322.248	101326.587	101320.068	101378.539	51.9520504	0	0	0	5212.29	0	0	3
29	17	0	0.40749016	101322.174	101326.435	101320.068	101378.539	52.104232	0	0	0	5203.18	0	0	3
30	18	0	0.421541545	101322.159	101326.293	101320.068	101378.539	52.2467775	0	0	0	5186.52	0	0	3
31	18	0	0.43559293	101322.132	101326.158	101320.068	101378.539	52.3809866	0	0	0	5170.05	0	0	3
32	19	0	0.449644315	101322.132	101326.032	101320.068	101378.539	52.5068083	0	0	0	5154.9	0	0	3
33	19	0	0.463695699	101322.154	101325.915	101320.068	101378.539	52.6243424	0	0	0	5139.43	0	0	3
34	20	0	0.477747084	101322.189	101325.805	101320.068	101378.539	52.7339241	0	0	0	5122.97	0	0	3
35	20	0	0.491798469	101322.246	101325.704	101320.068	101378.539	52.8356258	0	0	0	5103.89	0	0	3
36	21	0	0.505849854	101322.278	101325.608	101320.068	101378.539	52.9307811	0	0	0	5090.9	0	0	3
37	22	0	0.519901239	101322.294	101324.046	101320.068	101342.354	22.2859203	0	0	0	5073.68	0	0	3
38	22	0	0.533952624	101322.296	101323.489	101320.068	101326.116	6.04740872	0	0	0	5059.71	0	0	3
39	23	0	0.548004008	101322.307	101323.464	101320.068	101326.116	6.04740872	0	0	0	5042.52	0	0	3
40	23	0	0.562055393	101322.306	101323.526	101322.132	101326.116	3.98381216	0	0	0	5025.49	0	0	3
41	24	0	0.576106778	101322.317	101323.474	101322.132	101326.116	3.98381216	0	0	0	5011.82	0	0	3
42	25	0	0.590158163	101322.327	101323.368	101322.132	101325.677	3.54501519	0	0	0	4998.59	0	0	3
43	25	0	0.604209548	101322.341	101323.276	101322.132	101325.622	3.4899389	0	0	0	4983.24	0	0	3
44	26	0	0.618260933	101322.35	101323.185	101322.132	101325.416	3.28414058	0	0	0	4968.91	0	0	3
45	26	0	0.632312317	101322.369	101323.1	101322.132	101325.383	3.25062833	0	0	0	4953.01	0	0	3
46	27	0	0.646363702	101322.375	101323.017	101322.132	101325.219	3.08676841	0	0	0	4936.55	0	0	3
47	28	0	0.660415087	101322.383	101322.938	101322.132	101324.93	2.7979213	0	0	0	4919.71	0	0	3
48	28	0	0.674466472	101322.39	101322.867	101322.132	101324.8	2.66758869	0	0	0	4903.86	0	0	3
49	29	0	0.688517857	101322.4	101322.801	101322.132	101324.706	2.57371547	0	0	0	4886.4	0	0	3
50	29	0	0.702569242	101322.408	101322.737	101322.132	101324.516	2.38351888	0	0	0	4876.76	0	0	3
51	30	0	0.716620626	101322.426	101322.679	101322.132	101324.356	2.22398167	0	0	0	4881.03	0	0	3
52	30	0	0.730672011	101322.447	101322.626	101322.132	101324.247	2.11510603	0	0	0	4884.85	0	0	3
53	31	0	0.744723396	101322.475	101322.577	101322.132	101324.047	1.91548552	0	0	0	4891.4	0	0	3
54	32	0	0.758774781	101322.498	101322.533	101322.132	101323.873	1.74069707	0	0	0	4895.84	0	0	3
55	32	0	0.772826166	101322.537	101322.496	101322.132	101323.806	1.67431745	0	0	0	4902.55	0	0	3
56	33	0	0.786877551	101322.576	101322.462	101322.132	101323.643	1.5110655	0	0	0	4908.61	0	0	3
57	33	0	0.800928935	101322.619	101322.434	101322.132	101323.436	1.3040954	0	0	0	4915.32	0	0	3
58	34	0	0.81498032	101322.649	101322.412	101322.132	101323.204	1.07245631	0	0	0	4921.75	0	0	3
59	35	0	0.829031705	101322.669	101322.397	101322.132	101323.022	0.890128242	0	0	0	4931.89	0	0	3
60	35	0	0.84308309	101322.678	101322.387	101322.132	101322.836	0.703851205	0	0	0	4941.53	0	0	3
61	36	0	0.857134475	101322.686	101322.383	101322.132	101322.686	0.553742724	0	0	0	4949.53	0	0	3
62	36	0	0.87118586	101322.707	101322.387	101322.132	101322.707	0.575302396	0	0	0	4962.87	0	0	3
63	37	0	0.885237244	101322.706	101322.396	101322.132	101322.707	0.575302396	0	0	0	4969.98	0	0	3
64	38	0	0.899288629	101322.696	101322.408	101322.132	101322.707	0.575302396	0	0	0	4974.82	0	0	3
65	38	0	0.913340014	101322.699	101322.423	101322.132	101322.707	0.575302396	0	0	0	4979.22	0	0	3
66	39	0	0.927391399	101322.693	101322.438	101322.132	101322.707	0.575302396	0	0	0	4986.18	0	0	3
67	39	0	0.941442784	101322.689	101322.453	101322.132	101322.707	0.575302396	0	0	0	4989.1	0	0	3
68	40	0	0.955494169	101322.703	101322.469	101322.154	101322.707	0.553452529	0	0	0	4989.63	0	0	3
69	40	0	0.969545553	101322.707	101322.484	101322.189	101322.707	0.51814222	0	0	0	4997.64	0	0	3
70	41	0	0.983596938	101322.724	101322.499	101322.246	101322.724	0.477753383	0	0	0	4998.03	0	0	3
71	42	0	0.997648323	101322.752	101322.513	101322.278	101322.752	0.473937569	0	0	0	5000.08	0	0	3
72	42	0	1.01169971	101322.757	101322.527	101322.294	101322.757	0.46239389	0.181422262	0	39.2	5004.47	0	0	3
73	43	0	1.02575109	101322.784	101322.54	101322.296	101322.784	0.487295511	0.181422262	0	37.2	5002.67	0	0	3
74	43	0	1.03980248	101322.803	101322.554	101322.306	101322.803	0.497125715	0.181422262	0	36.4	5006.99	0	0	3
75	44	0	1.05385386	101322.811	101322.568	101322.306	101322.811	0.504893368	0.181422262	0	35.9	5003.19	0	0	3
76	45	0	1.06790525	101322.805	101322.582	101322.317	101322.811	0.493675221	0.181422262	0	36.7	5009.01	0	0	3
77	45	0	1.08195663	101322.816	101322.596	101322.327	101322.816	0.489287853	0.181422262	0	37	5005.67	0	0	3
78	46	0	1.09600802	101322.803	101322.609	101322.341	101322.816	0.475487129	0.181422262	0	38.1	5009.2	0	0	3
79	47	0	1.1100594	101322.797	101322.622	101322.35	101322.816	0.465921966	0.181422262	0	38.9	5004.04	0	0	3
80	47	0	1.12411079	101322.793	101322.634	101322.369	101322.816	0.446952572	0.181422262	0	40.5	5006.78	0	0	3
81	48	0	1.13816217	101322.787	101322.646	101322.375	101322.816	0.441132702	0.181422262	0	41.1	5000.28	0	0	3
82	48	0	1.15221356	101322.763	101322.657	101322.383	101322.816	0.433308775	0.181422262	0	41.8	5001.79	0	0	3
83	49	0	1.16626494	101322.768	101322.667	101322.39	101322.816	0.426686179	0.181422262	0	42.5	4998.2	0	0	3
84	49	0	1.18031633	101322.755	101322.677	101322.4	101322.816	0.416185084	0.181422262	0	43.5	5000.93	0	0	3
85	50	0	1.19436771	101322.752	101322.687	101322.408	101322.816	0.353527231	0.181422262	0	51.3	4995.1	0	0	3
86	51	0	1.2084191	101322.743	101322.696	101322.426	101322.816	0.313125529	0.181422262	0	57.9	4997.04	0	0	3
87	51	0	1.22247048	101322.747	101322.705	101322.447	101322.816	0.322040224	0.181422262	0	56.3	4990.18	0	0	3
88	52	0	1.23652187	101322.735	101322.713	101322.475	101322.816	0.330040065	0.181422262	0	54.9	4990.79	0	0	3
89	52	0	1.25057325	101322.748	101322.721	101322.498	101322.816	0.318214182	0.181422262	0	57	4985.07	0	0	3
90	53	0	1.26462463	101322.75	101322.728	101322.537	101322.816	0.278935102	0.181422262	0	65	4989.07	0	0	3
91	53	0	1.27867602	101322.747	101322.734	101322.576	101322.816	0.240225289	0.181422262	0	75.5	4985.29	0	0	3
92	54	0	1.2927274	101322.751	101322.739	101322.619	101322.816	0.197774576	0.181422262	0	91.7	4978.78	0	0	3
93	55	0	1.30677879	101322.769	101322.743	101322.649	101322.816	0.167801489	0.181422262	0	100	4990.04	0	0	3
94	55	0	1.32083017	101322.76	101322.746	101322.669	101322.816	0.147771439	0.181422262	0	100	4984.09	0	0	3
95	56	0	1.33488156	101322.776	101322.749	101322.678	101322.816	0.13816767	0.181422262	0	100	4977.66	0	0	3
96	56	0	1.34893294	101322.79	101322.752	101322.686	101322.816	0.130641439	0.181422262	0	100	4986.09	0	0	3
97	57	0	1.36298433	101322.78	101322.755	101322.689	101322.816	0.12767309	0.181422262	0	100	4980.38	0	0	3
98	57	0	1.37703571	101322.797	101322.757	101322.689	101322.816	0.12767309	0.181422262	0	100	4976.03	0	0	3
99	58	0	1.3910871	101322.808	101322.76	101322.689	101322.816	0.12767309	0.181422262	0	100	4983.75	0	0	3
100	58	0	1.40513848	101322.8	101322.763	101322.689	101322.816	0.12767309	0.181422262	0	100	4979.86	0	0	3
101	59	0	1.41918987	101322.812	101322.766	101322.689	101322.816	0.12767309	0.181422262	0	100	4974.86	0	0	3
102	60	0	1.43324125	101322.82	101322.769	101322.689	101322.82	0.130792711	0.181422262	0	100	4981.76	0	0	3
103	61	0	1.44729264	101322.809	101322.773	101322.703	101322.82	0.116662832	0.181422262	0	100	4976.45	0	0	3
104	61	0	1.46134402	101322.811	101322.776	101322.707	101322.82	0.112323034	0.181422262	0	100	4971.89	0	0	3
105	62	0	1.47539541	101322.817	101322.779	101322.724	101322.82	0.0959504256	0.181422262	0	100	4977.5	0	0	3
106	62	0	1.48944679	101322.798	101322.781	101322.735	101322.82	0.0849128167	0.181422262	0	100	4974.25	0	0	3
