Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0133257883	293.201376	293.201376	293.201376	293.201376	0	0	0	0	41.2381	0	0	3
2	2	0	0.0266515767	293.20347	293.202423	293.201376	293.20347	0.00104721202	0	0	0	42.5104	0	0	3
3	3	0	0.039977365	293.205899	293.203582	293.201376	293.205899	0.00220579094	0	0	0	45.7461	0	0	3
4	3	0	0.0533031534	293.208786	293.204883	293.201376	293.208786	0.00350694901	0	0	0	47.9998	0	0	3
5	4	0	0.0666289417	293.212282	293.206363	293.201376	293.212282	0.00498672804	0	0	0	49.1548	0	0	3
6	4	0	0.0799547301	293.221187	293.208833	293.201376	293.221187	0.00745737993	0	0	0	50.5625	0	0	3
7	5	0	0.0932805184	293.234281	293.212469	293.201376	293.234281	0.0110926861	0	0	0	52.4852	0	0	3
8	5	0	0.106606307	293.249381	293.217083	293.201376	293.249381	0.0157066547	0	0	0	53.5028	0	0	3
9	6	0	0.119932095	293.265317	293.222442	293.201376	293.265317	0.021066019	0	0	0	53.8387	0	0	3
10	7	0	0.133257883	293.281909	293.228389	293.201376	293.281909	0.0270126778	0	0	0	54.0639	0	0	3
11	7	0	0.146583672	293.311018	293.2359	293.201376	293.311018	0.0345243915	0	0	0	54.7815	0	0	3
12	8	0	0.15990946	293.341828	293.244728	293.201376	293.341828	0.0433516627	0	0	0	55.2292	0	0	3
13	9	0	0.173235249	293.37384	293.254659	293.201376	293.37384	0.0532833786	0	0	0	55.5933	0	0	3
14	9	0	0.186561037	293.404201	293.265341	293.201376	293.404201	0.0639649337	0	0	0	55.9388	0	0	3
15	10	0	0.199886825	293.425177	293.275997	293.201376	293.425177	0.0746206952	0	0	0	56.6635	0	0	3
16	10	0	0.213212614	293.430245	293.285637	293.201376	293.430245	0.084261238	0	0	0	58.1287	0	0	3
17	11	0	0.226538402	293.423683	293.293758	293.201376	293.430245	0.09238156	0	0	0	59.5619	0	0	3
18	12	0	0.23986419	293.406259	293.300008	293.201376	293.430245	0.0986316316	0	0	0	60.6762	0	0	3
19	12	0	0.253189979	293.383087	293.30438	293.201376	293.430245	0.103004222	0	0	0	61.4663	0	0	3
20	13	0	0.266515767	293.35939	293.307131	293.201376	293.430245	0.105754732	0	0	0	62.1697	0	0	3
21	13	0	0.279841555	293.334799	293.308448	293.201376	293.430245	0.107072264	0	0	0	62.4315	0	0	3
22	14	0	0.293167344	293.32823	293.309348	293.201376	293.430245	0.107971453	0	0	0	62.6241	0	0	3
23	14	0	0.306493132	293.335108	293.310468	293.201376	293.430245	0.109091459	0	0	0	62.7237	0	0	3
24	15	0	0.31981892	293.349706	293.312102	293.201376	293.430245	0.110726411	0	0	0	62.5555	0	0	3
25	15	0	0.333144709	293.367192	293.314306	293.201376	293.430245	0.112929985	0	0	0	62.4228	0	0	3
26	16	0	0.346470497	293.394591	293.317394	293.201376	293.430245	0.116017868	0	0	0	62.1805	0	0	3
27	17	0	0.359796285	293.420383	293.321208	293.201376	293.430245	0.119832292	0	0	0	61.7551	0	0	3
28	17	0	0.373122074	293.443373	293.325571	293.201376	293.443373	0.1241953	0	0	0	61.4233	0	0	3
29	18	0	0.386447862	293.463102	293.330314	293.201376	293.463102	0.128937727	0	0	0	61.2344	0	0	3
30	18	0	0.39977365	293.479339	293.335281	293.201376	293.479339	0.133905228	0	0	0	60.9089	0	0	3
31	19	0	0.413099439	293.500163	293.3406	293.201376	293.500163	0.139223989	0	0	0	60.512	0	0	3
32	19	0	0.426425227	293.514288	293.346028	293.201376	293.514288	0.144651743	0	0	0	60.0741	0	0	3
33	20	0	0.439751016	293.521182	293.351336	293.201376	293.521182	0.149959436	0	0	0	59.6277	0	0	3
34	21	0	0.453076804	293.52246	293.356369	293.201376	293.52246	0.154992511	0	0	0	59.1902	0	0	3
35	21	0	0.466402592	293.519615	293.361033	293.201376	293.52246	0.159656695	0	0	0	58.765	0	0	3
36	22	0	0.479728381	293.516221	293.365344	293.201376	293.52246	0.163967466	0	0	0	58.3063	0	0	3
37	22	0	0.493054169	293.50794	293.369197	293.201376	293.52246	0.167821424	0	0	0	57.9009	0	0	3
38	23	0	0.506379957	293.498431	293.372598	293.201376	293.52246	0.171222303	0	0	0	57.8117	0	0	3
39	23	0	0.519705746	293.489399	293.380178	293.20347	293.52246	0.17775465	0	0	0	57.6043	0	0	3
40	24	0	0.533031534	293.48183	293.387503	293.205899	293.52246	0.183921317	0	0	0	57.5794	0	0	3
41	25	0	0.546357322	293.476668	293.394629	293.208786	293.52246	0.189745649	0	0	0	57.4183	0	0	3
42	25	0	0.559683111	293.472236	293.401562	293.212282	293.52246	0.19519875	0	0	0	57.44	0	0	3
43	26	0	0.573008899	293.468783	293.408312	293.221187	293.52246	0.19947813	0	0	0	57.3178	0	0	3
44	26	0	0.586334687	293.466375	293.414764	293.234281	293.52246	0.202295143	0	0	0	57.3592	0	0	3
45	27	0	0.599660476	293.464785	293.42083	293.249381	293.52246	0.203747089	0	0	0	57.2577	0	0	3
46	27	0	0.612986264	293.463776	293.426472	293.265317	293.52246	0.204029711	0	0	0	57.3151	0	0	3
47	28	0	0.626312052	293.463242	293.43168	293.281909	293.52246	0.203291607	0	0	0	57.2164	0	0	3
48	28	0	0.639637841	293.463097	293.436448	293.311018	293.52246	0.200548014	0	0	0	57.265	0	0	3
49	29	0	0.652963629	293.463271	293.440455	293.32823	293.52246	0.19422956	0	0	0	57.1666	0	0	3
50	29	0	0.666289417	293.463663	293.443661	293.32823	293.52246	0.189001886	0	0	0	57.2189	0	0	3
51	30	0	0.679615206	293.46429	293.446042	293.32823	293.52246	0.180700586	0	0	0	57.1285	0	0	3
52	31	0	0.692940994	293.465089	293.447644	293.32823	293.52246	0.171647131	0	0	0	57.182	0	0	3
53	31	0	0.706266782	293.465996	293.448718	293.32823	293.52246	0.163080748	0	0	0	57.0885	0	0	3
54	32	0	0.719592571	293.466953	293.449684	293.32823	293.52246	0.155926421	0	0	0	57.1415	0	0	3
55	32	0	0.732918359	293.467951	293.450849	293.32823	293.52246	0.150841298	0	0	0	57.0486	0	0	3
56	33	0	0.746244148	293.468962	293.452499	293.32823	293.52246	0.148118797	0	0	0	57.0945	0	0	3
57	33	0	0.759569936	293.469971	293.454786	293.32823	293.52246	0.147654709	0	0	0	57.0047	0	0	3
58	34	0	0.772895724	293.470932	293.457721	293.32823	293.52246	0.149272483	0	0	0	57.0403	0	0	3
59	34	0	0.786221513	293.471898	293.461329	293.32823	293.52246	0.151981169	0	0	0	56.9147	0	0	3
60	35	0	0.799547301	293.47282	293.465134	293.335108	293.52246	0.15466615	0	0	0	56.9134	0	0	3
61	35	0	0.812873089	293.473695	293.468781	293.349706	293.52246	0.156678223	0	0	0	56.894	0	0	3
