Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0133257883
2	2	0	0.0266515767
3	3	0	0.039977365
4	3	0	0.0533031534
5	4	0	0.0666289417
6	4	0	0.0799547301
7	5	0	0.0932805184
8	5	0	0.106606307
9	6	0	0.119932095
10	7	0	0.133257883
11	7	0	0.146583672
12	8	0	0.15990946
13	9	0	0.173235249
14	9	0	0.186561037
15	10	0	0.199886825
16	10	0	0.213212614
17	11	0	0.226538402
18	12	0	0.23986419
19	12	0	0.253189979
20	13	0	0.266515767
21	13	0	0.279841555
22	14	0	0.293167344
23	14	0	0.306493132
24	15	0	0.31981892
25	15	0	0.333144709
26	16	0	0.346470497
27	17	0	0.359796285
28	17	0	0.373122074
29	18	0	0.386447862
30	18	0	0.39977365
31	19	0	0.413099439
32	19	0	0.426425227
33	20	0	0.439751016
34	21	0	0.453076804
35	21	0	0.466402592
36	22	0	0.479728381
37	22	0	0.493054169
38	23	0	0.506379957
39	23	0	0.519705746
40	24	0	0.533031534
41	25	0	0.546357322
42	25	0	0.559683111
43	26	0	0.573008899
44	26	0	0.586334687
45	27	0	0.599660476
46	27	0	0.612986264
47	28	0	0.626312052
48	28	0	0.639637841
49	29	0	0.652963629
50	29	0	0.666289417
51	30	0	0.679615206
52	31	0	0.692940994
53	31	0	0.706266782
54	32	0	0.719592571
55	32	0	0.732918359
56	33	0	0.746244148
57	33	0	0.759569936
58	34	0	0.772895724
59	34	0	0.786221513
60	35	0	0.799547301
61	35	0	0.812873089
62	36	0	0.826198878
63	37	0	0.839524666
64	37	0	0.852850454
65	38	0	0.866176243
66	38	0	0.879502031
67	39	0	0.892827819
68	39	0	0.906153608
69	40	0	0.919479396
70	40	0	0.932805184
71	41	0	0.946130973
72	41	0	0.959456761
73	42	0	0.972782549
74	43	0	0.986108338
75	43	0	0.999434126
76	44	0	1.01275991
77	44	0	1.0260857
78	45	0	1.03941149
79	45	0	1.05273728
80	46	0	1.06606307
81	46	0	1.07938886
82	47	0	1.09271464
83	47	0	1.10604043
84	48	0	1.11936622
85	48	0	1.13269201
86	49	0	1.1460178
87	50	0	1.15934359
88	51	0	1.17266937
89	51	0	1.18599516
90	52	0	1.19932095
91	53	0	1.21264674
92	53	0	1.22597253
93	54	0	1.23929832
94	55	0	1.2526241
95	55	0	1.26594989
96	56	0	1.27927568
97	56	0	1.29260147
