"Time Sec","Position mm","100 kN kN","Cycle"
0.,45.1797,-0.00813603,1
0.02,45.1651,-0.0150144,1
0.04,45.1436,-0.0367463,1
0.06,45.125,-0.0790417,1
0.08,45.1036,-0.120628,1
0.1,45.0835,-0.188357,1
0.12,45.0647,-0.142401,1
0.14,45.0444,-0.140983,1
0.16,45.0226,-0.163764,1
0.18,45.0028,-0.159639,1
0.2,44.9836,-0.16427,1
0.22,44.9637,-0.165433,1
0.24,44.9455,-0.153959,1
0.26,44.9242,-0.145954,1
0.28,44.9028,-0.150383,1
0.3,44.8847,-0.139552,1
0.32,44.8635,-0.128114,1
0.34,44.8414,-0.147307,1
0.36,44.8227,-0.135517,1
0.38,44.8043,-0.134295,1
0.4,44.7841,-0.135064,1
0.42,44.7616,-0.136507,1
0.44,44.7439,-0.136787,1
0.46,44.7227,-0.138485,1
0.48,44.6996,-0.149989,1
0.5,44.6826,-0.138891,1
0.52,44.6634,-0.138354,1
0.54,44.6422,-0.139713,1
0.56,44.6221,-0.154787,1
0.58,44.6034,-0.141621,1
0.6,44.582,-0.136787,1
0.62,44.5629,-0.141251,1
0.64,44.543,-0.139135,1
0.66,44.5217,-0.156528,1
0.68,44.5005,-0.151742,1
0.7,44.4816,-0.132328,1
0.72,44.4624,-0.141901,1
0.74,44.4413,-0.139135,1
0.76,44.4217,-0.147462,1
0.78,44.4022,-0.145239,1
0.8,44.381,-0.144148,1
0.82,44.3608,-0.15136,1
0.84,44.3422,-0.143063,1
0.86,44.3214,-0.153655,1
0.88,44.2996,-0.149828,1
0.9,44.2818,-0.154066,1
0.92,44.26,-0.145298,1
0.94,44.2407,-0.15552,1
0.96,44.2216,-0.151807,1
0.98,44.2003,-0.151408,1
1.,44.1804,-0.150883,1
1.02,44.1609,-0.14683,1
1.04,44.1425,-0.146669,1
1.06,44.1202,-0.155103,1
1.08,44.0988,-0.154263,1
1.1,44.0814,-0.149161,1
1.12,44.0607,-0.146025,1
1.14,44.0411,-0.158703,1
1.16,44.0201,-0.138605,1
1.18,44.0014,-0.15499,1
1.2,43.9817,-0.151402,1
1.22,43.9603,-0.146204,1
1.24,43.9415,-0.151086,1
1.26,43.9207,-0.146461,1
1.28,43.8992,-0.150913,1
1.3,43.8814,-0.142425,1
1.32,43.8607,-0.135827,1
1.34,43.8403,-0.140202,1
1.36,43.82,-0.147086,1
1.38,43.8003,-0.143427,1
1.4,43.7797,-0.15161,1
1.42,43.7596,-0.153393,1
1.44,43.7409,-0.147909,1
1.46,43.7204,-0.146782,1
1.48,43.6993,-0.15583,1
1.5,43.6808,-0.15294,1
1.52,43.6612,-0.149077,1
1.54,43.6388,-0.156981,1
1.56,43.6209,-0.14928,1
1.58,43.6007,-0.152153,1
1.6,43.5796,-0.156128,1
1.62,43.5596,-0.146443,1
1.64,43.5403,-0.151622,1
1.66,43.5194,-0.149733,1
1.68,43.4987,-0.151902,1
1.7,43.4798,-0.142735,1
1.72,43.4603,-0.142348,1
1.74,43.4396,-0.149906,1
1.76,43.4196,-0.146014,1
1.78,43.4006,-0.153708,1
1.8,43.3796,-0.147355,1
1.82,43.3618,-0.134826,1
1.84,43.3387,-0.141507,1
1.86,43.3193,-0.143832,1
1.88,43.3013,-0.152463,1
1.9,43.2794,-0.134254,1
1.92,43.2593,-0.137907,1
1.94,43.2395,-0.132257,1
1.96,43.2204,-0.136548,1
1.98,43.1996,-0.150758,1
2.,43.1787,-0.148749,2
2.02,43.1607,-0.135893,2
2.04,43.1385,-0.136614,2
2.06,43.1191,-0.124913,2
2.08,43.1002,-0.13594,2
2.1,43.0819,-0.129873,2
2.12,43.06,-0.131541,2
2.14,43.0393,-0.120139,2
2.16,43.0213,-0.132895,2
2.18,43.0006,-0.134748,2
2.2,42.978,-0.142753,2
2.22,42.9603,-0.128543,2
2.24,42.9386,-0.123179,2
2.26,42.9208,-0.131714,2
2.28,42.8987,-0.131708,2
2.3,42.8783,-0.146067,2
2.32,42.8606,-0.13966,2
2.34,42.8387,-0.127727,2
2.36,42.8187,-0.140744,2
2.38,42.7991,-0.133342,2
2.4,42.7798,-0.136256,2
2.42,42.7582,-0.137055,2
2.44,42.7372,-0.141108,2
2.46,42.7198,-0.119501,2
2.48,42.7,-0.134528,2
2.5,42.6772,-0.13839,2
2.52,42.6604,-0.145513,2
2.54,42.6402,-0.148463,2
2.56,42.6191,-0.1432,2
2.58,42.5985,-0.135505,2
2.6,42.5804,-0.128442,2
2.62,42.5596,-0.146943,2
2.64,42.5382,-0.140393,2
2.66,42.5206,-0.138682,2
2.68,42.4992,-0.138819,2
2.7,42.4779,-0.128591,2
2.72,42.4604,-0.133455,2
2.74,42.4395,-0.133461,2
2.76,42.4174,-0.130868,2
2.78,42.3992,-0.126696,2
2.8,42.3797,-0.138879,2
2.82,42.3586,-0.126618,2
2.84,42.3391,-0.122631,2
2.86,42.319,-0.117767,2
2.88,42.2995,-0.110048,2
2.9,42.2785,-0.133079,2
2.92,42.2601,-0.116074,2
2.94,42.2392,-0.123203,2
2.96,42.2189,-0.115722,2
2.98,42.1989,-0.126773,2
3.,42.1793,-0.113899,2
3.02,42.1583,-0.118744,2
3.04,42.139,-0.127059,2
3.06,42.1206,-0.120288,2
3.08,42.0981,-0.139391,2
3.1,42.0779,-0.112617,2
3.12,42.0607,-0.119466,2
3.14,42.0382,-0.113493,2
3.16,42.0184,-0.133157,2
3.18,41.998,-0.115472,2
3.2,41.9804,-0.104874,2
3.22,41.9593,-0.122827,2
3.24,41.9388,-0.115395,2
3.26,41.9211,-0.117069,2
3.28,41.8993,-0.122321,2
3.3,41.8779,-0.115401,2
3.32,41.8595,-0.101227,2
3.34,41.8396,-0.106454,2
3.36,41.8192,-0.126576,2
3.38,41.7983,-0.104749,2
3.4,41.7799,-0.101066,2
3.42,41.7588,-0.103134,2
3.44,41.7399,-0.112373,2
3.46,41.7196,-0.114357,2
3.48,41.6998,-0.114173,2
3.5,41.6789,-0.102031,2
3.52,41.6593,-0.102025,2
