"Time Sec","Position mm","200LB lb","Cycle"
0.,11.4833,-2.25972,1
0.1,11.3862,-7.15956,1
0.2,11.2866,-11.5953,1
0.3,11.185,-16.3867,1
0.4,11.086,-21.1513,1
0.5,10.9852,-25.9098,1
0.6,10.8832,-30.3704,1
0.7,10.7854,-34.4513,1
0.8,10.6833,-38.4369,1
0.9,10.5842,-42.7704,1
1.,10.4844,-47.4659,1
1.1,10.3837,-52.5256,1
1.2,10.2841,-57.9583,1
1.3,10.1856,-63.5061,1
1.4,10.0847,-70.255,1
1.5,9.98319,-77.0528,1
1.6,9.88249,-82.3708,1
1.7,9.78469,-82.9541,1
1.8,9.68191,-81.652,1
1.9,9.58255,-81.4355,1
2.,9.48296,-81.5661,1
2.1,9.38419,-80.3592,1
2.2,9.28233,-77.9256,1
2.3,9.18341,-76.3907,1
2.4,9.0814,-74.2464,1
2.5,8.98094,-70.368,1
2.6,8.88324,-69.2304,1
2.7,8.78171,-68.1884,1
2.8,8.68432,-67.2438,1
2.9,8.58163,-67.2778,1
3.,8.48368,-67.7264,1
3.1,8.38233,-68.2242,1
3.2,8.28285,-68.5961,1
3.3,8.18342,-68.8951,1
3.4,8.08471,-69.0026,1
3.5,7.98261,-69.1083,1
3.6,7.88338,-68.793,1
3.7,7.78185,-68.2296,1
3.8,7.68404,-67.7421,1
3.9,7.58224,-66.1636,1
4.,7.48404,-64.9854,1
4.1,7.38147,-63.2006,1
4.2,7.28394,-61.3484,1
4.3,7.18262,-59.8773,1
4.4,7.08395,-57.9218,1
4.5,6.98216,-56.1167,1
4.6,6.88272,-53.9885,1
4.7,6.78492,-52.0448,1
4.8,6.6823,-49.9773,1
4.9,6.58331,-48.8483,1
5.,6.48257,-47.8514,1
5.1,6.38292,-46.9643,1
5.2,6.28166,-45.8892,1
5.3,6.18435,-44.9896,1
5.4,6.08298,-44.2187,1
5.5,5.98375,-43.6067,1
5.6,5.88225,-42.7248,1
5.7,5.78321,-41.9915,1
5.8,5.68373,-41.3195,1
5.9,5.58343,-40.8882,1
6.,5.48309,-39.8985,1
6.1,5.38275,-38.9673,1
6.2,5.28324,-38.1713,1
6.3,5.18115,-37.7846,1
6.4,5.0835,-36.9577,1
6.5,4.98171,-36.7445,1
6.6,4.88344,-36.3331,1
6.7,4.78402,-35.9509,1
6.8,4.68144,-35.5614,1
6.9,4.58216,-35.152,1
7.,4.48401,-34.9934,1
7.1,4.38285,-34.9899,1
7.2,4.28258,-34.5642,1
7.3,4.18351,-34.604,1
7.4,4.08305,-34.6496,1
7.5,3.98344,-34.4131,1
7.6,3.88251,-34.1174,1
7.7,3.78491,-33.9284,1
7.8,3.68362,-33.9738,1
7.9,3.58329,-33.7082,1
8.,3.48273,-33.7281,1
8.1,3.38418,-33.6452,1
8.2,3.28345,-33.4501,1
8.3,3.18252,-33.3075,1
8.4,3.08353,-33.1005,1
8.5,2.98392,-33.0232,1
8.6,2.88326,-32.7099,1
8.7,2.7818,-32.5378,1
8.8,2.68413,-32.6222,1
8.9,2.58333,-32.6197,1
9.,2.48334,-32.4365,1
9.1,2.38362,-32.1385,1
9.2,2.28307,-37.7558,1
9.3,2.18269,-38.8664,1
9.4,2.08524,-38.3589,1
9.5,1.98213,-38.4344,1
9.6,1.88441,-37.951,1
9.7,1.78203,-37.7187,1
9.8,1.68387,-37.4309,1
9.9,1.58378,-36.8049,1
10.,1.48427,-34.7234,1
10.1,1.38232,-33.6593,1
10.2,1.28577,-33.0713,1
10.3,1.18211,-31.7274,1
10.4,1.08448,-31.958,1
10.5,0.982528,-32.4427,1
10.6,0.882286,-32.7688,1
10.7,0.784586,-31.0999,1
10.8,0.681771,-30.941,1
10.9,0.58453,-32.0334,1
11.,0.482601,-30.9075,1
11.1,0.383562,-29.8904,1
11.2,0.284033,-30.0717,1
11.3,0.185,-29.4711,1
11.4,0.0826122,-28.3897,1
11.5,-0.0168083,-27.3756,1
11.6,-0.116638,-25.8183,1
11.7,-0.217165,-25.7708,1
11.8,-0.3172,-24.2178,1
11.9,-0.414608,-22.388,1
12.,-0.517535,-20.5823,1
12.1,-0.615148,-19.2806,1
12.2,-0.718717,-18.3563,1
12.3,-0.816386,-15.6846,1
12.4,-0.915093,-14.2262,1
12.5,-1.01681,-12.8245,1
12.6,-1.11589,-10.7129,1
12.7,-1.2165,-9.40077,1
12.8,-1.31512,-8.11124,1
12.9,-1.41711,-6.36566,1
13.,-1.51574,-4.8414,1
13.1,-1.61705,-3.89577,1
13.2,-1.71562,-3.14498,1
13.3,-1.8176,-2.59874,1
13.4,-1.91569,-1.54446,1
13.5,-2.01755,-0.801909,1
13.6,-2.11625,-0.472677,1
13.7,-2.21749,-0.478363,1
13.8,-2.3159,-0.451028,1
13.9,-2.41772,-0.463557,1
14.,-2.51568,-0.410891,1
14.1,-2.61679,-0.479376,1
14.2,-2.717,-0.438261,1
14.3,-2.81616,-0.421047,1
14.4,-2.91571,-1.15536,1
14.5,-3.01656,-1.33666,1
14.6,-3.11619,-1.34641,1
14.7,-3.21618,-0.978982,1
14.8,-3.31736,-0.61208,1
14.9,-3.41688,-0.484908,1
15.,-3.51741,-0.414813,1
15.1,-3.61588,-0.47226,1
15.2,-3.71474,-0.53457,1
15.3,-3.81647,-0.304747,1
15.4,-3.91507,-0.60631,1
15.5,-4.01539,-0.605774,1
15.6,-4.1168,-0.447035,1
15.7,-4.21812,-0.376284,1
15.8,-4.31525,-0.546205,1
15.9,-4.41829,-0.521207,1
16.,-4.51536,-0.449812,1
16.1,-4.61661,-0.398064,1
16.2,-4.71552,-0.336444,1
16.3,-4.81637,-0.522983,1
16.4,-4.9157,-0.575531,1
16.5,-5.01864,-0.507653,1
16.6,-5.11656,-0.622487,1
16.7,-5.21638,-0.387168,1
16.8,-5.31636,-0.637567,1
16.9,-5.41579,-0.796103,1
17.,-5.51757,-0.550306,1
17.1,-5.61598,-0.514829,1
17.2,-5.71593,-0.655627,1
17.3,-5.81506,-0.754333,1
17.4,-5.9169,-0.551307,1
17.5,-6.01492,-0.392604,1
17.6,-6.11571,-0.393248,1
17.7,-6.21467,-0.481749,1
17.8,-6.31639,-0.541711,1
17.9,-6.41546,-0.535309,1
18.,-6.51633,-0.790858,1
18.1,-6.61601,-0.557184,1
18.2,-6.7174,-0.378621,1
18.3,-6.81632,-0.472951,1
18.4,-6.91747,-0.608861,1
