"Time Sec","Position mm","100 kN kN","Cycle"
0.,36.0937,-0.00322461,1
0.1,35.9993,0.00802279,1
0.2,35.8967,-0.464916E-3,1
0.3,35.798,0.00497103,1
0.4,35.6971,0.00596046,1
0.5,35.5982,0.357628E-3,1
0.6,35.4971,0.00224113,1
0.7,35.3984,0.00460148,1
0.8,35.2954,0.00163317,1
0.9,35.1969,0.00822544,1
1.,35.0968,0.00369549,1
1.1,34.9969,0.00219345,1
1.2,34.8941,0.00423193,1
1.3,34.7959,0.00388622,1
1.4,34.6962,-0.613928E-3,1
1.5,34.594,-0.00498891,1
1.6,34.4969,0.00149012,1
1.7,34.3952,-0.00801682,1
1.8,34.2965,-0.00214577,1
1.9,34.1965,-0.00210404,1
2.,34.0953,-0.00784397,1
2.1,33.9946,-0.0105262,1
2.2,33.8956,-0.00782013,1
2.3,33.793,-0.0175118,1
2.4,33.6948,-0.013423,1
2.5,33.5942,-0.0309706,1
2.6,33.4946,-0.0242054,1
2.7,33.3944,-0.0257671,1
2.8,33.2951,-0.0370085,1
2.9,33.1944,-0.0389516,1
3.,33.0947,-0.0380099,1
3.1,32.9952,-0.0458121,1
3.2,32.8944,-0.0476778,1
3.3,32.7949,-0.0420511,1
3.4,32.6947,-0.0513434,1
3.5,32.5937,-0.0560761,1
3.6,32.4939,-0.0732899,1
3.7,32.3951,-0.0707269,1
3.8,32.2945,-0.0742018,1
3.9,32.1948,-0.0690222,1
4.,32.0948,-0.0786841,1
4.1,31.9959,-0.0825286,1
4.2,31.8942,-0.0889063,1
4.3,31.7959,-0.0838637,1
4.4,31.6954,-0.0873208,1
4.5,31.5951,-0.0879765,1
4.6,31.4954,-0.0917316,1
4.7,31.3949,-0.0954151,1
4.8,31.2957,-0.0980437,1
4.9,31.1943,-0.103337,1
5.,31.0951,-0.109631,1
5.1,30.9944,-0.100839,1
5.2,30.8956,-0.101686,1
5.3,30.7928,-0.114834,1
5.4,30.6946,-0.113386,1
5.5,30.5945,-0.109696,1
5.6,30.4941,-0.110668,1
5.7,30.3947,-0.11521,1
5.8,30.2962,-0.118673,1
5.9,30.1949,-0.116813,1
6.,30.0945,-0.112879,1
6.1,29.9945,-0.118798,1
6.2,29.8956,-0.119329,1
6.3,29.7957,-0.11391,1
6.4,29.6951,-0.118208,1
6.5,29.5961,-0.122136,1
6.6,29.4948,-0.122416,1
6.7,29.3954,-0.1288,1
6.8,29.2931,-0.127357,1
6.9,29.1949,-0.122434,1
7.,29.0938,-0.122005,1
7.1,28.9961,-0.122547,1
7.2,28.8941,-0.124049,1
7.3,28.7934,-0.129241,1
7.4,28.6959,-0.126326,1
7.5,28.5929,-0.122988,1
7.6,28.4957,-0.121599,1
7.7,28.3947,-0.12393,1
7.8,28.295,-0.114083,1
7.9,28.1934,-0.125808,1
8.,28.0957,-0.118589,1
8.1,27.9935,-0.125176,1
8.2,27.8941,-0.115389,1
8.3,27.7938,-0.121105,1
8.4,27.6967,-0.119263,1
8.5,27.5939,-0.123161,1
8.6,27.4943,-0.121588,1
8.7,27.3943,-0.124425,1
8.8,27.2953,-0.119865,1
8.9,27.1941,-0.124794,1
9.,27.0958,-0.119215,1
9.1,26.9934,-0.126481,1
9.2,26.8958,-0.115949,1
9.3,26.7955,-0.118464,1
9.4,26.6953,-0.12452,1
9.5,26.595,-0.122803,1
9.6,26.4939,-0.123942,1
9.7,26.3954,-0.120676,1
9.8,26.2936,-0.12483,1
9.9,26.1958,-0.123703,1
10.,26.0941,-0.125176,1
10.1,25.9952,-0.122112,1
10.2,25.8957,-0.122088,1
10.3,25.7953,-0.119668,1
10.4,25.6935,-0.123936,1
10.5,25.5951,-0.125718,1
