Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0135325086	0	0	0	0	0	0	0	1000	0	0	0	3
2	5	0	0.0270650173	0	0	0	0	0	0	0	1000	0	0	0	3
3	5	0	0.0405975259	0	0	0	0	0	0	0	1000	0	0	0	3
4	6	0	0.0541300346	0	0	0	0	0	0	0	1000	0	0	0	3
5	6	0	0.0676625432	0	0	0	0	0	0	0	1000	0	0	0	3
6	6	0	0.0811950519	0	0	0	0	0	0	0	1000	0	0	0	3
7	7	0	0.0947275605	0	0	0	0	0	0	0	1000	0	0	0	3
8	7	0	0.108260069	0	0	0	0	0	0	0	1000	0	0	0	3
9	8	0	0.121792578	0	0	0	0	0	0	0	1000	0	0	0	3
10	8	0	0.135325086	0	0	0	0	0	0	0	1000	0	0	0	3
11	9	0	0.148857595	0	0	0	0	0	0	0	1000	0	0	0	3
12	9	0	0.162390104	0	0	0	0	0	0	0	1000	0	0	0	3
13	10	0	0.175922612	0	0	0	0	0	0	0	1000	0	0	0	3
14	10	0	0.189455121	0	0	0	0	0	0	0	1000	0	0	0	3
15	11	0	0.20298763	0	0	0	0	0	0	0	1000	0	0	0	3
16	11	0	0.216520138	0	0	0	0	0	0	0	1000	0	0	0	3
17	12	0	0.230052647	0	0	0	0	0	0	0	1000	0	0	0	3
18	12	0	0.243585156	0	0	0	0	0	0	0	1000	0	0	0	3
19	13	0	0.257117664	0	0	0	0	0	0	0	1000	0	0	0	3
20	13	0	0.270650173	0	0	0	0	0	0	0	1000	0	0	0	3
21	14	0	0.284182682	0	0	0	0	0	0	0	1000	0	0	0	3
22	14	0	0.29771519	0	0	0	0	0	0	0	1000	0	0	0	3
23	15	0	0.311247699	0	0	0	0	0	0	0	1000	0	0	0	3
24	15	0	0.324780208	0	0	0	0	0	0	0	1000	0	0	0	3
25	16	0	0.338312716	0	0	0	0	0	0	0	1000	0	0	0	3
26	16	0	0.351845225	0	0	0	0	0	0	0	1000	0	0	0	3
27	17	0	0.365377733	0	0	0	0	0	0	0	1000	0	0	0	3
28	17	0	0.378910242	0	0	0	0	0	0	0	1000	0	0	0	3
29	18	0	0.392442751	0	0	0	0	0	0	0	1000	0	0	0	3
30	18	0	0.405975259	0	0	0	0	0	0	0	1000	0	0	0	3
31	19	0	0.419507768	0	0	0	0	0	0	0	1000	0	0	0	3
32	19	0	0.433040277	0	0	0	0	0	0	0	1000	0	0	0	3
33	20	0	0.446572785	0	0	0	0	0	0	0	1000	0	0	0	3
34	20	0	0.460105294	0	0	0	0	0	0	0	1000	0	0	0	3
35	21	0	0.473637803	0	0	0	0	0	0	0	1000	0	0	0	3
36	21	0	0.487170311	0	0	0	0	0	0	0	1000	0	0	0	3
37	22	0	0.50070282	0	0	0	0	0	0	0	1000	0	0	0	3
38	22	0	0.514235329	0	0	0	0	0	0	0	1000	0	0	0	3
39	23	0	0.527767837	0	0	0	0	0	0	0	1000	0	0	0	3
40	23	0	0.541300346	0	0	0	0	0	0	0	1000	0	0	0	3
