Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0135325086	101580.584	101580.584	101580.584	101580.584	0	0	0	0	15198.8	0	0	3
2	5	0	0.0270650173	101207.355	101393.97	101207.355	101580.584	186.614719	0	0	0	21942.8	0	0	3
3	5	0	0.0405975259	101192.555	101326.831	101192.555	101580.584	253.752859	0	0	0	20845.6	0	0	3
4	6	0	0.0541300346	101291.416	101317.978	101192.555	101580.584	262.606659	0	0	0	17016.4	0	0	3
5	6	0	0.0676625432	101328.161	101320.014	101192.555	101580.584	262.606659	0	0	0	14766.9	0	0	3
6	6	0	0.0811950519	101321.365	101320.239	101192.555	101580.584	262.606659	0	0	0	12407.1	0	0	3
7	7	0	0.0947275605	101317.073	101319.787	101192.555	101580.584	262.606659	0	0	0	11920.3	0	0	3
8	7	0	0.108260069	101317.304	101319.477	101192.555	101580.584	262.606659	0	0	0	11051.1	0	0	3
9	8	0	0.121792578	101318.531	101319.372	101192.555	101580.584	262.606659	0	0	0	9494.42	0	0	3
10	8	0	0.135325086	101318.795	101319.314	101192.555	101580.584	262.606659	0	0	0	7096.06	0	0	3
11	9	0	0.148857595	101319.063	101319.291	101192.555	101580.584	262.606659	0	0	0	7073.75	0	0	3
12	9	0	0.162390104	101319.333	101319.295	101192.555	101580.584	262.606659	0	0	0	6936.32	0	0	3
13	10	0	0.175922612	101319.411	101319.303	101192.555	101580.584	262.606659	0	0	0	6776.45	0	0	3
14	10	0	0.189455121	101319.55	101319.321	101192.555	101580.584	262.606659	0	0	0	6652.14	0	0	3
15	11	0	0.20298763	101319.665	101319.344	101192.555	101580.584	262.606659	0	0	0	6504.07	0	0	3
16	11	0	0.216520138	101319.727	101319.368	101192.555	101580.584	262.606659	0	0	0	6437.02	0	0	3
17	12	0	0.230052647	101319.828	101319.395	101192.555	101580.584	262.606659	0	0	0	6351.58	0	0	3
18	12	0	0.243585156	101319.912	101319.424	101192.555	101580.584	262.606659	0	0	0	6277.76	0	0	3
19	13	0	0.257117664	101319.899	101319.449	101192.555	101580.584	262.606659	0	0	0	6210.23	0	0	3
20	13	0	0.270650173	101319.85	101319.469	101192.555	101580.584	262.606659	0	0	0	6150.87	0	0	3
21	14	0	0.284182682	101319.849	101319.487	101192.555	101580.584	262.606659	0	0	0	6093.02	0	0	3
22	14	0	0.29771519	101319.88	101319.505	101192.555	101580.584	262.606659	0	0	0	6026.47	0	0	3
23	15	0	0.311247699	101319.829	101319.519	101192.555	101580.584	262.606659	0	0	0	5959.16	0	0	3
24	15	0	0.324780208	101319.74	101319.528	101192.555	101580.584	262.606659	0	0	0	5886.48	0	0	3
25	16	0	0.338312716	101319.759	101319.537	101192.555	101580.584	262.606659	0	0	0	5830.55	0	0	3
26	16	0	0.351845225	101319.694	101319.543	101192.555	101580.584	262.606659	0	0	0	5779.07	0	0	3
27	17	0	0.365377733	101319.661	101319.548	101192.555	101580.584	262.606659	0	0	0	5721.85	0	0	3
28	17	0	0.378910242	101319.647	101319.551	101192.555	101580.584	262.606659	0	0	0	5686.78	0	0	3
