Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0136483991	101391.987	101391.987	101391.987	101391.987	0	0	0	0	15198.8	0	0	3
2	2	0	0.0272967982	101344.956	101368.472	101344.956	101391.987	23.5153143	0	0	0	30025.6	0	0	3
3	3	0	0.0409451973	101322.207	101353.05	101322.207	101391.987	38.9367636	0	0	0	22769.1	0	0	3
4	4	0	0.0545935964	101319.208	101344.59	101319.208	101391.987	47.3973361	0	0	0	15948.2	0	0	3
5	4	0	0.0682419955	101324.093	101340.49	101319.208	101391.987	51.4966714	0	0	0	9722.69	0	0	3
6	5	0	0.0818903946	101325.883	101338.056	101319.208	101391.987	53.9312024	0	0	0	8215.83	0	0	3
7	5	0	0.0955387937	101325.444	101336.254	101319.208	101391.987	55.7328968	0	0	0	7367.1	0	0	3
8	6	0	0.109187193	101325.352	101334.891	101319.208	101391.987	57.0957162	0	0	0	6374.47	0	0	3
9	6	0	0.122835592	101325.195	101333.814	101319.208	101391.987	58.1731147	0	0	0	5384.59	0	0	3
10	7	0	0.136483991	101325.254	101332.958	101319.208	101391.987	59.0290808	0	0	0	5060.31	0	0	3
11	8	0	0.15013239	101325.097	101332.243	101319.208	101391.987	59.7437233	0	0	0	5017.82	0	0	3
12	8	0	0.163780789	101324.832	101331.626	101319.208	101391.987	60.3613371	0	0	0	5003.55	0	0	3
13	9	0	0.177429188	101324.778	101331.099	101319.208	101391.987	60.8881118	0	0	0	4896.91	0	0	3
14	10	0	0.191077587	101324.697	101330.642	101319.208	101391.987	61.3453875	0	0	0	4712.29	0	0	3
15	10	0	0.204725987	101324.531	101330.234	101319.208	101391.987	61.7527792	0	0	0	4560.28	0	0	3
16	11	0	0.218374386	101324.457	101329.873	101319.208	101391.987	62.1138706	0	0	0	4437.59	0	0	3
17	11	0	0.232022785	101324.261	101329.543	101319.208	101391.987	62.4440045	0	0	0	4358.54	0	0	3
18	12	0	0.245671184	101324.211	101329.247	101319.208	101391.987	62.7402178	0	0	0	4348.34	0	0	3
19	13	0	0.259319583	101324.099	101328.976	101319.208	101391.987	63.0111554	0	0	0	4322.71	0	0	3
20	13	0	0.272967982	101323.93	101328.724	101319.208	101391.987	63.2634748	0	0	0	4296.35	0	0	3
21	14	0	0.286616381	101323.894	101328.494	101319.208	101391.987	63.4934427	0	0	0	4260.14	0	0	3
22	14	0	0.30026478	101323.741	101328.278	101319.208	101391.987	63.7094686	0	0	0	4219.65	0	0	3
23	15	0	0.313913179	101323.571	101328.073	101319.208	101391.987	63.9141059	0	0	0	4177.64	0	0	3
24	16	0	0.327561579	101323.401	101327.878	101319.208	101391.987	64.1087725	0	0	0	4096.51	0	0	3
25	16	0	0.341209978	101323.25	101327.693	101319.208	101391.987	64.2939147	0	0	0	4012.24	0	0	3
26	17	0	0.354858377	101323.08	101327.516	101319.208	101391.987	64.471362	0	0	0	3996.09	0	0	3
27	17	0	0.368506776	101322.898	101327.345	101319.208	101391.987	64.6424004	0	0	0	3977.33	0	0	3
28	18	0	0.382155175	101322.795	101327.182	101319.208	101391.987	64.80488	0	0	0	3957.93	0	0	3
29	19	0	0.395803574	101322.71	101327.028	101319.208	101391.987	64.9590829	0	0	0	3936.01	0	0	3
30	19	0	0.409451973	101322.686	101326.883	101319.208	101391.987	65.1038135	0	0	0	3913	0	0	3
31	20	0	0.423100372	101322.66	101326.747	101319.208	101391.987	65.2400492	0	0	0	3897	0	0	3
32	21	0	0.436748771	101322.668	101326.62	101319.208	101391.987	65.3675068	0	0	0	3877.02	0	0	3
33	21	0	0.45039717	101322.697	101326.501	101319.208	101391.987	65.4863802	0	0	0	3860.72	0	0	3
34	22	0	0.46404557	101322.747	101326.39	101319.208	101391.987	65.5967908	0	0	0	3840.68	0	0	3
35	22	0	0.477693969	101322.796	101326.288	101319.208	101391.987	65.6994941	0	0	0	3831.12	0	0	3
