Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0136483991
2	2	0	0.0272967982
3	3	0	0.0409451973
4	4	0	0.0545935964
5	4	0	0.0682419955
6	5	0	0.0818903946
7	5	0	0.0955387937
8	6	0	0.109187193
9	6	0	0.122835592
10	7	0	0.136483991
11	8	0	0.15013239
12	8	0	0.163780789
13	9	0	0.177429188
14	10	0	0.191077587
15	10	0	0.204725987
16	11	0	0.218374386
17	11	0	0.232022785
18	12	0	0.245671184
19	13	0	0.259319583
20	13	0	0.272967982
21	14	0	0.286616381
22	14	0	0.30026478
23	15	0	0.313913179
24	16	0	0.327561579
25	16	0	0.341209978
26	17	0	0.354858377
27	17	0	0.368506776
28	18	0	0.382155175
29	19	0	0.395803574
30	19	0	0.409451973
31	20	0	0.423100372
32	21	0	0.436748771
33	21	0	0.45039717
34	22	0	0.46404557
35	22	0	0.477693969
36	23	0	0.491342368
37	24	0	0.504990767
38	24	0	0.518639166
39	25	0	0.532287565
40	26	0	0.545935964
41	26	0	0.559584363
42	27	0	0.573232762
43	28	0	0.586881162
44	28	0	0.600529561
45	29	0	0.61417796
46	29	0	0.627826359
47	30	0	0.641474758
48	31	0	0.655123157
49	32	0	0.668771556
50	32	0	0.682419955
51	33	0	0.696068354
52	34	0	0.709716754
53	34	0	0.723365153
54	35	0	0.737013552
55	36	0	0.750661951
56	36	0	0.76431035
57	37	0	0.777958749
58	38	0	0.791607148
59	38	0	0.805255547
60	39	0	0.818903946
61	39	0	0.832552345
62	40	0	0.846200745
63	41	0	0.859849144
64	41	0	0.873497543
65	42	0	0.887145942
66	43	0	0.900794341
67	43	0	0.91444274
68	44	0	0.928091139
69	45	0	0.941739538
70	45	0	0.955387937
71	46	0	0.969036337
72	46	0	0.982684736
73	47	0	0.996333135
74	48	0	1.00998153
75	48	0	1.02362993
76	49	0	1.03727833
77	49	0	1.05092673
78	50	0	1.06457513
79	51	0	1.07822353
80	51	0	1.09187193
81	52	0	1.10552033
82	53	0	1.11916873
83	53	0	1.13281713
84	54	0	1.14646552
85	55	0	1.16011392
86	55	0	1.17376232
87	56	0	1.18741072
88	56	0	1.20105912
89	57	0	1.21470752
90	58	0	1.22835592
91	58	0	1.24200432
92	59	0	1.25565272
93	60	0	1.26930112
94	60	0	1.28294952
95	61	0	1.29659792
96	61	0	1.31024631
97	62	0	1.32389471
98	63	0	1.33754311
99	63	0	1.35119151
100	64	0	1.36483991
101	65	0	1.37848831
102	66	0	1.39213671
103	66	0	1.40578511
