Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0140513848	0	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.0281027697	0	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.0421541545	0	0	0	0	0	0	0	0	0	0	0	3
4	3	0	0.0562055393	0	0	0	0	0	0	0	0	0	0	0	3
5	4	0	0.0702569242	0	0	0	0	0	0	0	0	0	0	0	3
6	4	0	0.084308309	0	0	0	0	0	0	0	0	0	0	0	3
7	5	0	0.0983596938	0	0	0	0	0	0	0	0	0	0	0	3
8	5	0	0.112411079	0	0	0	0	0	0	0	0	0	0	0	3
9	6	0	0.126462463	0	0	0	0	0	0	0	0	0	0	0	3
10	6	0	0.140513848	0	0	0	0	0	0	0	0	0	0	0	3
11	7	0	0.154565233	0	0	0	0	0	0	0	0	0	0	0	3
12	8	0	0.168616618	0	0	0	0	0	0	0	0	0	0	0	3
13	8	0	0.182668003	0	0	0	0	0	0	0	0	0	0	0	3
14	9	0	0.196719388	0	0	0	0	0	0	0	0	0	0	0	3
15	9	0	0.210770772	0	0	0	0	0	0	0	0	0	0	0	3
16	10	0	0.224822157	0	0	0	0	0	0	0	0	0	0	0	3
17	10	0	0.238873542	0	0	0	0	0	0	0	0	0	0	0	3
18	11	0	0.252924927	0	0	0	0	0	0	0	0	0	0	0	3
19	11	0	0.266976312	0	0	0	0	0	0	0	0	0	0	0	3
20	12	0	0.281027697	0	0	0	0	0	0	0	0	0	0	0	3
21	13	0	0.295079081	0	0	0	0	0	0	0	0	0	0	0	3
22	13	0	0.309130466	0	0	0	0	0	0	0	0	0	0	0	3
23	14	0	0.323181851	0	0	0	0	0	0	0	0	0	0	0	3
24	14	0	0.337233236	0	0	0	0	0	0	0	0	0	0	0	3
25	15	0	0.351284621	0	0	0	0	0	0	0	0	0	0	0	3
26	15	0	0.365336006	0	0	0	0	0	0	0	0	0	0	0	3
27	16	0	0.37938739	0	0	0	0	0	0	0	0	0	0	0	3
28	16	0	0.393438775	0	0	0	0	0	0	0	0	0	0	0	3
29	17	0	0.40749016	0	0	0	0	0	0	0	0	0	0	0	3
30	18	0	0.421541545	0	0	0	0	0	0	0	0	0	0	0	3
31	18	0	0.43559293	0	0	0	0	0	0	0	0	0	0	0	3
32	19	0	0.449644315	0	0	0	0	0	0	0	0	0	0	0	3
33	19	0	0.463695699	0	0	0	0	0	0	0	0	0	0	0	3
34	20	0	0.477747084	0	0	0	0	0	0	0	0	0	0	0	3
35	20	0	0.491798469	0	0	0	0	0	0	0	0	0	0	0	3
36	21	0	0.505849854	0	0	0	0	0	0	0	0	0	0	0	3
37	22	0	0.519901239	0	0	0	0	0	0	0	0	0	0	0	3
38	22	0	0.533952624	0	0	0	0	0	0	0	0	0	0	0	3
39	23	0	0.548004008	0	0	0	0	0	0	0	0	0	0	0	3
40	23	0	0.562055393	0	0	0	0	0	0	0	0	0	0	0	3
41	24	0	0.576106778	0	0	0	0	0	0	0	0	0	0	0	3
42	25	0	0.590158163	0	0	0	0	0	0	0	0	0	0	0	3
