Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0151912134	0	0	0	0	0	0	0	1000	0	0	0	3
2	2	0	0.0303824269	0	0	0	0	0	0	0	1000	0	0	0	3
3	2	0	0.0455736403	0	0	0	0	0	0	0	1000	0	0	0	3
4	2	0	0.0607648537	0	0	0	0	0	0	0	1000	0	0	0	3
5	2	0	0.0759560672	0	0	0	0	0	0	0	1000	0	0	0	3
6	3	0	0.0911472806	0	0	0	0	0	0	0	1000	0	0	0	3
7	3	0	0.106338494	0	0	0	0	0	0	0	1000	0	0	0	3
8	3	0	0.121529707	0	0	0	0	0	0	0	1000	0	0	0	3
9	4	0	0.136720921	0	0	0	0	0	0	0	1000	0	0	0	3
10	4	0	0.151912134	0	0	0	0	0	0	0	1000	0	0	0	3
11	4	0	0.167103348	0	0	0	0	0	0	0	1000	0	0	0	3
12	5	0	0.182294561	0	0	0	0	0	0	0	1000	0	0	0	3
13	5	0	0.197485775	0	0	0	0	0	0	0	1000	0	0	0	3
14	5	0	0.212676988	0	0	0	0	0	0	0	1000	0	0	0	3
15	6	0	0.227868201	0	0	0	0	0	0	0	1000	0	0	0	3
16	6	0	0.243059415	0	0	0	0	0	0	0	1000	0	0	0	3
17	6	0	0.258250628	0	0	0	0	0	0	0	1000	0	0	0	3
18	7	0	0.273441842	0	0	0	0	0	0	0	1000	0	0	0	3
19	7	0	0.288633055	0	0	0	0	0	0	0	1000	0	0	0	3
20	7	0	0.303824269	0	0	0	0	0	0	0	1000	0	0	0	3
21	8	0	0.319015482	0	0	0	0	0	0	0	1000	0	0	0	3
22	8	0	0.334206696	0	0	0	0	0	0	0	1000	0	0	0	3
23	8	0	0.349397909	0	0	0	0	0	0	0	1000	0	0	0	3
24	8	0	0.364589122	0	0	0	0	0	0	0	1000	0	0	0	3
25	9	0	0.379780336	0	0	0	0	0	0	0	1000	0	0	0	3
26	9	0	0.394971549	0	0	0	0	0	0	0	1000	0	0	0	3
27	9	0	0.410162763	0	0	0	0	0	0	0	1000	0	0	0	3
28	10	0	0.425353976	0	0	0	0	0	0	0	1000	0	0	0	3
29	10	0	0.44054519	0	0	0	0	0	0	0	1000	0	0	0	3
30	10	0	0.455736403	0	0	0	0	0	0	0	1000	0	0	0	3
31	11	0	0.470927616	0	0	0	0	0	0	0	1000	0	0	0	3
32	11	0	0.48611883	0	0	0	0	0	0	0	1000	0	0	0	3
33	11	0	0.501310043	0	0	0	0	0	0	0	1000	0	0	0	3
34	11	0	0.516501257	0	0	0	0	0	0	0	1000	0	0	0	3
35	12	0	0.53169247	0	0	0	0	0	0	0	1000	0	0	0	3
36	12	0	0.546883684	0	0	0	0	0	0	0	1000	0	0	0	3
37	12	0	0.562074897	0	0	0	0	0	0	0	1000	0	0	0	3
38	13	0	0.57726611	0	0	0	0	0	0	0	1000	0	0	0	3
39	13	0	0.592457324	0	0	0	0	0	0	0	1000	0	0	0	3
40	13	0	0.607648537	0	0	0	0	0	0	0	1000	0	0	0	3
41	13	0	0.622839751	0	0	0	0	0	0	0	1000	0	0	0	3
42	14	0	0.638030964	0	0	0	0	0	0	0	1000	0	0	0	3
43	14	0	0.653222178	0	0	0	0	0	0	0	1000	0	0	0	3
44	14	0	0.668413391	0	0	0	0	0	0	0	1000	0	0	0	3
45	15	0	0.683604604	0	0	0	0	0	0	0	1000	0	0	0	3
46	15	0	0.698795818	0	0	0	0	0	0	0	1000	0	0	0	3
47	15	0	0.713987031	0	0	0	0	0	0	0	1000	0	0	0	3
48	16	0	0.729178245	0	0	0	0	0	0	0	1000	0	0	0	3
49	16	0	0.744369458	0	0	0	0	0	0	0	1000	0	0	0	3
50	16	0	0.759560672	0	0	0	0	0	0	0	1000	0	0	0	3
51	16	0	0.774751885	0	0	0	0	0	0	0	1000	0	0	0	3
52	17	0	0.789943098	0	0	0	0	0	0	0	1000	0	0	0	3
53	17	0	0.805134312	0	0	0	0	0	0	0	1000	0	0	0	3
54	17	0	0.820325525	0	0	0	0	0	0	0	1000	0	0	0	3
55	18	0	0.835516739	0	0	0	0	0	0	0	1000	0	0	0	3
56	18	0	0.850707952	0	0	0	0	0	0	0	1000	0	0	0	3
57	18	0	0.865899166	0	0	0	0	0	0	0	1000	0	0	0	3
58	19	0	0.881090379	0	0	0	0	0	0	0	1000	0	0	0	3
59	19	0	0.896281593	0	0	0	0	0	0	0	1000	0	0	0	3
60	19	0	0.911472806	0	0	0	0	0	0	0	1000	0	0	0	3
61	20	0	0.926664019	0	0	0	0	0	0	0	1000	0	0	0	3
62	20	0	0.941855233	0	0	0	0	0	0	0	1000	0	0	0	3
63	20	0	0.957046446	0	0	0	0	0	0	0	1000	0	0	0	3
64	20	0	0.97223766	0	0	0	0	0	0	0	1000	0	0	0	3
65	21	0	0.987428873	0	0	0	0	0	0	0	1000	0	0	0	3
66	21	0	1.00262009	0	0	0	0	0	0.001	0	1000	0	0	0	3
