Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0133257883	293.200425	293.200425	293.200425	293.200425	0	0	0	0	41.2783	0	0	3
2	3	0	0.0266515767	293.201689	293.201057	293.200425	293.201689	0.000631723265	0	0	0	42.4969	0	0	3
3	3	0	0.039977365	293.20332	293.201811	293.200425	293.20332	0.00138604002	0	0	0	45.7465	0	0	3
4	4	0	0.0533031534	293.205439	293.202718	293.200425	293.205439	0.00229301897	0	0	0	48.0053	0	0	3
5	4	0	0.0666289417	293.208171	293.203809	293.200425	293.208171	0.00338361688	0	0	0	49.1579	0	0	3
6	5	0	0.0799547301	293.215904	293.205825	293.200425	293.215904	0.0053994751	0	0	0	50.556	0	0	3
7	5	0	0.0932805184	293.227717	293.208952	293.200425	293.227717	0.00852696205	0	0	0	52.4712	0	0	3
8	6	0	0.106606307	293.241576	293.21303	293.200425	293.241576	0.0126048625	0	0	0	53.4837	0	0	3
9	7	0	0.119932095	293.256349	293.217843	293.200425	293.256349	0.0174181027	0	0	0	53.8294	0	0	3
10	7	0	0.133257883	293.271858	293.223245	293.200425	293.271858	0.0228195727	0	0	0	54.0721	0	0	3
11	8	0	0.146583672	293.299608	293.230187	293.200425	293.299608	0.029761683	0	0	0	54.7845	0	0	3
12	8	0	0.15990946	293.329172	293.238436	293.200425	293.329172	0.0380103904	0	0	0	55.2153	0	0	3
13	9	0	0.173235249	293.360045	293.24779	293.200425	293.360045	0.0473649678	0	0	0	55.5879	0	0	3
14	10	0	0.186561037	293.389361	293.257903	293.200425	293.389361	0.057477182	0	0	0	55.9064	0	0	3
15	10	0	0.199886825	293.409365	293.268	293.200425	293.409365	0.0675747107	0	0	0	56.6774	0	0	3
16	11	0	0.213212614	293.413229	293.277077	293.200425	293.413229	0.0766514909	0	0	0	58.1375	0	0	3
17	11	0	0.226538402	293.405598	293.284637	293.200425	293.413229	0.0842115636	0	0	0	59.5753	0	0	3
18	12	0	0.23986419	293.387181	293.290334	293.200425	293.413229	0.0899084452	0	0	0	60.7007	0	0	3
19	13	0	0.253189979	293.363126	293.294165	293.200425	293.413229	0.0937396117	0	0	0	61.5023	0	0	3
20	13	0	0.266515767	293.338599	293.296387	293.200425	293.413229	0.0959613055	0	0	0	62.217	0	0	3
21	14	0	0.279841555	293.313012	293.297178	293.200425	293.413229	0.0967529743	0	0	0	62.4586	0	0	3
22	14	0	0.293167344	293.305574	293.29756	293.200425	293.413229	0.0971345825	0	0	0	62.5925	0	0	3
23	15	0	0.306493132	293.311582	293.29817	293.200425	293.413229	0.0977442537	0	0	0	62.6692	0	0	3
24	15	0	0.31981892	293.325428	293.299305	293.200425	293.413229	0.0988800207	0	0	0	62.5872	0	0	3
25	16	0	0.333144709	293.342215	293.301022	293.200425	293.413229	0.100596402	0	0	0	62.3893	0	0	3
26	16	0	0.346470497	293.36871	293.303625	293.200425	293.413229	0.103199778	0	0	0	62.0858	0	0	3
27	17	0	0.359796285	293.393657	293.30696	293.200425	293.413229	0.106534309	0	0	0	61.7865	0	0	3
28	17	0	0.373122074	293.415882	293.31085	293.200425	293.415882	0.110424377	0	0	0	61.5611	0	0	3
29	18	0	0.386447862	293.434853	293.315126	293.200425	293.434853	0.114700336	0	0	0	61.2384	0	0	3
30	19	0	0.39977365	293.450352	293.319633	293.200425	293.450352	0.119207884	0	0	0	60.8967	0	0	3
31	19	0	0.413099439	293.470214	293.324491	293.200425	293.470214	0.124065317	0	0	0	60.4991	0	0	3
32	20	0	0.426425227	293.483495	293.32946	293.200425	293.483495	0.129034216	0	0	0	60.0461	0	0	3
33	20	0	0.439751016	293.489602	293.334312	293.200425	293.489602	0.133887031	0	0	0	59.6137	0	0	3
34	21	0	0.453076804	293.49013	293.338895	293.200425	293.49013	0.138469893	0	0	0	59.1841	0	0	3
35	21	0	0.466402592	293.48663	293.343116	293.200425	293.49013	0.142690871	0	0	0	58.7846	0	0	3
36	22	0	0.479728381	293.48232	293.346983	293.200425	293.49013	0.146557641	0	0	0	58.4618	0	0	3
37	23	0	0.493054169	293.473243	293.350395	293.200425	293.49013	0.149970083	0	0	0	58.378	0	0	3
38	23	0	0.506379957	293.46302	293.353359	293.200425	293.49013	0.152933876	0	0	0	58.2753	0	0	3
39	24	0	0.519705746	293.453508	293.360019	293.201689	293.49013	0.158962229	0	0	0	58.197	0	0	3
40	24	0	0.533031534	293.445544	293.366437	293.20332	293.49013	0.16462516	0	0	0	58.07	0	0	3
41	25	0	0.546357322	293.439878	293.372662	293.205439	293.49013	0.169943384	0	0	0	57.9865	0	0	3
42	25	0	0.559683111	293.43518	293.378708	293.208171	293.49013	0.174898597	0	0	0	57.9174	0	0	3
43	26	0	0.573008899	293.431497	293.384585	293.215904	293.49013	0.178759724	0	0	0	57.8231	0	0	3
44	26	0	0.586334687	293.428905	293.39019	293.227717	293.49013	0.181237526	0	0	0	57.8253	0	0	3
45	27	0	0.599660476	293.427172	293.395439	293.241576	293.49013	0.18240843	0	0	0	57.7643	0	0	3
46	27	0	0.612986264	293.42613	293.400295	293.256349	293.49013	0.182451898	0	0	0	57.7757	0	0	3
47	28	0	0.626312052	293.425562	293.404748	293.271858	293.49013	0.181503396	0	0	0	57.6852	0	0	3
48	29	0	0.639637841	293.425459	293.40879	293.299608	293.49013	0.178603401	0	0	0	57.7312	0	0	3
49	29	0	0.652963629	293.425709	293.412109	293.305574	293.49013	0.173673148	0	0	0	57.6545	0	0	3
50	30	0	0.666289417	293.426218	293.414663	293.305574	293.49013	0.166872425	0	0	0	57.6953	0	0	3
51	30	0	0.679615206	293.426849	293.416421	293.305574	293.49013	0.158518211	0	0	0	57.6288	0	0	3
52	31	0	0.692940994	293.427612	293.417427	293.305574	293.49013	0.149427284	0	0	0	57.6645	0	0	3
53	31	0	0.706266782	293.428411	293.417929	293.305574	293.49013	0.140851691	0	0	0	57.6023	0	0	3
54	32	0	0.719592571	293.429294	293.418351	293.305574	293.49013	0.133714392	0	0	0	57.642	0	0	3
55	32	0	0.732918359	293.430232	293.419	293.305574	293.49013	0.128665774	0	0	0	57.5767	0	0	3
56	33	0	0.746244148	293.431193	293.420158	293.305574	293.49013	0.125992825	0	0	0	57.6213	0	0	3
57	34	0	0.759569936	293.432177	293.421975	293.305574	293.49013	0.125588256	0	0	0	57.5546	0	0	3
58	34	0	0.772895724	293.433167	293.424464	293.305574	293.49013	0.127285234	0	0	0	57.5971	0	0	3
59	35	0	0.786221513	293.434145	293.427651	293.305574	293.49013	0.130091354	0	0	0	57.532	0	0	3
60	35	0	0.799547301	293.43511	293.43106	293.311582	293.49013	0.13289052	0	0	0	57.5785	0	0	3
61	36	0	0.812873089	293.436006	293.434334	293.325428	293.49013	0.135029046	0	0	0	57.5196	0	0	3
62	36	0	0.826198878	293.4369	293.437268	293.342215	293.49013	0.136246149	0	0	0	57.565	0	0	3
63	37	0	0.839524666	293.437717	293.439781	293.36871	293.49013	0.121420192	0	0	0	57.5099	0	0	3
64	38	0	0.852850454	293.438505	293.441618	293.393657	293.49013	0.0964722305	0	0	0	57.5573	0	0	3
65	38	0	0.866176243	293.439232	293.442817	293.415882	293.49013	0.0742481475	0	0	0	57.5569	0	0	3
66	39	0	0.879502031	293.439931	293.44345	293.425459	293.49013	0.0646711991	0	0	0	57.5464	0	0	3
67	39	0	0.892827819	293.440571	293.443601	293.425459	293.49013	0.0646711991	0	0	0	57.5195	0	0	3
68	40	0	0.906153608	293.441179	293.443359	293.425459	293.49013	0.0646711991	0	0	0	57.5458	0	0	3
69	40	0	0.919479396	293.441707	293.442609	293.425459	293.49013	0.0646711991	0	0	0	57.4975	0	0	3
70	41	0	0.932805184	293.442209	293.441522	293.425459	293.49013	0.0646711991	0	0	0	57.5437	0	0	3
71	41	0	0.946130973	293.44265	293.440287	293.425459	293.49013	0.0646711991	0	0	0	57.4927	0	0	3
72	42	0	0.959456761	293.443046	293.439048	293.425459	293.48663	0.0611709851	0	0	0	57.5365	0	0	3
73	42	0	0.972782549	293.443388	293.43791	293.425459	293.48232	0.0568614144	0	0	0	57.4896	0	0	3
74	43	0	0.986108338	293.443693	293.436893	293.425459	293.473243	0.0477848314	0	0	0	57.5307	0	0	3
75	43	0	0.999434126	293.44396	293.436123	293.425459	293.46302	0.0375610834	0	0	0	57.4853	0	0	3
76	44	0	1.01275991	293.444194	293.435627	293.425459	293.453508	0.0280497244	0.00860429042	0	30.6	57.5254	0	0	3
77	45	0	1.0260857	293.4444	293.435388	293.425459	293.445544	0.0200857075	0.00860429042	0	42.8	57.4798	0	0	3
78	45	0	1.03941149	293.444567	293.435362	293.425459	293.444567	0.0191080094	0.00860429042	0	45	57.5221	0	0	3
79	46	0	1.05273728	293.444699	293.435489	293.425459	293.444699	0.019240846	0.00860429042	0	44.7	57.4767	0	0	3
80	46	0	1.06606307	293.444846	293.435743	293.425459	293.444846	0.0193875704	0.00860429042	0	44.3	57.5245	0	0	3
81	47	0	1.07938886	293.444933	293.436097	293.425459	293.444933	0.0194746986	0.00860429042	0	44.1	57.4818	0	0	3
82	47	0	1.09271464	293.445015	293.436521	293.425459	293.445015	0.0195561126	0.00860429042	0	43.9	57.532	0	0	3
83	48	0	1.10604043	293.445053	293.436991	293.425459	293.445053	0.0195941427	0.00860429042	0	43.9	57.4887	0	0	3
84	48	0	1.11936622	293.445097	293.43749	293.425459	293.445097	0.0196387822	0.00860429042	0	43.8	57.5322	0	0	3
85	49	0	1.13269201	293.445125	293.438005	293.425459	293.445125	0.0196664832	0.00860429042	0	43.7	57.5178	0	0	3
