"Time Sec","Position mm","200LB lb","Cycle"
0.,12.3803,0.260162,1
0.1,12.2837,0.176907,1
0.2,12.1832,0.262737,1
0.3,12.0822,0.187635,1
0.4,11.9824,0.467134,1
0.5,11.8825,0.357509,1
0.6,11.7811,0.294232,1
0.7,11.6814,0.267315,1
0.8,11.5821,0.0401735,1
0.9,11.4801,-0.32295,1
1.,11.3807,-1.00658,1
1.1,11.2811,-2.1935,1
1.2,11.1807,-3.16544,1
1.3,11.0802,-4.07627,1
1.4,10.9783,-4.77289,1
1.5,10.8811,-4.87645,1
1.6,10.78,-5.14816,1
1.7,10.681,-5.19611,1
1.8,10.5795,-5.46436,1
1.9,10.4806,-5.55643,1
2.,10.3793,-5.53039,1
2.1,10.2818,-5.582,1
2.2,10.1783,-5.58077,1
2.3,10.0822,-5.6215,1
2.4,9.98014,-5.62686,1
2.5,9.88131,-5.67672,1
2.6,9.78004,-5.69804,1
2.7,9.68048,-5.71957,1
2.8,9.5788,-5.64101,1
2.9,9.4804,-5.52177,1
3.,9.38053,-5.58238,1
3.1,9.27844,-5.49694,1
3.2,9.18012,-5.53424,1
3.3,9.07872,-5.56009,1
3.4,8.98139,-5.47392,1
3.5,8.87801,-5.5125,1
3.6,8.77909,-5.37174,1
3.7,8.6786,-5.40856,1
3.8,8.57997,-5.33261,1
3.9,8.47889,-5.28983,1
4.,8.38042,-5.30669,1
4.1,8.27872,-5.41176,1
4.2,8.17959,-5.22658,1
4.3,8.07944,-5.12855,1
4.4,7.97988,-5.4217,1
4.5,7.87994,-5.47636,1
4.6,7.78161,-5.61882,1
4.7,7.6788,-5.9098,1
4.8,7.58136,-6.03647,1
4.9,7.47944,-5.98793,1
5.,7.37894,-5.92065,1
5.1,7.27988,-5.71654,1
5.2,7.17935,-5.51137,1
5.3,7.07997,-5.38927,1
5.4,6.97889,-5.37426,1
5.5,6.8805,-5.37491,1
5.6,6.7791,-5.26741,1
5.7,6.67918,-5.25944,1
5.8,6.57917,-5.26657,1
5.9,6.48003,-5.3164,1
6.,6.37913,-5.37044,1
6.1,6.2806,-5.49961,1
6.2,6.1797,-5.32086,1
6.3,6.08066,-5.42151,1
6.4,5.98011,-5.30092,1
6.5,5.88114,-5.34865,1
6.6,5.77941,-5.41844,1
6.7,5.67984,-5.19613,1
6.8,5.5795,-5.31124,1
6.9,5.47944,-5.41215,1
7.,5.38104,-5.27667,1
7.1,5.2793,-5.11791,1
7.2,5.18155,-5.0733,1
7.3,5.07895,-5.11951,1
7.4,4.97952,-5.12102,1
7.5,4.87982,-5.21432,1
7.6,4.78142,-5.25724,1
7.7,4.68136,-5.57014,1
7.8,4.57966,-6.14635,1
7.9,4.47941,-6.59122,1
8.,4.38032,-7.02901,1
8.1,4.28018,-7.19613,1
8.2,4.18094,-7.59118,1
8.3,4.08156,-8.15841,1
8.4,3.97928,-8.51465,1
8.5,3.881,-8.92993,1
8.6,3.77919,-9.15893,1
8.7,3.68152,-9.52249,1
8.8,3.57993,-9.66467,1
8.9,3.481,-9.78037,1
9.,3.38014,-9.99178,1
9.1,3.28015,-9.91012,1
9.2,3.17995,-10.0652,1
9.3,3.07963,-9.92389,1
9.4,2.97922,-9.3716,1
9.5,2.87988,-9.60429,1
9.6,2.78092,-9.78246,1
9.7,2.68014,-9.8074,1
9.8,2.58118,-9.86893,1
9.9,2.47948,-10.2036,1
10.,2.38155,-10.4151,1
10.1,2.27934,-10.4837,1
10.2,2.18042,-10.2173,1
10.3,2.08039,-10.3265,1
10.4,1.98021,-10.4538,1
10.5,1.88104,-10.3077,1
10.6,1.78112,-10.4381,1
10.7,1.68099,-10.2136,1
10.8,1.57988,-10.3951,1
10.9,1.47895,-10.4359,1
11.,1.38099,-10.3134,1
11.1,1.28082,-10.3857,1
11.2,1.17977,-10.1757,1
11.3,1.08112,-9.81451,1
11.4,0.980314,-10.0578,1
11.5,0.88045,-10.11,1
11.6,0.780872,-10.1377,1
11.7,0.681361,-10.0991,1
11.8,0.57986,-10.0007,1
11.9,0.481361,-9.70634,1
12.,0.378973,-9.38261,1
12.1,0.281187,-9.37694,1
12.2,0.179921,-9.42701,1
12.3,0.0801627,-9.33557,1
12.4,-0.0205848,-8.97806,1
12.5,-0.120629,-8.74008,1
12.6,-0.22053,-8.80598,1
12.7,-0.318515,-8.65841,1
12.8,-0.41951,-8.30445,1
12.9,-0.518816,-7.8514,1
13.,-0.619012,-7.29685,1
13.1,-0.719486,-6.65131,1
13.2,-0.817769,-5.98665,1
13.3,-0.920073,-5.2106,1
13.4,-1.01829,-4.80495,1
13.5,-1.12128,-4.20339,1
13.6,-1.21975,-3.82463,1
13.7,-1.31864,-3.45122,1
13.8,-1.41916,-3.81038,1
13.9,-1.51935,-3.1571,1
14.,-1.61883,-3.33767,1
14.1,-1.72014,-3.01179,1
14.2,-1.82042,-3.08955,1
14.3,-1.91936,-3.01597,1
14.4,-2.02,-3.41797,1
14.5,-2.12009,-2.90016,1
14.6,-2.21848,-3.31056,1
14.7,-2.32023,-2.92627,1
14.8,-2.4189,-3.37472,1
14.9,-2.52009,-3.05548,1
15.,-2.62011,-3.20983,1
15.1,-2.62339,-2.57217,1
15.2,-2.62398,-2.40389,1
15.3,-2.6235,-2.38065,1
15.4,-2.62403,-2.42305,1
15.5,-2.62258,-2.39155,1
15.6,-2.62329,-2.26454,1
15.7,-2.62143,-2.13975,1
15.8,-2.62149,-2.20542,1
15.9,-2.62329,-2.20108,1
