Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	1.78886453e-24	1.78886453e-24	1.78886453e-24	1.78886453e-24	0	0	0	0	0	0	0	3
2	1	0	0.05	1.0136899e-23	5.96288178e-24	1.78886453e-24	1.0136899e-23	4.17401725e-24	0	0	0	0	0	0	3
3	2	0	0.075	0	3.97525452e-24	0	1.0136899e-23	4.17401725e-24	0	0	0	0	0	0	3
4	2	0	0.1	1.19257636e-24	3.27958498e-24	0	1.0136899e-23	4.17401725e-24	0	0	0	0	0	0	3
5	2	0	0.125	-4.17401725e-24	1.78886453e-24	-4.17401725e-24	1.0136899e-23	4.17401725e-24	0	0	0	0	0	0	3
6	2	0	0.15	-1.43109163e-23	-8.94432267e-25	-1.43109163e-23	1.0136899e-23	6.85731405e-24	0	0	0	0	0	0	3
7	2	0	0.175	-5.96288178e-24	-1.61849648e-24	-1.43109163e-23	1.0136899e-23	7.58137826e-24	0	0	0	0	0	0	3
8	3	0	0.2	4.39127484e-20	5.48767737e-21	-1.43109163e-23	4.39127484e-20	5.48929587e-21	0	0	0	0	0	0	3
9	3	0	0.225	7.75174632e-24	4.87879675e-21	-1.43109163e-23	4.39127484e-20	5.48929587e-21	0	0	0	0	0	0	3
10	3	0	0.25	2.38515271e-23	4.39330222e-21	-1.43109163e-23	4.39127484e-20	5.48929587e-21	0	0	0	0	0	0	3
11	3	0	0.275	6.53531843e-22	4.0533231e-21	-1.43109163e-23	4.39127484e-20	5.48929587e-21	0	0	0	0	0	0	3
12	4	0	0.3	6.14683668e-21	4.22778256e-21	-1.43109163e-23	4.39127484e-20	5.48929587e-21	0	0	0	0	0	0	3
13	4	0	0.325	-6.62476166e-22	3.85160882e-21	-6.62476166e-22	4.39127484e-20	5.48929587e-21	0	0	0	0	0	0	3
14	4	0	0.35	-4.72439124e-21	3.23903738e-21	-4.72439124e-21	4.39127484e-20	5.48929587e-21	0	0	0	0	0	0	3
