Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	10	0	0.0107777809	-611.801452	-611.801452	-611.801452	-611.801452	0	0	0	0	0	0	0	3
2	12	0	0.0215555617	-917.11319	-764.457321	-917.11319	-611.801452	152.655869	0	0	0	0	0	0	3
3	14	0	0.0323333426	-1200.23914	-909.717929	-1200.23914	-611.801452	297.916477	0	0	0	0	0	0	3
4	16	0	0.0431111234	-1427.69212	-1039.21148	-1427.69212	-611.801452	427.410025	0	0	0	0	0	0	3
5	17	0	0.0538889043	-1586.57529	-1148.68424	-1586.57529	-611.801452	536.882787	0	0	0	0	0	0	3
6	19	0	0.0646666851	-1694.36348	-1239.63078	-1694.36348	-611.801452	627.829327	0	0	0	0	0	0	3
7	21	0	0.075444466	-1710.91567	-1306.95719	-1710.91567	-611.801452	695.15574	0	0	0	0	0	0	3
8	23	0	0.0862222468	-1610.79208	-1344.93655	-1710.91567	-611.801452	733.135101	0	0	0	0	0	0	3
9	25	0	0.0970000277	-1467.17205	-1358.51827	-1710.91567	-611.801452	746.716823	0	0	0	0	0	0	3
10	28	0	0.107777809	-1337.9964	-1356.46609	-1710.91567	-611.801452	746.716823	0	0	0	0	0	0	3
11	30	0	0.118555589	-1188.06001	-1341.15644	-1710.91567	-611.801452	746.716823	0	0	0	0	0	0	3
12	32	0	0.12933337	-1063.60925	-1318.02751	-1710.91567	-611.801452	746.716823	0	0	0	0	0	0	3
13	33	0	0.140111151	-1016.02656	-1294.79667	-1710.91567	-611.801452	746.716823	0	0	0	0	0	0	3
14	35	0	0.150888932	-967.880008	-1271.44548	-1710.91567	-611.801452	746.716823	0	0	0	0	0	0	3
15	37	0	0.161666713	-927.616849	-1248.52357	-1710.91567	-611.801452	746.716823	0	0	0	0	0	0	3
16	39	0	0.172444494	-891.509835	-1226.21021	-1710.91567	-611.801452	746.716823	0	0	0	0	0	0	3
17	41	0	0.183222275	-848.823916	-1204.01102	-1710.91567	-611.801452	746.716823	0	0	0	0	0	0	3
18	42	0	0.194000055	-807.10536	-1181.9607	-1710.91567	-611.801452	746.716823	0	0	0	0	0	0	3
19	44	0	0.204777836	-769.851	-1160.27072	-1710.91567	-611.801452	746.716823	0	0	0	0	0	0	3
20	46	0	0.215555617	-737.511321	-1139.13275	-1710.91567	-611.801452	746.716823	0	0	0	0	0	0	3
21	48	0	0.226333398	-709.663666	-1118.68184	-1710.91567	-611.801452	746.716823	0	0	0	0	0	0	3
22	50	0	0.237111179	-681.284376	-1098.80014	-1710.91567	-611.801452	746.716823	0	0	0	0	0	0	3
23	52	0	0.24788896	-655.854868	-1079.54165	-1710.91567	-611.801452	746.716823	0	0	0	0	0	0	3
24	54	0	0.258666741	-635.010888	-1061.01953	-1710.91567	-611.801452	746.716823	0	0	0	0	0	0	3
25	56	0	0.269444521	-616.769447	-1043.24953	-1710.91567	-611.801452	746.716823	0	0	0	0	0	0	3
26	58	0	0.280222302	-600.266456	-1026.21172	-1710.91567	-600.266456	746.716823	0	0	0	0	0	0	3
27	60	0	0.291000083	-578.538989	-1009.63125	-1710.91567	-578.538989	746.716823	0	0	0	0	0	0	3
28	62	0	0.301777864	-557.473523	-993.482757	-1710.91567	-557.473523	746.716823	0	0	0	0	0	0	3
29	64	0	0.312555645	-537.727554	-977.76706	-1710.91567	-537.727554	746.716823	0	0	0	0	0	0	3
30	66	0	0.323333426	-521.912743	-962.571916	-1710.91567	-521.912743	746.716823	0	0	0	0	0	0	3
