Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	101325.686	101325.686	101325.686	101325.686	0	0	0	0	51381.9	0	0	3
2	1	0	0.05	101322.918	101324.302	101322.918	101325.686	1.38418682	0	0	0	51262.8	0	0	3
3	2	0	0.075	101319.543	101322.716	101319.543	101325.686	2.97048796	0	0	0	54401.8	0	0	3
4	2	0	0.1	101314.201	101320.587	101314.201	101325.686	5.09921134	0	0	0	52657.7	0	0	3
5	2	0	0.125	101302.603	101316.99	101302.603	101325.686	8.69601159	0	0	0	57333.7	0	0	3
6	2	0	0.15	101287.144	101312.016	101287.144	101325.686	13.6703864	0	0	0	59010.4	0	0	3
7	2	0	0.175	101267.613	101305.673	101267.613	101325.686	20.0135734	0	0	0	57894.3	0	0	3
8	3	0	0.2	101318.04	101307.218	101267.613	101325.686	20.0135734	0	0	0	57362.2	0	0	3
9	3	0	0.225	101355.541	101312.588	101267.613	101355.541	20.0135734	0	0	0	56564.5	0	0	3
10	3	0	0.25	101392.218	101320.551	101267.613	101392.218	20.0135734	0	0	0	55925.9	0	0	3
11	3	0	0.275	101373.057	101325.324	101267.613	101392.218	20.0135734	0	0	0	52739.2	0	0	3
12	3	0	0.3	101341.684	101326.687	101267.613	101392.218	21.0147672	0	0	0	52870.3	0	0	3
13	3	0	0.325	101315.891	101325.857	101267.613	101392.218	21.0147672	0	0	0	53706.9	0	0	3
14	4	0	0.35	101326.392	101325.895	101267.613	101392.218	21.0147672	0	0	0	53428.5	0	0	3
15	4	0	0.375	101350.395	101327.528	101267.613	101392.218	21.8557993	0	0	0	53930.8	0	0	3
16	4	0	0.4	101340.214	101328.321	101267.613	101392.218	22.6486268	0	0	0	52536.8	0	0	3
17	4	0	0.425	101347.604	101329.455	101267.613	101392.218	23.782887	0	0	0	52935.8	0	0	3
18	4	0	0.45	101333.735	101329.693	101267.613	101392.218	24.0206212	0	0	0	55804.6	0	0	3
19	4	0	0.475	101350.739	101330.801	101267.613	101392.218	25.1283118	0	0	0	60139	0	0	3
20	5	0	0.5	101341.274	101331.325	101267.613	101392.218	25.6519611	0	0	0	62036.8	0	0	3
21	5	0	0.525	101351.63	101332.622	101267.613	101392.218	26.949145	0	0	0	61110.7	0	0	3
22	5	0	0.55	101335.012	101333.226	101267.613	101392.218	27.55384	0	0	0	53981.9	0	0	3
23	5	0	0.575	101337.035	101334.101	101267.613	101392.218	28.4284491	0	0	0	51732	0	0	3
24	5	0	0.6	101333.377	101335.06	101267.613	101392.218	29.3872776	0	0	0	48019.4	0	0	3
25	6	0	0.625	101344.92	101337.176	101267.613	101392.218	31.5031557	0	0	0	46462.8	0	0	3
26	6	0	0.65	101333.586	101339.498	101267.613	101392.218	33.8252563	0	0	0	44363.9	0	0	3
27	6	0	0.675	101339.55	101343.095	101315.891	101392.218	35.8761984	0	0	0	44039.6	0	0	3
28	6	0	0.7	101325.387	101343.462	101315.891	101392.218	30.8744026	0	0	0	43435	0	0	3
29	6	0	0.725	101324.905	101341.93	101315.891	101392.218	22.9113815	0	0	0	43520.7	0	0	3
30	6	0	0.75	101321.928	101338.416	101315.891	101373.057	18.1380457	0	0	0	42924.8	0	0	3
31	7	0	0.775	101322.988	101335.912	101315.891	101351.63	17.6052321	0	0	0	43206.1	0	0	3
32	7	0	0.8	101315.055	101334.581	101315.055	101351.63	17.6052321	0	0	0	40959.1	0	0	3
33	7	0	0.825	101317.579	101334.665	101315.055	101351.63	17.5670056	0	0	0	39324.8	0	0	3
34	7	0	0.85	101309.574	101333.824	101309.574	101351.63	15.9336873	0	0	0	38489.6	0	0	3
35	7	0	0.875	101304.424	101331.526	101304.424	101351.63	15.1408598	0	0	0	41208.3	0	0	3
36	8	0	0.9	101311.108	101330.071	101304.424	101351.63	14.0065996	0	0	0	37884.9	0	0	3
37	8	0	0.925	101319.706	101328.676	101304.424	101351.63	14.7863598	0	0	0	37262.6	0	0	3
38	8	0	0.95	101320.6	101328.019	101304.424	101351.63	15.4430874	0	0	0	36377.1	0	0	3
39	8	0	0.975	101319.709	101326.467	101304.424	101351.63	16.9945849	0	0	0	35200	0	0	3
40	8	0	1	101314.367	101325.122	101304.424	101351.63	18.3399312	3.73813249	0	0	37460.6	0	0	3
41	8	0	1.025	101314.748	101323.278	101304.424	101344.92	20.1840199	3.73813249	0	0	38871.1	0	0	3
42	9	0	1.05	101325.408	101322.798	101304.424	101344.92	20.6642147	3.73813249	0	0	42857.7	0	0	3
43	9	0	1.075	101333.19	101322.606	101304.424	101344.92	20.8564797	3.73813249	0	0	36713.1	0	0	3
44	9	0	1.1	101335.584	101323.224	101304.424	101344.92	20.8564797	3.73813249	0	0	35527.2	0	0	3
45	9	0	1.125	101334.684	101323.286	101304.424	101344.92	20.8564797	3.73813249	0	0	31714.2	0	0	3
