Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.0107104802	293.1985	293.1985	293.1985	293.1985	0	0	0	0	47.8308	0	0	3
2	8	0	0.0214209603	293.199201	293.198851	293.1985	293.199201	0.000350735428	0	0	0	49.9942	0	0	3
3	9	0	0.0321314405	293.200231	293.199311	293.1985	293.200231	0.000810857042	0	0	0	49.9923	0	0	3
4	11	0	0.0428419206	293.201693	293.199906	293.1985	293.201693	0.00140628681	0	0	0	48.6561	0	0	3
5	12	0	0.0535524008	293.203589	293.200643	293.1985	293.203589	0.00214279666	0	0	0	45.9212	0	0	3
6	14	0	0.0642628809	293.207541	293.201792	293.1985	293.207541	0.00329252845	0	0	0	46.5525	0	0	3
7	15	0	0.0749733611	293.212786	293.203363	293.1985	293.212786	0.00486296751	0	0	0	47.0886	0	0	3
8	16	0	0.0856838412	293.21816	293.205213	293.1985	293.21816	0.00671261406	0	0	0	47.1582	0	0	3
9	18	0	0.0963943214	293.223296	293.207222	293.1985	293.223296	0.0087218916	0	0	0	48.0533	0	0	3
10	19	0	0.107104802	293.228272	293.209327	293.1985	293.228272	0.0108268896	0	0	0	49.5967	0	0	3
11	20	0	0.117815282	293.236483	293.211796	293.1985	293.236483	0.0132956552	0	0	0	52.811	0	0	3
12	22	0	0.128525762	293.244676	293.214536	293.1985	293.244676	0.016035662	0	0	0	54.2318	0	0	3
13	23	0	0.139236242	293.252964	293.217492	293.1985	293.252964	0.0189916877	0	0	0	55.8205	0	0	3
14	24	0	0.149946722	293.261262	293.220618	293.1985	293.261262	0.0221181548	0	0	0	56.9557	0	0	3
15	26	0	0.160657202	293.269484	293.223876	293.1985	293.269484	0.0253758519	0	0	0	57.7115	0	0	3
16	27	0	0.171367682	293.282115	293.227516	293.1985	293.282115	0.0290157882	0	0	0	58.9248	0	0	3
17	28	0	0.182078163	293.292953	293.231365	293.1985	293.292953	0.0328650521	0	0	0	59.62	0	0	3
18	30	0	0.192788643	293.301304	293.23525	293.1985	293.301304	0.0367505583	0	0	0	60.1537	0	0	3
19	31	0	0.203499123	293.307059	293.23903	293.1985	293.307059	0.040529944	0	0	0	60.6973	0	0	3
20	32	0	0.214209603	293.310603	293.242609	293.1985	293.310603	0.0441085933	0	0	0	61.3007	0	0	3
21	34	0	0.224920083	293.31132	293.24588	293.1985	293.31132	0.0473805464	0	0	0	61.5879	0	0	3
22	35	0	0.235630563	293.313294	293.248945	293.1985	293.313294	0.0504448055	0	0	0	61.6505	0	0	3
23	37	0	0.246341043	293.319366	293.252007	293.1985	293.319366	0.0535066098	0	0	0	61.5164	0	0	3
24	38	0	0.257051524	293.328891	293.25521	293.1985	293.328891	0.05671013	0	0	0	61.4008	0	0	3
25	39	0	0.267762004	293.341624	293.258667	293.1985	293.341624	0.0601666866	0	0	0	61.3228	0	0	3
26	41	0	0.278472484	293.37138	293.263002	293.1985	293.37138	0.0645018024	0	0	0	62.8019	0	0	3
27	42	0	0.289182964	293.405923	293.268295	293.1985	293.405923	0.0697951939	0	0	0	63.0417	0	0	3
28	43	0	0.299893444	293.441724	293.274489	293.1985	293.441724	0.0759890711	0	0	0	63.2042	0	0	3
29	45	0	0.310603924	293.47617	293.281444	293.1985	293.47617	0.0829435953	0	0	0	63.3078	0	0	3
30	46	0	0.321314405	293.50625	293.288937	293.1985	293.50625	0.0904371403	0	0	0	63.4661	0	0	3
31	47	0	0.332024885	293.537036	293.29694	293.1985	293.537036	0.0984403254	0	0	0	63.9461	0	0	3
32	49	0	0.342735365	293.549858	293.304844	293.1985	293.549858	0.106344004	0	0	0	63.8344	0	0	3
33	50	0	0.353445845	293.552542	293.31235	293.1985	293.552542	0.113850017	0	0	0	63.7068	0	0	3
34	51	0	0.364156325	293.55266	293.319418	293.1985	293.55266	0.120917948	0	0	0	63.55	0	0	3
35	53	0	0.374866805	293.556079	293.32618	293.1985	293.556079	0.127679705	0	0	0	63.079	0	0	3
36	54	0	0.385577285	293.568488	293.33291	293.1985	293.568488	0.134410496	0	0	0	62.5336	0	0	3
37	56	0	0.396287766	293.588897	293.339829	293.1985	293.588897	0.141329053	0	0	0	62.1282	0	0	3
38	57	0	0.406998246	293.612102	293.346994	293.1985	293.612102	0.148494145	0	0	0	61.7327	0	0	3
39	58	0	0.417708726	293.635658	293.354396	293.1985	293.635658	0.155895784	0	0	0	61.3689	0	0	3
40	60	0	0.428419206	293.656972	293.36196	293.1985	293.656972	0.163460183	0	0	0	61.0218	0	0	3
41	61	0	0.439129686	293.682753	293.369784	293.1985	293.682753	0.171284395	0	0	0	60.6095	0	0	3
42	63	0	0.449840166	293.705111	293.377768	293.1985	293.705111	0.179268362	0	0	0	60.3468	0	0	3
43	64	0	0.460550647	293.725998	293.385867	293.1985	293.725998	0.187366738	0	0	0	60.0982	0	0	3
44	66	0	0.471261127	293.746451	293.394062	293.1985	293.746451	0.195561836	0	0	0	59.881	0	0	3
45	67	0	0.481971607	293.767586	293.402362	293.1985	293.767586	0.203862376	0	0	0	59.6958	0	0	3
46	69	0	0.492682087	293.789313	293.410774	293.1985	293.789313	0.212274338	0	0	0	59.2836	0	0	3
47	70	0	0.503392567	293.811439	293.419299	293.1985	293.811439	0.220799126	0	0	0	59.168	0	0	3
