Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	10	0	0.0107777809	0	0	0	0	0	0	0	0	0	0	0	3
2	12	0	0.0215555617	0	0	0	0	0	0	0	0	0	0	0	3
3	14	0	0.0323333426	0	0	0	0	0	0	0	0	0	0	0	3
4	16	0	0.0431111234	0	0	0	0	0	0	0	0	0	0	0	3
5	17	0	0.0538889043	0	0	0	0	0	0	0	0	0	0	0	3
6	19	0	0.0646666851	0	0	0	0	0	0	0	0	0	0	0	3
7	21	0	0.075444466	0	0	0	0	0	0	0	0	0	0	0	3
8	23	0	0.0862222468	0	0	0	0	0	0	0	0	0	0	0	3
9	25	0	0.0970000277	0	0	0	0	0	0	0	0	0	0	0	3
10	28	0	0.107777809	0	0	0	0	0	0	0	0	0	0	0	3
11	30	0	0.118555589	0	0	0	0	0	0	0	0	0	0	0	3
12	32	0	0.12933337	0	0	0	0	0	0	0	0	0	0	0	3
13	33	0	0.140111151	0	0	0	0	0	0	0	0	0	0	0	3
14	35	0	0.150888932	0	0	0	0	0	0	0	0	0	0	0	3
15	37	0	0.161666713	0	0	0	0	0	0	0	0	0	0	0	3
16	39	0	0.172444494	0	0	0	0	0	0	0	0	0	0	0	3
17	41	0	0.183222275	0	0	0	0	0	0	0	0	0	0	0	3
18	42	0	0.194000055	0	0	0	0	0	0	0	0	0	0	0	3
19	44	0	0.204777836	0	0	0	0	0	0	0	0	0	0	0	3
20	46	0	0.215555617	0	0	0	0	0	0	0	0	0	0	0	3
21	48	0	0.226333398	0	0	0	0	0	0	0	0	0	0	0	3
22	50	0	0.237111179	0	0	0	0	0	0	0	0	0	0	0	3
23	52	0	0.24788896	0	0	0	0	0	0	0	0	0	0	0	3
24	54	0	0.258666741	0	0	0	0	0	0	0	0	0	0	0	3
25	56	0	0.269444521	0	0	0	0	0	0	0	0	0	0	0	3
26	58	0	0.280222302	0	0	0	0	0	0	0	0	0	0	0	3
27	60	0	0.291000083	0	0	0	0	0	0	0	0	0	0	0	3
28	62	0	0.301777864	0	0	0	0	0	0	0	0	0	0	0	3
29	64	0	0.312555645	0	0	0	0	0	0	0	0	0	0	0	3
30	66	0	0.323333426	0	0	0	0	0	0	0	0	0	0	0	3
31	68	0	0.334111206	0	0	0	0	0	0	0	0	0	0	0	3
32	70	0	0.344888987	0	0	0	0	0	0	0	0	0	0	0	3
33	72	0	0.355666768	0	0	0	0	0	0	0	0	0	0	0	3
34	74	0	0.366444549	0	0	0	0	0	0	0	0	0	0	0	3
35	75	0	0.37722233	0	0	0	0	0	0	0	0	0	0	0	3
36	78	0	0.388000111	0	0	0	0	0	0	0	0	0	0	0	3
37	80	0	0.398777892	0	0	0	0	0	0	0	0	0	0	0	3
38	82	0	0.409555672	0	0	0	0	0	0	0	0	0	0	0	3
39	84	0	0.420333453	0	0	0	0	0	0	0	0	0	0	0	3
40	86	0	0.431111234	0	0	0	0	0	0	0	0	0	0	0	3
41	88	0	0.441889015	0	0	0	0	0	0	0	0	0	0	0	3
42	89	0	0.452666796	0	0	0	0	0	0	0	0	0	0	0	3
43	91	0	0.463444577	0	0	0	0	0	0	0	0	0	0	0	3
44	93	0	0.474222358	0	0	0	0	0	0	0	0	0	0	0	3
45	95	0	0.485000138	0	0	0	0	0	0	0	0	0	0	0	3
46	97	0	0.495777919	0	0	0	0	0	0	0	0	0	0	0	3
47	99	0	0.5065557	0	0	0	0	0	0	0	0	0	0	0	3
48	101	0	0.517333481	0	0	0	0	0	0	0	0	0	0	0	3
49	102	0	0.528111262	0	0	0	0	0	0	0	0	0	0	0	3
50	104	0	0.538889043	0	0	0	0	0	0	0	0	0	0	0	3
51	106	0	0.549666824	0	0	0	0	0	0	0	0	0	0	0	3
52	108	0	0.560444604	0	0	0	0	0	0	0	0	0	0	0	3
53	109	0	0.571222385	0	0	0	0	0	0	0	0	0	0	0	3
54	111	0	0.582000166	0	0	0	0	0	0	0	0	0	0	0	3
55	113	0	0.592777947	0	0	0	0	0	0	0	0	0	0	0	3
56	115	0	0.603555728	0	0	0	0	0	0	0	0	0	0	0	3
57	117	0	0.614333509	0	0	0	0	0	0	0	0	0	0	0	3
58	119	0	0.62511129	0	0	0	0	0	0	0	0	0	0	0	3
59	120	0	0.63588907	0	0	0	0	0	0	0	0	0	0	0	3
60	122	0	0.646666851	0	0	0	0	0	0	0	0	0	0	0	3
61	124	0	0.657444632	0	0	0	0	0	0	0	0	0	0	0	3
62	126	0	0.668222413	0	0	0	0	0	0	0	0	0	0	0	3
