Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.47932	293.47932	293.47932	293.47932	0	0	0	0	49.2513	0	0	3
2	1	0	0.05	293.515629	293.497474	293.47932	293.515629	0.0181543353	0	0	0	51.7908	0	0	3
3	2	0	0.075	293.54246	293.51247	293.47932	293.54246	0.0331496306	0	0	0	52.0587	0	0	3
4	2	0	0.1	293.563518	293.525232	293.47932	293.563518	0.0459116283	0	0	0	58.904	0	0	3
5	2	0	0.125	293.578791	293.535943	293.47932	293.578791	0.0566234136	0	0	0	59.903	0	0	3
6	2	0	0.15	293.594113	293.545638	293.47932	293.594113	0.0663183963	0	0	0	66.0466	0	0	3
7	2	0	0.175	293.608878	293.554673	293.47932	293.608878	0.0753525822	0	0	0	61.6042	0	0	3
8	3	0	0.2	293.662743	293.568181	293.47932	293.662743	0.0888613366	0	0	0	66.3103	0	0	3
9	3	0	0.225	293.691399	293.581872	293.47932	293.691399	0.102552197	0	0	0	71.522	0	0	3
10	3	0	0.25	293.722408	293.595926	293.47932	293.722408	0.116605789	0	0	0	76.3329	0	0	3
11	3	0	0.275	293.722875	293.607467	293.47932	293.722875	0.128146582	0	0	0	81.4459	0	0	3
12	3	0	0.3	293.723419	293.617129	293.47932	293.723419	0.137809235	0	0	0	84.4309	0	0	3
13	3	0	0.325	293.729363	293.625763	293.47932	293.729363	0.146442617	0	0	0	83.0425	0	0	3
14	4	0	0.35	293.756581	293.635107	293.47932	293.756581	0.155786761	0	0	0	85.9447	0	0	3
15	4	0	0.375	293.786976	293.645231	293.47932	293.786976	0.165911355	0	0	0	86.864	0	0	3
16	4	0	0.4	293.799107	293.654849	293.47932	293.799107	0.175528569	0	0	0	86.8033	0	0	3
17	4	0	0.425	293.827281	293.664992	293.47932	293.827281	0.185671669	0	0	0	87.0869	0	0	3
18	4	0	0.45	293.841985	293.674825	293.47932	293.841985	0.195504642	0	0	0	86.7464	0	0	3
19	4	0	0.475	293.878752	293.685558	293.47932	293.878752	0.206237642	0	0	0	90.1428	0	0	3
20	5	0	0.5	293.899819	293.696271	293.47932	293.899819	0.216950723	0	0	0	92.8287	0	0	3
21	5	0	0.525	293.949893	293.719799	293.515629	293.949893	0.222325047	0	0	0	94.6467	0	0	3
22	5	0	0.55	293.987013	293.743369	293.54246	293.987013	0.230898964	0	0	0	96.1461	0	0	3
23	5	0	0.575	294.037855	293.768138	293.563518	294.037855	0.242906712	0	0	0	95.6668	0	0	3
24	5	0	0.6	294.086859	293.794305	293.578791	294.086859	0.258361999	0	0	0	94.6047	0	0	3
25	6	0	0.625	294.146271	293.822679	293.594113	294.146271	0.277041017	0	0	0	95.7877	0	0	3
26	6	0	0.65	294.223106	293.854129	293.608878	294.223106	0.299456448	0	0	0	96.3647	0	0	3
27	6	0	0.675	294.314106	293.889391	293.662743	294.314106	0.32120912	0	0	0	96.6737	0	0	3
28	6	0	0.7	294.396051	293.926056	293.691399	294.396051	0.344183673	0	0	0	95.9587	0	0	3
29	6	0	0.725	294.486776	293.965825	293.722408	294.486776	0.369898899	0	0	0	96.4973	0	0	3
30	6	0	0.75	294.579247	294.008667	293.722875	294.579247	0.401200022	0	0	0	97.1442	0	0	3
31	7	0	0.775	294.72999	294.059022	293.723419	294.72999	0.441893156	0	0	0	97.3072	0	0	3
32	7	0	0.8	294.886852	294.117194	293.729363	294.886852	0.491431453	0	0	0	97.785	0	0	3
33	7	0	0.825	295.059873	294.18372	293.756581	295.059873	0.548612788	0	0	0	98.0921	0	0	3
34	7	0	0.85	295.231004	294.257441	293.786976	295.231004	0.612209349	0	0	0	98.2985	0	0	3
35	7	0	0.875	295.387247	294.337454	293.799107	295.387247	0.682605716	0	0	0	97.9624	0	0	3
