Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.0107104802	766.0431	766.0431	766.0431	766.0431	0	0	0	0	0	0	0	3
2	8	0	0.0214209603	1131.06671	948.554906	766.0431	1131.06671	182.511807	0	0	0	0	0	0	3
3	9	0	0.0321314405	1592.60396	1163.23792	766.0431	1592.60396	397.194824	0	0	0	0	0	0	3
4	11	0	0.0428419206	2055.96276	1386.41913	766.0431	2055.96276	620.376033	0	0	0	0	0	0	3
5	12	0	0.0535524008	2499.74768	1609.08484	766.0431	2499.74768	843.041742	0	0	0	0	0	0	3
6	14	0	0.0642628809	2878.76514	1820.69823	766.0431	2878.76514	1054.65513	0	0	0	0	0	0	3
7	15	0	0.0749733611	3053.93558	1996.87499	766.0431	3053.93558	1230.83189	0	0	0	0	0	0	3
8	16	0	0.0856838412	2828.64869	2100.8467	766.0431	3053.93558	1334.8036	0	0	0	0	0	0	3
9	18	0	0.0963943214	2538.59031	2149.48488	766.0431	3053.93558	1383.44178	0	0	0	0	0	0	3
10	19	0	0.107104802	2296.5327	2164.18966	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
11	20	0	0.117815282	2138.75736	2161.87764	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
12	22	0	0.128525762	2027.76829	2150.70186	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
13	23	0	0.139236242	1951.0321	2135.34264	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
14	24	0	0.149946722	1884.20889	2117.40452	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
15	26	0	0.160657202	1842.09913	2099.05083	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
16	27	0	0.171367682	1810.02073	2080.98644	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
17	28	0	0.182078163	1785.73332	2063.61861	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
18	30	0	0.192788643	1758.55714	2046.67075	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
19	31	0	0.203499123	1736.67672	2030.35528	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
20	32	0	0.214209603	1715.85767	2014.6304	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
21	34	0	0.224920083	1699.24592	1999.61209	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
22	35	0	0.235630563	1677.37227	1984.96483	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
23	37	0	0.246341043	1656.44804	1970.68149	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
24	38	0	0.257051524	1636.95212	1956.7761	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
25	39	0	0.267762004	1619.19358	1943.2728	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
26	41	0	0.278472484	1602.36563	1930.16098	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
27	42	0	0.289182964	1579.87285	1917.18735	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
28	43	0	0.299893444	1558.53312	1904.37827	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
29	45	0	0.310603924	1538.71306	1891.76912	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
30	46	0	0.321314405	1521.25384	1879.41861	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
31	47	0	0.332024885	1514.55275	1867.64875	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
32	49	0	0.342735365	1500.60668	1856.17868	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
33	50	0	0.353445845	1491.00688	1845.11287	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
34	51	0	0.364156325	1483.55672	1834.47887	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
35	53	0	0.374866805	1476.83049	1824.26034	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
36	54	0	0.385577285	1480.01963	1814.6981	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
37	56	0	0.396287766	1465.17748	1805.2516	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
38	57	0	0.406998246	1451.26373	1795.93613	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
39	58	0	0.417708726	1439.71429	1786.80223	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
40	60	0	0.428419206	1430.58112	1777.8967	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
41	61	0	0.439129686	1431.92489	1769.45837	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
42	63	0	0.449840166	1419.83986	1761.13412	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
43	64	0	0.460550647	1410.58113	1752.98172	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
44	66	0	0.471261127	1404.24684	1745.05593	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
45	67	0	0.481971607	1400.23982	1737.39335	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
46	69	0	0.492682087	1411.72911	1730.31369	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
47	70	0	0.503392567	1410.13505	1723.50138	766.0431	3053.93558	1398.14656	0	0	0	0	0	0	3
48	72	0	0.514103047	1409.77094	1737.19772	1131.06671	3053.93558	1215.63476	0	0	0	0	0	0	3
49	73	0	0.524813527	1410.32727	1743.13943	1400.23982	3053.93558	1000.95174	0	0	0	0	0	0	3
50	74	0	0.535524008	1412.12405	1739.29943	1400.23982	3053.93558	777.770529	0	0	0	0	0	0	3
51	76	0	0.546234488	1419.10619	1725.74929	1400.23982	3053.93558	555.104821	0	0	0	0	0	0	3
52	77	0	0.556944968	1422.40378	1702.82708	1400.23982	3053.93558	461.36258	0	0	0	0	0	0	3
