Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0105820968	-0.0463165659	-0.0463165659	-0.0463165659	-0.0463165659	0	0	0	0	0	0	0	3
2	10	0	0.0211641937	-0.0719929626	-0.0591547643	-0.0719929626	-0.0463165659	0.0128381983	0	0	0	0	0	0	3
3	12	0	0.0317462905	-0.0957934487	-0.0713676591	-0.0957934487	-0.0463165659	0.0250510932	0	0	0	0	0	0	3
4	13	0	0.0423283873	-0.114136534	-0.0820598779	-0.114136534	-0.0463165659	0.035743312	0	0	0	0	0	0	3
5	15	0	0.0529104842	-0.126993917	-0.0910466857	-0.126993917	-0.0463165659	0.0447301198	0	0	0	0	0	0	3
6	17	0	0.063492581	-0.133942828	-0.0981960427	-0.133942828	-0.0463165659	0.0518794768	0	0	0	0	0	0	3
7	19	0	0.0740746778	-0.130995477	-0.102881676	-0.133942828	-0.0463165659	0.0565651103	0	0	0	0	0	0	3
8	21	0	0.0846567747	-0.124289941	-0.105557709	-0.133942828	-0.0463165659	0.0592411434	0	0	0	0	0	0	3
9	23	0	0.0952388715	-0.115674658	-0.106681815	-0.133942828	-0.0463165659	0.0603652488	0	0	0	0	0	0	3
10	25	0	0.105820968	-0.105423333	-0.106555967	-0.133942828	-0.0463165659	0.0603652488	0	0	0	0	0	0	3
11	27	0	0.116403065	-0.0937912619	-0.105395539	-0.133942828	-0.0463165659	0.0603652488	0	0	0	0	0	0	3
12	28	0	0.126985162	-0.0871070497	-0.103871498	-0.133942828	-0.0463165659	0.0603652488	0	0	0	0	0	0	3
13	30	0	0.137567259	-0.0802720768	-0.102056158	-0.133942828	-0.0463165659	0.0603652488	0	0	0	0	0	0	3
14	31	0	0.148149356	-0.0747770354	-0.100107649	-0.133942828	-0.0463165659	0.0603652488	0	0	0	0	0	0	3
15	33	0	0.158731452	-0.0721335345	-0.0982427082	-0.133942828	-0.0463165659	0.0603652488	0	0	0	0	0	0	3
16	35	0	0.169313549	-0.0692939744	-0.0964334124	-0.133942828	-0.0463165659	0.0603652488	0	0	0	0	0	0	3
17	36	0	0.179895646	-0.0666531439	-0.0946816319	-0.133942828	-0.0463165659	0.0603652488	0	0	0	0	0	0	3
18	38	0	0.190477743	-0.0633955226	-0.0929435147	-0.133942828	-0.0463165659	0.0603652488	0	0	0	0	0	0	3
19	39	0	0.20105984	-0.0614442299	-0.0912856576	-0.133942828	-0.0463165659	0.0603652488	0	0	0	0	0	0	3
20	41	0	0.211641937	-0.0597662691	-0.0897096882	-0.133942828	-0.0463165659	0.0603652488	0	0	0	0	0	0	3
21	43	0	0.222224033	-0.0577658292	-0.088188552	-0.133942828	-0.0463165659	0.0603652488	0	0	0	0	0	0	3
22	44	0	0.23280613	-0.0559252201	-0.086722037	-0.133942828	-0.0463165659	0.0603652488	0	0	0	0	0	0	3
23	46	0	0.243388227	-0.0540826885	-0.0853029348	-0.133942828	-0.0463165659	0.0603652488	0	0	0	0	0	0	3
