Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0105820968	0	0	0	0	0	0	0	0	0	0	0	3
2	10	0	0.0211641937	0	0	0	0	0	0	0	0	0	0	0	3
3	12	0	0.0317462905	0	0	0	0	0	0	0	0	0	0	0	3
4	13	0	0.0423283873	0	0	0	0	0	0	0	0	0	0	0	3
5	15	0	0.0529104842	0	0	0	0	0	0	0	0	0	0	0	3
6	17	0	0.063492581	0	0	0	0	0	0	0	0	0	0	0	3
7	19	0	0.0740746778	0	0	0	0	0	0	0	0	0	0	0	3
8	21	0	0.0846567747	0	0	0	0	0	0	0	0	0	0	0	3
9	23	0	0.0952388715	0	0	0	0	0	0	0	0	0	0	0	3
10	25	0	0.105820968	0	0	0	0	0	0	0	0	0	0	0	3
11	27	0	0.116403065	0	0	0	0	0	0	0	0	0	0	0	3
12	28	0	0.126985162	0	0	0	0	0	0	0	0	0	0	0	3
13	30	0	0.137567259	0	0	0	0	0	0	0	0	0	0	0	3
14	31	0	0.148149356	0	0	0	0	0	0	0	0	0	0	0	3
15	33	0	0.158731452	0	0	0	0	0	0	0	0	0	0	0	3
16	35	0	0.169313549	0	0	0	0	0	0	0	0	0	0	0	3
17	36	0	0.179895646	0	0	0	0	0	0	0	0	0	0	0	3
18	38	0	0.190477743	0	0	0	0	0	0	0	0	0	0	0	3
19	39	0	0.20105984	0	0	0	0	0	0	0	0	0	0	0	3
20	41	0	0.211641937	0	0	0	0	0	0	0	0	0	0	0	3
21	43	0	0.222224033	0	0	0	0	0	0	0	0	0	0	0	3
22	44	0	0.23280613	0	0	0	0	0	0	0	0	0	0	0	3
23	46	0	0.243388227	0	0	0	0	0	0	0	0	0	0	0	3
24	47	0	0.253970324	0	0	0	0	0	0	0	0	0	0	0	3
25	49	0	0.264552421	0	0	0	0	0	0	0	0	0	0	0	3
26	51	0	0.275134518	0	0	0	0	0	0	0	0	0	0	0	3
27	52	0	0.285716614	0	0	0	0	0	0	0	0	0	0	0	3
28	54	0	0.296298711	0	0	0	0	0	0	0	0	0	0	0	3
29	56	0	0.306880808	0	0	0	0	0	0	0	0	0	0	0	3
30	57	0	0.317462905	0	0	0	0	0	0	0	0	0	0	0	3
31	59	0	0.328045002	0	0	0	0	0	0	0	0	0	0	0	3
32	61	0	0.338627099	0	0	0	0	0	0	0	0	0	0	0	3
33	62	0	0.349209195	0	0	0	0	0	0	0	0	0	0	0	3
34	64	0	0.359791292	0	0	0	0	0	0	0	0	0	0	0	3
35	66	0	0.370373389	0	0	0	0	0	0	0	0	0	0	0	3
36	67	0	0.380955486	0	0	0	0	0	0	0	0	0	0	0	3
37	69	0	0.391537583	0	0	0	0	0	0	0	0	0	0	0	3
38	71	0	0.40211968	0	0	0	0	0	0	0	0	0	0	0	3
39	73	0	0.412701776	0	0	0	0	0	0	0	0	0	0	0	3
40	74	0	0.423283873	0	0	0	0	0	0	0	0	0	0	0	3
41	76	0	0.43386597	0	0	0	0	0	0	0	0	0	0	0	3
42	77	0	0.444448067	0	0	0	0	0	0	0	0	0	0	0	3
43	79	0	0.455030164	0	0	0	0	0	0	0	0	0	0	0	3
44	81	0	0.465612261	0	0	0	0	0	0	0	0	0	0	0	3
45	82	0	0.476194357	0	0	0	0	0	0	0	0	0	0	0	3
46	84	0	0.486776454	0	0	0	0	0	0	0	0	0	0	0	3
47	86	0	0.497358551	0	0	0	0	0	0	0	0	0	0	0	3
48	87	0	0.507940648	0	0	0	0	0	0	0	0	0	0	0	3
49	89	0	0.518522745	0	0	0	0	0	0	0	0	0	0	0	3
50	90	0	0.529104842	0	0	0	0	0	0	0	0	0	0	0	3
51	92	0	0.539686938	0	0	0	0	0	0	0	0	0	0	0	3
52	93	0	0.550269035	0	0	0	0	0	0	0	0	0	0	0	3
53	95	0	0.560851132	0	0	0	0	0	0	0	0	0	0	0	3
54	97	0	0.571433229	0	0	0	0	0	0	0	0	0	0	0	3
55	98	0	0.582015326	0	0	0	0	0	0	0	0	0	0	0	3
56	100	0	0.592597423	0	0	0	0	0	0	0	0	0	0	0	3
57	101	0	0.603179519	0	0	0	0	0	0	0	0	0	0	0	3
58	103	0	0.613761616	0	0	0	0	0	0	0	0	0	0	0	3
59	104	0	0.624343713	0	0	0	0	0	0	0	0	0	0	0	3
60	106	0	0.63492581	0	0	0	0	0	0	0	0	0	0	0	3
61	107	0	0.645507907	0	0	0	0	0	0	0	0	0	0	0	3
62	109	0	0.656090004	0	0	0	0	0	0	0	0	0	0	0	3
63	111	0	0.6666721	0	0	0	0	0	0	0	0	0	0	0	3
64	112	0	0.677254197	0	0	0	0	0	0	0	0	0	0	0	3
65	114	0	0.687836294	0	0	0	0	0	0	0	0	0	0	0	3
66	115	0	0.698418391	0	0	0	0	0	0	0	0	0	0	0	3
67	117	0	0.709000488	0	0	0	0	0	0	0	0	0	0	0	3
68	118	0	0.719582585	0	0	0	0	0	0	0	0	0	0	0	3
69	120	0	0.730164681	0	0	0	0	0	0	0	0	0	0	0	3
70	121	0	0.740746778	0	0	0	0	0	0	0	0	0	0	0	3
71	123	0	0.751328875	0	0	0	0	0	0	0	0	0	0	0	3
72	124	0	0.761910972	0	0	0	0	0	0	0	0	0	0	0	3
73	126	0	0.772493069	0	0	0	0	0	0	0	0	0	0	0	3
74	127	0	0.783075166	0	0	0	0	0	0	0	0	0	0	0	3
75	129	0	0.793657262	0	0	0	0	0	0	0	0	0	0	0	3
76	130	0	0.804239359	0	0	0	0	0	0	0	0	0	0	0	3
77	132	0	0.814821456	0	0	0	0	0	0	0	0	0	0	0	3
78	133	0	0.825403553	0	0	0	0	0	0	0	0	0	0	0	3
79	135	0	0.83598565	0	0	0	0	0	0	0	0	0	0	0	3
80	136	0	0.846567747	0	0	0	0	0	0	0	0	0	0	0	3
81	138	0	0.857149843	0	0	0	0	0	0	0	0	0	0	0	3
82	139	0	0.86773194	0	0	0	0	0	0	0	0	0	0	0	3
83	141	0	0.878314037	0	0	0	0	0	0	0	0	0	0	0	3
84	142	0	0.888896134	0	0	0	0	0	0	0	0	0	0	0	3
85	144	0	0.899478231	0	0	0	0	0	0	0	0	0	0	0	3
86	145	0	0.910060328	0	0	0	0	0	0	0	0	0	0	0	3
87	147	0	0.920642424	0	0	0	0	0	0	0	0	0	0	0	3
88	148	0	0.931224521	0	0	0	0	0	0	0	0	0	0	0	3
89	150	0	0.941806618	0	0	0	0	0	0	0	0	0	0	0	3
90	152	0	0.952388715	0	0	0	0	0	0	0	0	0	0	0	3
91	153	0	0.962970812	0	0	0	0	0	0	0	0	0	0	0	3
92	154	0	0.973552909	0	0	0	0	0	0	0	0	0	0	0	3
93	156	0	0.984135005	0	0	0	0	0	0	0	0	0	0	0	3
94	157	0	0.994717102	0	0	0	0	0	0	0	0	0	0	0	3
95	159	0	1.0052992	0	0	0	0	0	5e-06	0	0	0	0	0	3
