Iteration	CPUTime	PhysTime	Travels
1	8	0	0.0105820968
2	10	0	0.0211641937
3	12	0	0.0317462905
4	13	0	0.0423283873
5	15	0	0.0529104842
6	17	0	0.063492581
7	19	0	0.0740746778
8	21	0	0.0846567747
9	23	0	0.0952388715
10	25	0	0.105820968
11	27	0	0.116403065
12	28	0	0.126985162
13	30	0	0.137567259
14	31	0	0.148149356
15	33	0	0.158731452
16	35	0	0.169313549
17	36	0	0.179895646
18	38	0	0.190477743
19	39	0	0.20105984
20	41	0	0.211641937
21	43	0	0.222224033
22	44	0	0.23280613
23	46	0	0.243388227
24	47	0	0.253970324
25	49	0	0.264552421
26	51	0	0.275134518
27	52	0	0.285716614
28	54	0	0.296298711
29	56	0	0.306880808
30	57	0	0.317462905
31	59	0	0.328045002
32	61	0	0.338627099
33	62	0	0.349209195
34	64	0	0.359791292
35	66	0	0.370373389
36	67	0	0.380955486
37	69	0	0.391537583
38	71	0	0.40211968
39	73	0	0.412701776
40	74	0	0.423283873
41	76	0	0.43386597
42	77	0	0.444448067
43	79	0	0.455030164
44	81	0	0.465612261
45	82	0	0.476194357
46	84	0	0.486776454
47	86	0	0.497358551
48	87	0	0.507940648
49	89	0	0.518522745
50	90	0	0.529104842
51	92	0	0.539686938
52	93	0	0.550269035
53	95	0	0.560851132
54	97	0	0.571433229
55	98	0	0.582015326
56	100	0	0.592597423
57	101	0	0.603179519
58	103	0	0.613761616
59	104	0	0.624343713
60	106	0	0.63492581
61	107	0	0.645507907
62	109	0	0.656090004
63	111	0	0.6666721
64	112	0	0.677254197
65	114	0	0.687836294
66	115	0	0.698418391
67	117	0	0.709000488
68	118	0	0.719582585
69	120	0	0.730164681
70	121	0	0.740746778
71	123	0	0.751328875
72	124	0	0.761910972
73	126	0	0.772493069
74	127	0	0.783075166
75	129	0	0.793657262
76	130	0	0.804239359
77	132	0	0.814821456
78	133	0	0.825403553
79	135	0	0.83598565
80	136	0	0.846567747
81	138	0	0.857149843
82	139	0	0.86773194
83	141	0	0.878314037
84	142	0	0.888896134
85	144	0	0.899478231
86	145	0	0.910060328
87	147	0	0.920642424
88	148	0	0.931224521
89	150	0	0.941806618
90	152	0	0.952388715
91	153	0	0.962970812
92	154	0	0.973552909
93	156	0	0.984135005
94	157	0	0.994717102
95	159	0	1.0052992
