Iteration	CPUTime	PhysTime	Travels
1	6	0	0.0107787885
2	7	0	0.0215575771
3	9	0	0.0323363656
4	10	0	0.0431151542
5	11	0	0.0538939427
6	13	0	0.0646727312
7	14	0	0.0754515198
8	16	0	0.0862303083
9	17	0	0.0970090969
10	18	0	0.107787885
11	20	0	0.118566674
12	21	0	0.129345462
13	22	0	0.140124251
14	23	0	0.15090304
15	25	0	0.161681828
16	26	0	0.172460617
17	27	0	0.183239405
18	29	0	0.194018194
19	30	0	0.204796982
20	31	0	0.215575771
21	33	0	0.226354559
22	34	0	0.237133348
23	35	0	0.247912136
24	37	0	0.258690925
25	38	0	0.269469714
26	40	0	0.280248502
27	41	0	0.291027291
28	42	0	0.301806079
29	44	0	0.312584868
30	45	0	0.323363656
31	47	0	0.334142445
32	48	0	0.344921233
33	49	0	0.355700022
34	51	0	0.36647881
35	52	0	0.377257599
36	53	0	0.388036387
37	55	0	0.398815176
38	56	0	0.409593965
39	57	0	0.420372753
40	59	0	0.431151542
41	60	0	0.44193033
42	62	0	0.452709119
43	63	0	0.463487907
44	64	0	0.474266696
45	66	0	0.485045484
46	67	0	0.495824273
47	68	0	0.506603061
48	70	0	0.51738185
49	71	0	0.528160638
50	72	0	0.538939427
51	74	0	0.549718216
52	75	0	0.560497004
53	76	0	0.571275793
54	78	0	0.582054581
55	79	0	0.59283337
56	80	0	0.603612158
57	81	0	0.614390947
58	83	0	0.625169735
59	84	0	0.635948524
60	85	0	0.646727312
61	87	0	0.657506101
62	88	0	0.66828489
63	89	0	0.679063678
64	90	0	0.689842467
65	92	0	0.700621255
66	93	0	0.711400044
67	94	0	0.722178832
68	95	0	0.732957621
69	97	0	0.743736409
70	98	0	0.754515198
71	99	0	0.765293986
72	100	0	0.776072775
73	102	0	0.786851563
74	103	0	0.797630352
75	104	0	0.808409141
76	106	0	0.819187929
77	107	0	0.829966718
78	108	0	0.840745506
79	109	0	0.851524295
80	110	0	0.862303083
81	112	0	0.873081872
82	113	0	0.88386066
83	114	0	0.894639449
84	115	0	0.905418237
85	116	0	0.916197026
86	118	0	0.926975814
87	119	0	0.937754603
88	120	0	0.948533392
89	121	0	0.95931218
90	122	0	0.970090969
91	124	0	0.980869757
92	125	0	0.991648546
93	127	0	1.00242733
