Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	11	0	0.0108260664	-0.0467476634	-0.0467476634	-0.0467476634	-0.0467476634	0	0	0	0	0	0	0	3
2	13	0	0.0216521329	-0.0723652637	-0.0595564636	-0.0723652637	-0.0467476634	0.0128088002	0	0	0	0	0	0	3
3	16	0	0.0324781993	-0.0958338137	-0.0716489136	-0.0958338137	-0.0467476634	0.0249012502	0	0	0	0	0	0	3
4	18	0	0.0433042658	-0.114638115	-0.0823962139	-0.114638115	-0.0467476634	0.0356485505	0	0	0	0	0	0	3
5	20	0	0.0541303322	-0.128195416	-0.0915560544	-0.128195416	-0.0467476634	0.044808391	0	0	0	0	0	0	3
6	22	0	0.0649563987	-0.137778149	-0.0992597368	-0.137778149	-0.0467476634	0.0525120734	0	0	0	0	0	0	3
7	24	0	0.0757824651	-0.142827179	-0.105483657	-0.142827179	-0.0467476634	0.0587359938	0	0	0	0	0	0	3
8	26	0	0.0866085316	-0.138342824	-0.109591053	-0.142827179	-0.0467476634	0.0628433897	0	0	0	0	0	0	3
9	28	0	0.097434598	-0.128841707	-0.111730015	-0.142827179	-0.0467476634	0.0649823513	0	0	0	0	0	0	3
10	30	0	0.108260664	-0.11778227	-0.11233524	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
11	32	0	0.119086731	-0.104733898	-0.111644209	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
12	33	0	0.129912797	-0.0979506394	-0.110503078	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
13	35	0	0.140738864	-0.0918296222	-0.109066659	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
14	37	0	0.15156493	-0.0867424831	-0.107472075	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
15	39	0	0.162390997	-0.0825212477	-0.105808686	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
16	41	0	0.173217063	-0.0789357288	-0.104129126	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
17	43	0	0.18404313	-0.0750311552	-0.102417481	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
18	45	0	0.194869196	-0.0712708325	-0.100687112	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
19	47	0	0.205695262	-0.0677405002	-0.0989530794	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
20	49	0	0.216521329	-0.0651369783	-0.0972622744	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
21	51	0	0.227347395	-0.0623005407	-0.0955974299	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
22	54	0	0.238173462	-0.0600896709	-0.0939834409	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
23	56	0	0.248999528	-0.0579783389	-0.0924180016	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
24	57	0	0.259825595	-0.0560995477	-0.0909047327	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
25	59	0	0.270651661	-0.0543688036	-0.0894432956	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
26	61	0	0.281477728	-0.0525937066	-0.0880260037	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
27	63	0	0.292303794	-0.0506122823	-0.0866403103	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
28	65	0	0.30312986	-0.0487170852	-0.0852859094	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
29	67	0	0.313955927	-0.0471139403	-0.0839696346	-0.142827179	-0.0467476634	0.0655875768	0	0	0	0	0	0	3
30	69	0	0.324781993	-0.045846793	-0.0826988732	-0.142827179	-0.045846793	0.0655875768	0	0	0	0	0	0	3
31	71	0	0.33560806	-0.0449470962	-0.081481074	-0.142827179	-0.0449470962	0.0655875768	0	0	0	0	0	0	3
32	73	0	0.346434126	-0.0445638769	-0.0803274116	-0.142827179	-0.0445638769	0.0655875768	0	0	0	0	0	0	3
33	75	0	0.357260193	-0.0445525041	-0.0792433234	-0.142827179	-0.0445525041	0.0655875768	0	0	0	0	0	0	3
34	77	0	0.368086259	-0.0447084952	-0.0782275932	-0.142827179	-0.0445525041	0.0655875768	0	0	0	0	0	0	3
35	79	0	0.378912326	-0.0449101968	-0.0772756676	-0.142827179	-0.0445525041	0.0655875768	0	0	0	0	0	0	3
36	81	0	0.389738392	-0.0452475022	-0.0763859963	-0.142827179	-0.0445525041	0.0655875768	0	0	0	0	0	0	3
37	83	0	0.400564458	-0.045257872	-0.0755446957	-0.142827179	-0.0445525041	0.0655875768	0	0	0	0	0	0	3
38	85	0	0.411390525	-0.0452290155	-0.0747469146	-0.142827179	-0.0445525041	0.0655875768	0	0	0	0	0	0	3
39	87	0	0.422216591	-0.0452312233	-0.073990102	-0.142827179	-0.0445525041	0.0655875768	0	0	0	0	0	0	3
40	89	0	0.433042658	-0.0452926725	-0.0732726663	-0.142827179	-0.0445525041	0.0655875768	0	0	0	0	0	0	3
41	92	0	0.443868724	-0.04569853	-0.0726001264	-0.142827179	-0.0445525041	0.0655875768	0	0	0	0	0	0	3
42	94	0	0.454694791	-0.0458348521	-0.0719628579	-0.142827179	-0.0445525041	0.0655875768	0	0	0	0	0	0	3
43	96	0	0.465520857	-0.0459829974	-0.0713586751	-0.142827179	-0.0445525041	0.0655875768	0	0	0	0	0	0	3
44	98	0	0.476346924	-0.0461166233	-0.0707849921	-0.142827179	-0.0445525041	0.0655875768	0	0	0	0	0	0	3
45	99	0	0.48717299	-0.0462181242	-0.0702390617	-0.142827179	-0.0445525041	0.0655875768	0	0	0	0	0	0	3
46	102	0	0.497999056	-0.0466073624	-0.0697253291	-0.142827179	-0.0445525041	0.0655875768	0	0	0	0	0	0	3
47	104	0	0.508825123	-0.0466555847	-0.0692344835	-0.142827179	-0.0445525041	0.0655875768	0	0	0	0	0	0	3
48	106	0	0.519651189	-0.0466746321	-0.0692329297	-0.142827179	-0.0445525041	0.0527787766	0	0	0	0	0	0	3
49	107	0	0.530477256	-0.0466715568	-0.068686255	-0.142827179	-0.0445525041	0.0436489851	0	0	0	0	0	0	3
50	109	0	0.541303322	-0.0466737305	-0.0676402958	-0.142827179	-0.0445525041	0.0446949443	0	0	0	0	0	0	3
51	111	0	0.552129389	-0.0468512764	-0.0661980227	-0.142827179	-0.0445525041	0.0461372175	0	0	0	0	0	0	3
52	113	0	0.562955455	-0.0468483844	-0.0644672348	-0.142827179	-0.0445525041	0.0478680054	0	0	0	0	0	0	3
53	115	0	0.573781522	-0.0468474951	-0.06253254	-0.142827179	-0.0445525041	0.0498027002	0	0	0	0	0	0	3
54	117	0	0.584607588	-0.0468540637	-0.0604905588	-0.138342824	-0.0445525041	0.0518446814	0	0	0	0	0	0	3
55	119	0	0.595433654	-0.0468659702	-0.0585442428	-0.128841707	-0.0445525041	0.0537909974	0	0	0	0	0	0	3
56	121	0	0.606259721	-0.0469770763	-0.0568024421	-0.11778227	-0.0445525041	0.0555327981	0	0	0	0	0	0	3
57	122	0	0.617085787	-0.0469839978	-0.0552960959	-0.104733898	-0.0445525041	0.0563481132	0	0	0	0	0	0	3
58	124	0	0.627911854	-0.047001947	-0.0540677565	-0.0979506394	-0.0445525041	0.0533981354	0	0	0	0	0	0	3
59	126	0	0.63873792	-0.0470125956	-0.0529839683	-0.0918296222	-0.0445525041	0.0472771182	0	0	0	0	0	0	3
60	128	0	0.649563987	-0.0470286673	-0.0520307565	-0.0867424831	-0.0445525041	0.042189979	0	0	0	0	0	0	3
61	130	0	0.660390053	-0.0470921782	-0.051187133	-0.0825212477	-0.0445525041	0.0379687436	0	0	0	0	0	0	3
62	132	0	0.67121612	-0.0471011823	-0.0504335146	-0.0789357288	-0.0445525041	0.0343832247	0	0	0	0	0	0	3
63	134	0	0.682042186	-0.0471049709	-0.0497562644	-0.0750311552	-0.0445525041	0.0304786511	0	0	0	0	0	0	3
64	136	0	0.692868252	-0.047110468	-0.0491622073	-0.0712708325	-0.0445525041	0.0267183284	0	0	0	0	0	0	3
65	138	0	0.703694319	-0.0471096693	-0.04864814	-0.0677405002	-0.0445525041	0.0231879961	0	0	0	0	0	0	3
66	140	0	0.714520385	-0.0471418532	-0.0482098709	-0.0651369783	-0.0445525041	0.0205844742	0	0	0	0	0	0	3
67	141	0	0.725346452	-0.0471368375	-0.0478268892	-0.0623005407	-0.0445525041	0.0177480367	0	0	0	0	0	0	3
68	143	0	0.736172518	-0.0471353681	-0.0475042259	-0.0600896709	-0.0445525041	0.0155371668	0	0	0	0	0	0	3
69	145	0	0.746998585	-0.0471318644	-0.0472285279	-0.0579783389	-0.0445525041	0.0134258349	0	0	0	0	0	0	3
70	147	0	0.757824651	-0.0471418673	-0.0469979647	-0.0560995477	-0.0445525041	0.0115470437	0	0	0	0	0	0	3
71	149	0	0.768650718	-0.0471835413	-0.0468082624	-0.0543688036	-0.0445525041	0.00981629952	0	0	0	0	0	0	3
72	151	0	0.779476784	-0.0471881155	-0.0466554818	-0.0525937066	-0.0445525041	0.00804120252	0	0	0	0	0	0	3
73	152	0	0.79030285	-0.0471914348	-0.0465405399	-0.0506122823	-0.0445525041	0.0060597782	0	0	0	0	0	0	3
74	154	0	0.801128917	-0.0471896045	-0.0464677169	-0.0487170852	-0.0445525041	0.00416458115	0	0	0	0	0	0	3
75	156	0	0.811954983	-0.047191263	-0.0464352526	-0.0471914348	-0.0445525041	0.00263893072	0	0	0	0	0	0	3
76	158	0	0.82278105	-0.0471981205	-0.0464370437	-0.0471981205	-0.0445525041	0.00264561638	0	0	0	0	0	0	3
77	160	0	0.833607116	-0.047195117	-0.0464657314	-0.0471981205	-0.0445525041	0.00264561638	0	0	0	0	0	0	3
78	162	0	0.844433183	-0.0471966162	-0.0465135936	-0.0471981205	-0.0445525041	0.00264561638	0	0	0	0	0	0	3
79	164	0	0.855259249	-0.0471962418	-0.0465696013	-0.0471981205	-0.0445525041	0.00264561638	0	0	0	0	0	0	3
80	166	0	0.866085316	-0.0472097678	-0.0466261389	-0.0472097678	-0.0447084952	0.00250127257	0	0	0	0	0	0	3
81	167	0	0.876911382	-0.0472280697	-0.0466797468	-0.0472280697	-0.0449101968	0.00231787295	0	0	0	0	0	0	3
82	169	0	0.887737449	-0.0472330523	-0.0467291693	-0.0472330523	-0.0452290155	0.00200403681	0	0	0	0	0	0	3
83	171	0	0.898563515	-0.0472243933	-0.0467712308	-0.0472330523	-0.0452290155	0.00200403681	0	0	0	0	0	0	3
84	173	0	0.909389581	-0.0472336192	-0.046813268	-0.0472336192	-0.0452290155	0.00200460373	0	0	0	0	0	0	3
85	175	0	0.920215648	-0.0472362542	-0.0468559752	-0.0472362542	-0.0452312233	0.0020050309	0	0	0	0	0	0	3
86	177	0	0.931041714	-0.0472178871	-0.0468982446	-0.0472362542	-0.0452926725	0.00194358173	0	0	0	0	0	0	3
87	179	0	0.941867781	-0.0472254578	-0.0469393677	-0.0472362542	-0.04569853	0.00153772419	0	0	0	0	0	0	3
88	181	0	0.952693847	-0.0472207263	-0.0469717549	-0.0472362542	-0.0458348521	0.00140140206	0	0	0	0	0	0	3
89	183	0	0.963519914	-0.0472125069	-0.0470010667	-0.0472362542	-0.0459829974	0.00125325677	0	0	0	0	0	0	3
90	185	0	0.97434598	-0.047204803	-0.0470270625	-0.0472362542	-0.0461166233	0.00111963093	0	0	0	0	0	0	3
91	188	0	0.985172047	-0.0472085628	-0.0470502953	-0.0472362542	-0.0462181242	0.00101813002	0	0	0	0	0	0	3
92	189	0	0.995998113	-0.0472041065	-0.0470712736	-0.0472362542	-0.0466073624	0.000628891779	0	0	0	0	0	0	3
93	191	0	1.00682418	-0.0472013757	-0.0470839122	-0.0472362542	-0.0466555847	0.000580669541	0.00294824026	0	100	0	0	0	3
