Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	11	0	0.0108260664	-531.243953	-531.243953	-531.243953	-531.243953	0	0	0	0	0	0	0	3
2	13	0	0.0216521329	-822.364285	-676.804119	-822.364285	-531.243953	145.560166	0	0	0	0	0	0	3
3	16	0	0.0324781993	-1089.06265	-814.223628	-1089.06265	-531.243953	282.979675	0	0	0	0	0	0	3
4	18	0	0.0433042658	-1302.75614	-936.356755	-1302.75614	-531.243953	405.112802	0	0	0	0	0	0	3
5	20	0	0.0541303322	-1456.82232	-1040.44987	-1456.82232	-531.243953	509.205916	0	0	0	0	0	0	3
6	22	0	0.0649563987	-1565.72122	-1127.99509	-1565.72122	-531.243953	596.751141	0	0	0	0	0	0	3
7	24	0	0.0757824651	-1623.09878	-1198.72419	-1623.09878	-531.243953	667.480239	0	0	0	0	0	0	3
8	26	0	0.0866085316	-1572.13823	-1245.40095	-1623.09878	-531.243953	714.156993	0	0	0	0	0	0	3
9	28	0	0.097434598	-1464.16683	-1269.70827	-1623.09878	-531.243953	738.464313	0	0	0	0	0	0	3
10	30	0	0.108260664	-1338.48655	-1276.58609	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
11	32	0	0.119086731	-1190.20387	-1268.73317	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
12	33	0	0.129912797	-1113.11841	-1255.76527	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
13	35	0	0.140738864	-1043.55871	-1239.44169	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
14	37	0	0.15156493	-985.748083	-1221.32072	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
15	39	0	0.162390997	-937.777648	-1202.41784	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
16	41	0	0.173217063	-897.031542	-1183.3312	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
17	43	0	0.18404313	-852.659675	-1163.87993	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
18	45	0	0.194869196	-809.927086	-1144.21589	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
19	47	0	0.205695262	-769.808125	-1124.51022	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
20	49	0	0.216521329	-740.221507	-1105.29578	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
21	51	0	0.227347395	-707.988018	-1086.37636	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
22	54	0	0.238173462	-682.863527	-1068.03487	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
23	56	0	0.248999528	-658.870192	-1050.2451	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
24	57	0	0.259825595	-637.519468	-1033.0482	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
25	59	0	0.270651661	-617.851162	-1016.44032	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
26	61	0	0.281477728	-597.678826	-1000.33411	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
27	63	0	0.292303794	-575.161772	-984.586984	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
28	65	0	0.30312986	-553.62461	-969.195471	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
29	67	0	0.313955927	-535.406351	-954.237225	-1623.09878	-531.243953	745.342142	0	0	0	0	0	0	3
30	69	0	0.324781993	-521.006394	-939.796198	-1623.09878	-521.006394	745.342142	0	0	0	0	0	0	3
31	71	0	0.33560806	-510.782172	-925.957036	-1623.09878	-510.782172	745.342142	0	0	0	0	0	0	3
32	73	0	0.346434126	-506.427239	-912.846729	-1623.09878	-506.427239	745.342142	0	0	0	0	0	0	3
33	75	0	0.357260193	-506.297998	-900.527071	-1623.09878	-506.297998	745.342142	0	0	0	0	0	0	3
34	77	0	0.368086259	-508.070693	-888.984236	-1623.09878	-506.297998	745.342142	0	0	0	0	0	0	3
35	79	0	0.378912326	-510.362844	-878.166482	-1623.09878	-506.297998	745.342142	0	0	0	0	0	0	3
36	81	0	0.389738392	-514.196009	-868.056191	-1623.09878	-506.297998	745.342142	0	0	0	0	0	0	3
37	83	0	0.400564458	-514.313852	-858.495588	-1623.09878	-506.297998	745.342142	0	0	0	0	0	0	3
38	85	0	0.411390525	-513.985924	-849.429544	-1623.09878	-506.297998	745.342142	0	0	0	0	0	0	3
39	87	0	0.422216591	-514.011014	-840.829069	-1623.09878	-506.297998	745.342142	0	0	0	0	0	0	3
40	89	0	0.433042658	-514.709327	-832.676075	-1623.09878	-506.297998	745.342142	0	0	0	0	0	0	3
41	92	0	0.443868724	-519.321522	-825.033281	-1623.09878	-506.297998	745.342142	0	0	0	0	0	0	3
42	94	0	0.454694791	-520.870697	-817.791315	-1623.09878	-506.297998	745.342142	0	0	0	0	0	0	3
43	96	0	0.465520857	-522.554231	-810.925336	-1623.09878	-506.297998	745.342142	0	0	0	0	0	0	3
44	98	0	0.476346924	-524.072765	-804.40596	-1623.09878	-506.297998	745.342142	0	0	0	0	0	0	3
45	99	0	0.48717299	-525.226229	-798.201966	-1623.09878	-506.297998	745.342142	0	0	0	0	0	0	3
