Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	11	0	0.0108260664	0	0	0	0	0	0	0	0	0	0	0	3
2	13	0	0.0216521329	0	0	0	0	0	0	0	0	0	0	0	3
3	16	0	0.0324781993	0	0	0	0	0	0	0	0	0	0	0	3
4	18	0	0.0433042658	0	0	0	0	0	0	0	0	0	0	0	3
5	20	0	0.0541303322	0	0	0	0	0	0	0	0	0	0	0	3
6	22	0	0.0649563987	0	0	0	0	0	0	0	0	0	0	0	3
7	24	0	0.0757824651	0	0	0	0	0	0	0	0	0	0	0	3
8	26	0	0.0866085316	0	0	0	0	0	0	0	0	0	0	0	3
9	28	0	0.097434598	0	0	0	0	0	0	0	0	0	0	0	3
10	30	0	0.108260664	0	0	0	0	0	0	0	0	0	0	0	3
11	32	0	0.119086731	0	0	0	0	0	0	0	0	0	0	0	3
12	33	0	0.129912797	0	0	0	0	0	0	0	0	0	0	0	3
13	35	0	0.140738864	0	0	0	0	0	0	0	0	0	0	0	3
14	37	0	0.15156493	0	0	0	0	0	0	0	0	0	0	0	3
15	39	0	0.162390997	0	0	0	0	0	0	0	0	0	0	0	3
16	41	0	0.173217063	0	0	0	0	0	0	0	0	0	0	0	3
17	43	0	0.18404313	0	0	0	0	0	0	0	0	0	0	0	3
18	45	0	0.194869196	0	0	0	0	0	0	0	0	0	0	0	3
19	47	0	0.205695262	0	0	0	0	0	0	0	0	0	0	0	3
20	49	0	0.216521329	0	0	0	0	0	0	0	0	0	0	0	3
21	51	0	0.227347395	0	0	0	0	0	0	0	0	0	0	0	3
22	54	0	0.238173462	0	0	0	0	0	0	0	0	0	0	0	3
23	56	0	0.248999528	0	0	0	0	0	0	0	0	0	0	0	3
24	57	0	0.259825595	0	0	0	0	0	0	0	0	0	0	0	3
25	59	0	0.270651661	0	0	0	0	0	0	0	0	0	0	0	3
26	61	0	0.281477728	0	0	0	0	0	0	0	0	0	0	0	3
27	63	0	0.292303794	0	0	0	0	0	0	0	0	0	0	0	3
28	65	0	0.30312986	0	0	0	0	0	0	0	0	0	0	0	3
29	67	0	0.313955927	0	0	0	0	0	0	0	0	0	0	0	3
30	69	0	0.324781993	0	0	0	0	0	0	0	0	0	0	0	3
31	71	0	0.33560806	0	0	0	0	0	0	0	0	0	0	0	3
32	73	0	0.346434126	0	0	0	0	0	0	0	0	0	0	0	3
