Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0105820968	101326.85	101326.85	101326.85	101326.85	0	0	0	0	16224	0	0	3
2	10	0	0.0211641937	101328.22	101327.535	101326.85	101328.22	0.68485639	0	0	0	32241.2	0	0	3
3	12	0	0.0317462905	101329.048	101328.039	101326.85	101329.048	1.18923782	0	0	0	49820.2	0	0	3
4	13	0	0.0423283873	101329.353	101328.368	101326.85	101329.353	1.51755351	0	0	0	66971.5	0	0	3
5	15	0	0.0529104842	101329.263	101328.547	101326.85	101329.353	1.69673416	0	0	0	81328.5	0	0	3
6	17	0	0.063492581	101329.644	101328.73	101326.85	101329.644	1.87964089	0	0	0	92376.9	0	0	3
7	19	0	0.0740746778	101331.21	101329.084	101326.85	101331.21	2.23400286	0	0	0	93765.5	0	0	3
8	21	0	0.0846567747	101334.215	101329.725	101326.85	101334.215	2.87539589	0	0	0	90456.8	0	0	3
9	23	0	0.0952388715	101337.617	101330.602	101326.85	101337.617	3.75224458	0	0	0	85388.2	0	0	3
10	25	0	0.105820968	101340.938	101331.636	101326.85	101340.938	4.78582734	0	0	0	80820.7	0	0	3
11	27	0	0.116403065	101344.35	101332.792	101326.85	101344.35	5.94168509	0	0	0	79317.1	0	0	3
12	28	0	0.126985162	101346.278	101333.916	101326.85	101346.278	7.06551539	0	0	0	77176.8	0	0	3
13	30	0	0.137567259	101346.957	101334.919	101326.85	101346.957	8.06873394	0	0	0	74397	0	0	3
14	31	0	0.148149356	101346.377	101335.737	101326.85	101346.957	8.88721108	0	0	0	71049.1	0	0	3
15	33	0	0.158731452	101344.894	101336.348	101326.85	101346.957	9.49763097	0	0	0	67209.9	0	0	3
16	35	0	0.169313549	101342.987	101336.763	101326.85	101346.957	9.9125664	0	0	0	61452	0	0	3
17	36	0	0.179895646	101342.626	101337.107	101326.85	101346.957	10.2574445	0	0	0	55315.5	0	0	3
18	38	0	0.190477743	101343.848	101337.482	101326.85	101346.957	10.6319171	0	0	0	54419.8	0	0	3
19	39	0	0.20105984	101345.239	101337.89	101326.85	101346.957	11.0402055	0	0	0	53598	0	0	3
20	41	0	0.211641937	101344.712	101338.231	101326.85	101346.957	11.3812844	0	0	0	52959.8	0	0	3
21	43	0	0.222224033	101333.865	101338.023	101326.85	101346.957	11.3812844	0	0	0	52281.9	0	0	3
22	44	0	0.23280613	101314.381	101336.949	101314.381	101346.957	11.3812844	0	0	0	51640.9	0	0	3
23	46	0	0.243388227	101291.485	101334.972	101291.485	101346.957	11.3812844	0	0	0	50721.9	0	0	3
24	47	0	0.253970324	101271.019	101332.307	101271.019	101346.957	11.3812844	0	0	0	50030.2	0	0	3
