Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	11	0	0.0108260664	293.214433	293.214433	293.214433	293.214433	0	0	0	0	42.0351	0	0	3
2	13	0	0.0216521329	293.22844	293.221437	293.214433	293.22844	0.00700331543	0	0	0	43.2316	0	0	3
3	16	0	0.0324781993	293.241805	293.228226	293.214433	293.241805	0.0137926948	0	0	0	45.8505	0	0	3
4	18	0	0.0433042658	293.253876	293.234638	293.214433	293.253876	0.0202050459	0	0	0	46.8148	0	0	3
5	20	0	0.0541303322	293.264896	293.24069	293.214433	293.264896	0.0262566155	0	0	0	48.174	0	0	3
6	22	0	0.0649563987	293.280956	293.247401	293.214433	293.280956	0.03296758	0	0	0	51.8942	0	0	3
7	24	0	0.0757824651	293.298086	293.254642	293.214433	293.298086	0.0402083574	0	0	0	56.8123	0	0	3
8	26	0	0.0866085316	293.314405	293.262112	293.214433	293.314405	0.0476787078	0	0	0	60.2868	0	0	3
9	28	0	0.097434598	293.329346	293.269583	293.214433	293.329346	0.0551491056	0	0	0	62.2829	0	0	3
10	30	0	0.108260664	293.342837	293.276908	293.214433	293.342837	0.062474563	0	0	0	64.3715	0	0	3
11	32	0	0.119086731	293.359141	293.284384	293.214433	293.359141	0.0699502515	0	0	0	66.9103	0	0	3
12	33	0	0.129912797	293.373941	293.291847	293.214433	293.373941	0.0774133557	0	0	0	68.9515	0	0	3
13	35	0	0.140738864	293.387489	293.299204	293.214433	293.387489	0.0847704176	0	0	0	70.1568	0	0	3
14	37	0	0.15156493	293.399963	293.306401	293.214433	293.399963	0.091967492	0	0	0	71.1694	0	0	3
15	39	0	0.162390997	293.411367	293.313399	293.214433	293.411367	0.0989652447	0	0	0	71.9388	0	0	3
16	41	0	0.173217063	293.424871	293.320366	293.214433	293.424871	0.105932265	0	0	0	72.2751	0	0	3
17	43	0	0.18404313	293.43412	293.327057	293.214433	293.43412	0.112623713	0	0	0	72.0729	0	0	3
18	45	0	0.194869196	293.438735	293.333261	293.214433	293.438735	0.118828056	0	0	0	72.435	0	0	3
19	47	0	0.205695262	293.439291	293.338842	293.214433	293.439291	0.124408556	0	0	0	71.5118	0	0	3
20	49	0	0.216521329	293.437216	293.343761	293.214433	293.439291	0.129327256	0	0	0	71.8262	0	0	3
