Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0224360787
2	1	0	0.0448721575
3	1	0	0.0673082362
4	1	0	0.089744315
5	1	0	0.112180394
6	1	0	0.134616472
7	2	0	0.157052551
8	2	0	0.17948863
9	2	0	0.201924709
10	2	0	0.224360787
11	2	0	0.246796866
12	2	0	0.269232945
13	2	0	0.291669024
14	3	0	0.314105102
15	3	0	0.336541181
16	3	0	0.35897726
17	3	0	0.381413339
18	3	0	0.403849417
19	3	0	0.426285496
20	3	0	0.448721575
21	4	0	0.471157654
22	4	0	0.493593732
23	4	0	0.516029811
24	4	0	0.53846589
25	4	0	0.560901969
26	4	0	0.583338047
27	4	0	0.605774126
28	4	0	0.628210205
29	5	0	0.650646283
30	5	0	0.673082362
31	5	0	0.695518441
32	5	0	0.71795452
33	5	0	0.740390598
34	5	0	0.762826677
35	5	0	0.785262756
36	5	0	0.807698835
37	5	0	0.830134913
38	6	0	0.852570992
39	6	0	0.875007071
40	6	0	0.89744315
41	6	0	0.919879228
42	6	0	0.942315307
43	6	0	0.964751386
44	6	0	0.987187465
45	6	0	1.00962354
