Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0224360787	821079.891	821079.891	821079.891	821079.891	0	0	0	0	5.17551e+06	0	0	3
2	1	0	0.0448721575	767975.383	794527.637	767975.383	821079.891	26552.2541	0	0	0	5.12577e+06	0	0	3
3	1	0	0.0673082362	766486.722	785180.666	766486.722	821079.891	35899.2258	0	0	0	5.08561e+06	0	0	3
4	1	0	0.089744315	768240.303	780945.575	766486.722	821079.891	40134.3165	0	0	0	5.11072e+06	0	0	3
5	1	0	0.112180394	768331.346	778422.729	766486.722	821079.891	42657.1623	0	0	0	5.08684e+06	0	0	3
6	1	0	0.134616472	757432.233	774924.313	757432.233	821079.891	46155.5783	0	0	0	5.09046e+06	0	0	3
7	2	0	0.157052551	691467.767	763001.949	691467.767	821079.891	58077.942	0	0	0	5.07163e+06	0	0	3
8	2	0	0.17948863	563709.054	738090.337	563709.054	821079.891	82989.554	0	0	0	5.06957e+06	0	0	3
9	2	0	0.201924709	517072.834	713532.837	517072.834	821079.891	107547.054	0	0	0	5.06955e+06	0	0	3
10	2	0	0.224360787	495531.483	691732.702	495531.483	821079.891	129347.19	0	0	0	5.09803e+06	0	0	3
11	2	0	0.246796866	481799.127	672647.831	481799.127	821079.891	148432.06	0	0	0	5.13144e+06	0	0	3
12	2	0	0.269232945	466588.637	655476.232	466588.637	821079.891	165603.66	0	0	0	5.16559e+06	0	0	3
13	2	0	0.291669024	452011.942	639825.133	452011.942	821079.891	181254.759	0	0	0	5.19534e+06	0	0	3
14	3	0	0.314105102	438310.788	625431.251	438310.788	821079.891	195648.641	0	0	0	5.21861e+06	0	0	3
15	3	0	0.336541181	427448.672	612232.412	427448.672	821079.891	208847.479	0	0	0	5.2341e+06	0	0	3
16	3	0	0.35897726	424755.751	600515.121	424755.751	821079.891	220564.771	0	0	0	5.23748e+06	0	0	3
17	3	0	0.381413339	418350.166	589799.535	418350.166	821079.891	231280.356	0	0	0	5.24557e+06	0	0	3
18	3	0	0.403849417	414436.129	580057.124	414436.129	821079.891	241022.768	0	0	0	5.247e+06	0	0	3
19	3	0	0.426285496	409299.679	571069.89	409299.679	821079.891	250010.001	0	0	0	5.25049e+06	0	0	3
20	3	0	0.448721575	405924.363	562812.614	405924.363	821079.891	258267.278	0	0	0	5.29009e+06	0	0	3
21	4	0	0.471157654	402125.487	555160.846	402125.487	821079.891	265919.046	0	0	0	5.32328e+06	0	0	3
22	4	0	0.493593732	400373.549	548125.059	400373.549	821079.891	272954.832	0	0	0	5.33656e+06	0	0	3
23	4	0	0.516029811	399420.159	541659.629	399420.159	821079.891	279420.262	0	0	0	5.33605e+06	0	0	3
24	4	0	0.53846589	398806.76	523299.928	398806.76	768331.346	271227.71	0	0	0	5.32858e+06	0	0	3
25	4	0	0.560901969	398904.305	507253.359	398806.76	768331.346	277927.307	0	0	0	5.3175e+06	0	0	3
26	4	0	0.583338047	398324.342	491246.299	398324.342	768331.346	289699.276	0	0	0	5.30883e+06	0	0	3
27	4	0	0.605774126	397692.325	475135.517	397692.325	768331.346	303287.212	0	0	0	5.30246e+06	0	0	3
28	4	0	0.628210205	397382.443	459007.304	397382.443	757432.233	315917.009	0	0	0	5.29579e+06	0	0	3
29	5	0	0.650646283	397386.404	443353.138	397382.443	691467.767	294085.323	0	0	0	5.29044e+06	0	0	3
30	5	0	0.673082362	397703.015	430580.757	397382.443	563709.054	166326.611	0	0	0	5.28656e+06	0	0	3
31	5	0	0.695518441	397846.542	423369.344	397382.443	517072.834	119690.391	0	0	0	5.2839e+06	0	0	3
32	5	0	0.71795452	398032.022	418193.656	397382.443	495531.483	98149.0398	0	0	0	5.28183e+06	0	0	3
33	5	0	0.740390598	398312.345	413966.737	397382.443	481799.127	84416.6836	0	0	0	5.27981e+06	0	0	3
34	5	0	0.762826677	398669.96	410352.425	397382.443	466588.637	69206.1932	0	0	0	5.27819e+06	0	0	3
35	5	0	0.785262756	398984.296	407413.106	397382.443	452011.942	54629.4988	0	0	0	5.27681e+06	0	0	3
36	5	0	0.807698835	399139.813	405114.318	397382.443	438310.788	40928.3448	0	0	0	5.27581e+06	0	0	3
37	5	0	0.830134913	399611.245	403431.729	397382.443	427448.672	30066.2283	0	0	0	5.27488e+06	0	0	3
38	6	0	0.852570992	400218.507	402247.809	397382.443	424755.751	27373.3071	0	0	0	5.27378e+06	0	0	3
39	6	0	0.875007071	400522.323	401194.182	397382.443	418350.166	20967.7225	0	0	0	5.27308e+06	0	0	3
40	6	0	0.89744315	400770.644	400429.855	397382.443	414436.129	17053.6855	0	0	0	5.27263e+06	0	0	3
41	6	0	0.919879228	400795.945	399836.803	397382.443	409299.679	11917.2357	0	0	0	5.27228e+06	0	0	3
42	6	0	0.942315307	401034.429	399477.444	397382.443	405924.363	8541.91962	0	0	0	5.27196e+06	0	0	3
43	6	0	0.964751386	401361.584	399279.063	397382.443	402125.487	4743.0437	0	0	0	5.27156e+06	0	0	3
44	6	0	0.987187465	401976.01	399272.564	397382.443	401976.01	4593.56696	0	0	0	5.27097e+06	0	0	3
45	6	0	1.00962354	402692.876	399373.404	397382.443	402692.876	5310.43236	28631.3201	0	0	5.27054e+06	0	0	3
