Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	10	0	0.0107777809	293.214236	293.214236	293.214236	293.214236	0	0	0	0	42.6105	0	0	3
2	12	0	0.0215555617	293.228229	293.221233	293.214236	293.228229	0.00699655493	0	0	0	42.9463	0	0	3
3	14	0	0.0323333426	293.241472	293.227979	293.214236	293.241472	0.0137430203	0	0	0	44.0473	0	0	3
4	16	0	0.0431111234	293.253368	293.234326	293.214236	293.253368	0.0200901058	0	0	0	46.2681	0	0	3
5	17	0	0.0538889043	293.264273	293.240316	293.214236	293.264273	0.0260794368	0	0	0	48.827	0	0	3
6	19	0	0.0646666851	293.280322	293.246983	293.214236	293.280322	0.0327472345	0	0	0	53.2625	0	0	3
7	21	0	0.075444466	293.297613	293.254216	293.214236	293.297613	0.0399799941	0	0	0	57.6235	0	0	3
8	23	0	0.0862222468	293.31422	293.261717	293.214236	293.31422	0.0474804662	0	0	0	58.8939	0	0	3
9	25	0	0.0970000277	293.329411	293.269238	293.214236	293.329411	0.055002103	0	0	0	58.3145	0	0	3
10	28	0	0.107777809	293.34323	293.276637	293.214236	293.34323	0.0624012291	0	0	0	58.8109	0	0	3
11	30	0	0.118555589	293.360255	293.284239	293.214236	293.360255	0.0700028308	0	0	0	58.536	0	0	3
12	32	0	0.12933337	293.375311	293.291828	293.214236	293.375311	0.0775921776	0	0	0	59.11	0	0	3
13	33	0	0.140111151	293.389192	293.299318	293.214236	293.389192	0.0850816798	0	0	0	58.6229	0	0	3
14	35	0	0.150888932	293.402116	293.306661	293.214236	293.402116	0.0924243875	0	0	0	58.8475	0	0	3
15	37	0	0.161666713	293.413977	293.313815	293.214236	293.413977	0.0995788349	0	0	0	58.7667	0	0	3
16	39	0	0.172444494	293.428163	293.320962	293.214236	293.428163	0.106725574	0	0	0	58.1925	0	0	3
17	41	0	0.183222275	293.437986	293.327846	293.214236	293.437986	0.11360933	0	0	0	57.6803	0	0	3
18	42	0	0.194000055	293.442912	293.334238	293.214236	293.442912	0.120001885	0	0	0	57.4872	0	0	3
19	44	0	0.204777836	293.443517	293.33999	293.214236	293.443517	0.125753426	0	0	0	56.9923	0	0	3
20	46	0	0.215555617	293.441285	293.345054	293.214236	293.443517	0.130818198	0	0	0	57.3217	0	0	3
21	48	0	0.226333398	293.433489	293.349266	293.214236	293.443517	0.135029393	0	0	0	57.0931	0	0	3
22	50	0	0.237111179	293.431088	293.352985	293.214236	293.443517	0.138748601	0	0	0	55.2731	0	0	3
23	52	0	0.24788896	293.435622	293.356578	293.214236	293.443517	0.142341513	0	0	0	54.7106	0	0	3
24	54	0	0.258666741	293.446332	293.360317	293.214236	293.446332	0.146081292	0	0	0	54.6171	0	0	3
25	56	0	0.269444521	293.46131	293.364357	293.214236	293.46131	0.150120979	0	0	0	54.4975	0	0	3
26	58	0	0.280222302	293.490004	293.36919	293.214236	293.490004	0.154953557	0	0	0	54.1208	0	0	3
27	60	0	0.291000083	293.519789	293.374767	293.214236	293.519789	0.160531297	0	0	0	54.0735	0	0	3
28	62	0	0.301777864	293.549102	293.380994	293.214236	293.549102	0.166757523	0	0	0	54.0805	0	0	3
29	64	0	0.312555645	293.574866	293.387679	293.214236	293.574866	0.17344277	0	0	0	54.1207	0	0	3
30	66	0	0.323333426	293.594533	293.394574	293.214236	293.594533	0.180337897	0	0	0	54.1933	0	0	3
31	68	0	0.334111206	293.609856	293.401519	293.214236	293.609856	0.187282484	0	0	0	54.1884	0	0	3
32	70	0	0.344888987	293.611489	293.40808	293.214236	293.611489	0.193844066	0	0	0	54.0248	0	0	3
33	72	0	0.355666768	293.605527	293.414063	293.214236	293.611489	0.199827299	0	0	0	53.8675	0	0	3
34	74	0	0.366444549	293.598443	293.419486	293.214236	293.611489	0.20525024	0	0	0	53.6449	0	0	3
35	75	0	0.37722233	293.593583	293.424461	293.214236	293.611489	0.210224434	0	0	0	53.421	0	0	3
36	78	0	0.388000111	293.592618	293.429132	293.214236	293.611489	0.214895472	0	0	0	53.2101	0	0	3
37	80	0	0.398777892	293.596244	293.433648	293.214236	293.611489	0.21941202	0	0	0	52.9913	0	0	3
38	82	0	0.409555672	293.60228	293.438086	293.214236	293.611489	0.223849693	0	0	0	52.8224	0	0	3
39	84	0	0.420333453	293.608685	293.44246	293.214236	293.611489	0.228224031	0	0	0	52.6904	0	0	3
40	86	0	0.431111234	293.614071	293.44675	293.214236	293.614071	0.232514298	0	0	0	52.6711	0	0	3
41	88	0	0.441889015	293.619391	293.450961	293.214236	293.619391	0.236725047	0	0	0	52.6511	0	0	3
42	89	0	0.452666796	293.622322	293.455041	293.214236	293.622322	0.240805064	0	0	0	52.623	0	0	3
43	91	0	0.463444577	293.623896	293.458968	293.214236	293.623896	0.244731916	0	0	0	52.5945	0	0	3
44	93	0	0.474222358	293.624608	293.462733	293.214236	293.624608	0.248496468	0	0	0	52.5724	0	0	3
45	95	0	0.485000138	293.624916	293.466337	293.214236	293.624916	0.252100552	0	0	0	52.5508	0	0	3
46	97	0	0.495777919	293.625248	293.469791	293.214236	293.625248	0.255555147	0	0	0	52.5295	0	0	3
47	99	0	0.5065557	293.625638	293.473107	293.214236	293.625638	0.258871029	0	0	0	52.5071	0	0	3
48	101	0	0.517333481	293.626162	293.481872	293.228229	293.626162	0.260638861	0	0	0	52.4897	0	0	3
49	102	0	0.528111262	293.626874	293.490353	293.241472	293.626874	0.262374201	0	0	0	52.4681	0	0	3
50	104	0	0.538889043	293.627681	293.498571	293.253368	293.627681	0.264244323	0	0	0	52.4531	0	0	3
51	106	0	0.549666824	293.628602	293.506554	293.264273	293.628602	0.266238712	0	0	0	52.4659	0	0	3
52	108	0	0.560444604	293.629543	293.514326	293.280322	293.629543	0.267342622	0	0	0	52.4845	0	0	3
53	109	0	0.571222385	293.630469	293.521776	293.297613	293.630469	0.267559794	0	0	0	52.4874	0	0	3
54	111	0	0.582000166	293.631381	293.528877	293.31422	293.631381	0.267160767	0	0	0	52.4761	0	0	3
55	113	0	0.592777947	293.632267	293.535644	293.329411	293.632267	0.266406089	0	0	0	52.4822	0	0	3
56	115	0	0.603555728	293.633104	293.542106	293.34323	293.633104	0.265468498	0	0	0	52.475	0	0	3
57	117	0	0.614333509	293.633855	293.548289	293.360255	293.633855	0.264050412	0	0	0	52.4827	0	0	3
58	119	0	0.62511129	293.634534	293.554125	293.375311	293.634534	0.259222459	0	0	0	52.4737	0	0	3
59	120	0	0.63588907	293.635114	293.559653	293.389192	293.635114	0.245921631	0	0	0	52.4956	0	0	3
60	122	0	0.646666851	293.635586	293.564895	293.402116	293.635586	0.23346995	0	0	0	52.5215	0	0	3
61	124	0	0.657444632	293.635949	293.56987	293.413977	293.635949	0.221971916	0	0	0	52.5481	0	0	3
62	126	0	0.668222413	293.636218	293.574599	293.428163	293.636218	0.208055101	0	0	0	52.5798	0	0	3
63	128	0	0.679000194	293.636389	293.579029	293.431088	293.636389	0.205301014	0	0	0	52.5541	0	0	3
64	129	0	0.689777975	293.636485	293.583253	293.431088	293.636485	0.205396659	0	0	0	52.5337	0	0	3
65	131	0	0.700555756	293.636512	293.587372	293.431088	293.636512	0.205423365	0	0	0	52.494	0	0	3
66	133	0	0.711333536	293.636511	293.591478	293.431088	293.636512	0.205423365	0	0	0	52.522	0	0	3
67	134	0	0.722111317	293.636472	293.595631	293.431088	293.636512	0.205423365	0	0	0	52.5151	0	0	3
