Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0107787885	101325.993	101325.993	101325.993	101325.993	0	0	0	0	16318.6	0	0	3
2	7	0	0.0215575771	101326.492	101326.243	101325.993	101326.492	0.249540733	0	0	0	33579.6	0	0	3
3	9	0	0.0323363656	101326.512	101326.332	101325.993	101326.512	0.339194948	0	0	0	49879	0	0	3
4	10	0	0.0431151542	101326.148	101326.286	101325.993	101326.512	0.339194948	0	0	0	69074.2	0	0	3
5	11	0	0.0538939427	101325.62	101326.153	101325.62	101326.512	0.339194948	0	0	0	87176.8	0	0	3
6	13	0	0.0646727312	101326.275	101326.173	101325.62	101326.512	0.339194948	0	0	0	104074	0	0	3
7	14	0	0.0754515198	101328.909	101326.564	101325.62	101328.909	0.571013725	0	0	0	108248	0	0	3
8	16	0	0.0862303083	101333.168	101327.39	101325.62	101333.168	1.39654931	0	0	0	101142	0	0	3
9	17	0	0.0970090969	101337.874	101328.555	101325.62	101337.874	2.56151465	0	0	0	90632.7	0	0	3
10	18	0	0.107787885	101342.243	101329.924	101325.62	101342.243	3.93037874	0	0	0	80897.7	0	0	3
11	20	0	0.118566674	101347.086	101331.484	101325.62	101347.086	5.49061603	0	0	0	69647.3	0	0	3
12	21	0	0.129345462	101350.591	101333.076	101325.62	101350.591	7.08291204	0	0	0	61540.7	0	0	3
13	22	0	0.140124251	101353.054	101334.613	101325.62	101353.054	8.61970547	0	0	0	57971	0	0	3
14	23	0	0.15090304	101355.562	101336.109	101325.62	101355.562	10.116083	0	0	0	56903.5	0	0	3
15	25	0	0.161681828	101358.499	101337.602	101325.62	101358.499	11.608748	0	0	0	55934.1	0	0	3
16	26	0	0.172460617	101364.295	101339.27	101325.62	101364.295	13.2770832	0	0	0	54963.8	0	0	3
17	27	0	0.183239405	101368.335	101340.98	101325.62	101368.335	14.9867658	0	0	0	54205.9	0	0	3
18	29	0	0.194018194	101366.879	101342.419	101325.62	101368.335	16.4255963	0	0	0	53965.6	0	0	3
19	30	0	0.204796982	101357.357	101343.205	101325.62	101368.335	17.2118213	0	0	0	53417.6	0	0	3
20	31	0	0.215575771	101339.391	101343.014	101325.62	101368.335	17.2118213	0	0	0	53099.8	0	0	3
21	33	0	0.226354559	101299.363	101340.936	101299.363	101368.335	17.2118213	0	0	0	52529.2	0	0	3
22	34	0	0.237133348	101257.56	101337.146	101257.56	101368.335	17.2118213	0	0	0	52121.1	0	0	3
23	35	0	0.247912136	101223.309	101332.196	101223.309	101368.335	17.2118213	0	0	0	51535.1	0	0	3
24	37	0	0.258690925	101201.68	101326.758	101201.68	101368.335	17.2118213	0	0	0	51825.7	0	0	3
25	38	0	0.269469714	101193.895	101321.444	101193.895	101368.335	21.7612542	0	0	0	51860	0	0	3
26	40	0	0.280248502	101203.208	101316.896	101193.895	101368.335	26.3087664	0	0	0	51786.9	0	0	3
27	41	0	0.291027291	101231.595	101313.737	101193.895	101368.335	29.4680769	0	0	0	51890.5	0	0	3
28	42	0	0.301806079	101274.38	101312.331	101193.895	101368.335	30.8736699	0	0	0	52201.8	0	0	3
29	44	0	0.312584868	101322.39	101312.678	101193.895	101368.335	30.8736699	0	0	0	52257	0	0	3
30	45	0	0.323363656	101366.63	101314.477	101193.895	101368.335	30.8736699	0	0	0	52377.8	0	0	3
31	47	0	0.334142445	101404.126	101317.368	101193.895	101404.126	30.8736699	0	0	0	52261.3	0	0	3
32	48	0	0.344921233	101410.123	101320.267	101193.895	101410.123	30.8736699	0	0	0	52136.7	0	0	3
33	49	0	0.355700022	101392.44	101322.454	101193.895	101410.123	30.8736699	0	0	0	51964.3	0	0	3
34	51	0	0.36647881	101365.29	101323.714	101193.895	101410.123	30.8736699	0	0	0	51853.3	0	0	3
35	52	0	0.377257599	101339.24	101324.158	101193.895	101410.123	30.8736699	0	0	0	51673.2	0	0	3
36	53	0	0.388036387	101319.085	101324.017	101193.895	101410.123	30.8736699	0	0	0	51581.3	0	0	3
37	55	0	0.398815176	101313.089	101323.721	101193.895	101410.123	30.8736699	0	0	0	51459.4	0	0	3
38	56	0	0.409593965	101315.091	101323.494	101193.895	101410.123	30.8736699	0	0	0	51393.2	0	0	3
39	57	0	0.420372753	101319.709	101323.397	101193.895	101410.123	30.8736699	0	0	0	51276.8	0	0	3
40	59	0	0.431151542	101323.669	101323.404	101193.895	101410.123	30.8736699	0	0	0	51193.9	0	0	3
41	60	0	0.44193033	101326.084	101323.469	101193.895	101410.123	30.8736699	0	0	0	51137.5	0	0	3
42	62	0	0.452709119	101325.789	101323.525	101193.895	101410.123	30.8736699	0	0	0	51127.6	0	0	3
