Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0105820968	-526.344929	-526.344929	-526.344929	-526.344929	0	0	0	0	0	0	0	3
2	10	0	0.0211641937	-818.133426	-672.239178	-818.133426	-526.344929	145.894249	0	0	0	0	0	0	3
3	12	0	0.0317462905	-1088.60394	-811.02743	-1088.60394	-526.344929	284.682502	0	0	0	0	0	0	3
4	13	0	0.0423283873	-1297.05614	-932.534607	-1297.05614	-526.344929	406.189678	0	0	0	0	0	0	3
5	15	0	0.0529104842	-1443.1684	-1034.66136	-1443.1684	-526.344929	508.316436	0	0	0	0	0	0	3
6	17	0	0.063492581	-1522.13634	-1115.90719	-1522.13634	-526.344929	589.562265	0	0	0	0	0	0	3
7	19	0	0.0740746778	-1488.64243	-1169.15508	-1522.13634	-526.344929	642.810156	0	0	0	0	0	0	3
8	21	0	0.0846567747	-1412.44021	-1199.56573	-1522.13634	-526.344929	673.220797	0	0	0	0	0	0	3
9	23	0	0.0952388715	-1314.53549	-1212.34014	-1522.13634	-526.344929	685.995215	0	0	0	0	0	0	3
10	25	0	0.105820968	-1198.03866	-1210.91	-1522.13634	-526.344929	685.995215	0	0	0	0	0	0	3
11	27	0	0.116403065	-1065.85093	-1197.72281	-1522.13634	-526.344929	685.995215	0	0	0	0	0	0	3
12	28	0	0.126985162	-989.891046	-1180.40349	-1522.13634	-526.344929	685.995215	0	0	0	0	0	0	3
13	30	0	0.137567259	-912.217902	-1159.77383	-1522.13634	-526.344929	685.995215	0	0	0	0	0	0	3
14	31	0	0.148149356	-849.771838	-1137.63083	-1522.13634	-526.344929	685.995215	0	0	0	0	0	0	3
15	33	0	0.158731452	-819.730896	-1116.4375	-1522.13634	-526.344929	685.995215	0	0	0	0	0	0	3
16	35	0	0.169313549	-787.461922	-1095.87653	-1522.13634	-526.344929	685.995215	0	0	0	0	0	0	3
17	36	0	0.179895646	-757.451327	-1075.96917	-1522.13634	-526.344929	685.995215	0	0	0	0	0	0	3
18	38	0	0.190477743	-720.431474	-1056.21707	-1522.13634	-526.344929	685.995215	0	0	0	0	0	0	3
19	39	0	0.20105984	-698.256837	-1037.37706	-1522.13634	-526.344929	685.995215	0	0	0	0	0	0	3
20	41	0	0.211641937	-679.188364	-1019.46762	-1522.13634	-526.344929	685.995215	0	0	0	0	0	0	3
21	43	0	0.222224033	-656.455215	-1002.18132	-1522.13634	-526.344929	685.995215	0	0	0	0	0	0	3
22	44	0	0.23280613	-635.538395	-985.515732	-1522.13634	-526.344929	685.995215	0	0	0	0	0	0	3
23	46	0	0.243388227	-614.599728	-969.388949	-1522.13634	-526.344929	685.995215	0	0	0	0	0	0	3
24	47	0	0.253970324	-594.959727	-953.787732	-1522.13634	-526.344929	685.995215	0	0	0	0	0	0	3
25	49	0	0.264552421	-578.413354	-938.772757	-1522.13634	-526.344929	685.995215	0	0	0	0	0	0	3
26	51	0	0.275134518	-562.091983	-924.285035	-1522.13634	-526.344929	685.995215	0	0	0	0	0	0	3
27	52	0	0.285716614	-541.849073	-910.12074	-1522.13634	-526.344929	685.995215	0	0	0	0	0	0	3
28	54	0	0.296298711	-524.556199	-896.350577	-1522.13634	-524.556199	685.995215	0	0	0	0	0	0	3
29	56	0	0.306880808	-507.442413	-882.939951	-1522.13634	-507.442413	685.995215	0	0	0	0	0	0	3
30	57	0	0.317462905	-495.455229	-870.023794	-1522.13634	-495.455229	685.995215	0	0	0	0	0	0	3
31	59	0	0.328045002	-483.682448	-857.56117	-1522.13634	-483.682448	685.995215	0	0	0	0	0	0	3
32	61	0	0.338627099	-479.4353	-845.744736	-1522.13634	-479.4353	685.995215	0	0	0	0	0	0	3
33	62	0	0.349209195	-478.24894	-834.6085	-1522.13634	-478.24894	685.995215	0	0	0	0	0	0	3
34	64	0	0.359791292	-480.19288	-824.184511	-1522.13634	-478.24894	685.995215	0	0	0	0	0	0	3
35	66	0	0.370373389	-481.847726	-814.40346	-1522.13634	-478.24894	685.995215	0	0	0	0	0	0	3
36	67	0	0.380955486	-484.930083	-805.251422	-1522.13634	-478.24894	685.995215	0	0	0	0	0	0	3
37	69	0	0.391537583	-484.581668	-796.584672	-1522.13634	-478.24894	685.995215	0	0	0	0	0	0	3
38	71	0	0.40211968	-484.149142	-788.362684	-1522.13634	-478.24894	685.995215	0	0	0	0	0	0	3
39	73	0	0.412701776	-483.827103	-780.55408	-1522.13634	-478.24894	685.995215	0	0	0	0	0	0	3
40	74	0	0.423283873	-484.758201	-773.159183	-1522.13634	-478.24894	685.995215	0	0	0	0	0	0	3
41	76	0	0.43386597	-488.637927	-766.21964	-1522.13634	-478.24894	685.995215	0	0	0	0	0	0	3
42	77	0	0.444448067	-490.399465	-759.652493	-1522.13634	-478.24894	685.995215	0	0	0	0	0	0	3
43	79	0	0.455030164	-492.642262	-753.442952	-1522.13634	-478.24894	685.995215	0	0	0	0	0	0	3
44	81	0	0.465612261	-494.787071	-747.56441	-1522.13634	-478.24894	685.995215	0	0	0	0	0	0	3
45	82	0	0.476194357	-496.705928	-741.989777	-1522.13634	-478.24894	685.995215	0	0	0	0	0	0	3
46	84	0	0.486776454	-500.995987	-736.750781	-1522.13634	-478.24894	685.995215	0	0	0	0	0	0	3
47	86	0	0.497358551	-502.163931	-731.759572	-1522.13634	-478.24894	685.995215	0	0	0	0	0	0	3
48	87	0	0.507940648	-502.924544	-726.992175	-1522.13634	-478.24894	685.995215	0	0	0	0	0	0	3
49	89	0	0.518522745	-503.385653	-726.513857	-1522.13634	-478.24894	540.100966	0	0	0	0	0	0	3
50	90	0	0.529104842	-503.616248	-719.961416	-1522.13634	-478.24894	492.378727	0	0	0	0	0	0	3
51	92	0	0.539686938	-505.245545	-707.808116	-1522.13634	-478.24894	504.532027	0	0	0	0	0	0	3
52	93	0	0.550269035	-505.159554	-691.310271	-1522.13634	-478.24894	521.029873	0	0	0	0	0	0	3
53	95	0	0.560851132	-504.939334	-671.763832	-1522.13634	-478.24894	540.576311	0	0	0	0	0	0	3
54	97	0	0.571433229	-504.663884	-650.566489	-1488.64243	-478.24894	561.773654	0	0	0	0	0	0	3
55	98	0	0.582015326	-504.346725	-630.060329	-1412.44021	-478.24894	582.279815	0	0	0	0	0	0	3
56	100	0	0.592597423	-504.934706	-611.153964	-1314.53549	-478.24894	601.18618	0	0	0	0	0	0	3
57	101	0	0.603179519	-504.557481	-594.279422	-1198.03866	-478.24894	616.630573	0	0	0	0	0	0	3
58	103	0	0.613761616	-504.185354	-579.824145	-1065.85093	-478.24894	587.601995	0	0	0	0	0	0	3
59	104	0	0.624343713	-503.761303	-568.113944	-989.891046	-478.24894	511.642106	0	0	0	0	0	0	3
60	106	0	0.63492581	-503.344698	-557.977562	-912.217902	-478.24894	433.968962	0	0	0	0	0	0	3
61	107	0	0.645507907	-503.723348	-549.467259	-849.771838	-478.24894	371.522899	0	0	0	0	0	0	3
62	109	0	0.656090004	-503.416817	-542.251529	-819.730896	-478.24894	341.481956	0	0	0	0	0	0	3
63	111	0	0.6666721	-503.096796	-535.654985	-787.461922	-478.24894	309.212982	0	0	0	0	0	0	3
64	112	0	0.677254197	-502.717395	-529.722808	-757.451327	-478.24894	279.202387	0	0	0	0	0	0	3
65	114	0	0.687836294	-502.377384	-524.408767	-720.431474	-478.24894	242.182534	0	0	0	0	0	0	3
66	115	0	0.698418391	-502.660384	-519.871869	-698.256837	-478.24894	220.007897	0	0	0	0	0	0	3
67	117	0	0.709000488	-502.411824	-515.791765	-679.188364	-478.24894	200.939425	0	0	0	0	0	0	3
68	118	0	0.719582585	-502.203651	-512.104583	-656.455215	-478.24894	178.206275	0	0	0	0	0	0	3
69	120	0	0.730164681	-502.075897	-508.888348	-635.538395	-478.24894	157.289456	0	0	0	0	0	0	3
70	121	0	0.740746778	-501.948718	-506.105229	-614.599728	-478.24894	136.350788	0	0	0	0	0	0	3
71	123	0	0.751328875	-502.299132	-503.765634	-594.959727	-478.24894	116.710788	0	0	0	0	0	0	3
72	124	0	0.761910972	-502.142678	-501.831945	-578.413354	-478.24894	100.164414	0	0	0	0	0	0	3
