Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.200001	293.200001	293.200001	293.200001	0	0	0	0	3.72526e-06	0	0	3
2	1	0	0.05	293.200001	293.200001	293.200001	293.200001	2.50589721e-07	0	0	0	3.06153e-06	0	0	3
3	2	0	0.075	293.200002	293.200001	293.200001	293.200002	4.73640057e-07	0	0	0	2.7726e-06	0	0	3
4	2	0	0.1	293.200002	293.200001	293.200001	293.200002	6.72634371e-07	0	0	0	2.5086e-06	0	0	3
5	2	0	0.125	293.200002	293.200001	293.200001	293.200002	8.5079887e-07	0	0	0	2.26109e-06	0	0	3
6	2	0	0.15	293.200002	293.200002	293.200001	293.200002	1.01182383e-06	0	0	0	1.97753e-06	0	0	3
7	2	0	0.175	293.200003	293.200002	293.200001	293.200003	1.15759224e-06	0	0	0	1.67017e-06	0	0	3
8	3	0	0.2	293.200003	293.200002	293.200001	293.200003	1.28944578e-06	0	0	0	1.37971e-06	0	0	3
9	3	0	0.225	293.200003	293.200002	293.200001	293.200003	1.40844924e-06	0	0	0	1.15922e-06	0	0	3
10	3	0	0.25	293.200003	293.200002	293.200001	293.200003	1.51420653e-06	0	0	0	9.80804e-07	0	0	3
11	3	0	0.275	293.200003	293.200002	293.200001	293.200003	1.59860832e-06	0	0	0	1.11503e-06	0	0	3
12	4	0	0.3	293.200003	293.200002	293.200001	293.200003	1.65962905e-06	0	0	0	1.42445e-06	0	0	3
13	4	0	0.325	293.200003	293.200002	293.200001	293.200003	1.70176219e-06	0	0	0	1.64288e-06	0	0	3
14	4	0	0.35	293.200003	293.200002	293.200001	293.200003	1.72945067e-06	0	0	0	1.79716e-06	0	0	3
15	4	0	0.375	293.200003	293.200002	293.200001	293.200003	1.74601155e-06	0	0	0	1.91389e-06	0	0	3
16	4	0	0.4	293.200002	293.200002	293.200001	293.200003	1.74967113e-06	0	0	0	2.10498e-06	0	0	3
17	5	0	0.425	293.200002	293.200002	293.200001	293.200003	1.74967113e-06	0	0	0	2.18575e-06	0	0	3
18	5	0	0.45	293.200002	293.200002	293.200001	293.200003	1.74967113e-06	0	0	0	2.29089e-06	0	0	3
19	5	0	0.475	293.200002	293.200002	293.200001	293.200003	1.74967113e-06	0	0	0	2.38515e-06	0	0	3
20	5	0	0.5	293.200002	293.200002	293.200001	293.200003	1.74967113e-06	0	0	0	2.50435e-06	0	0	3
21	6	0	0.525	293.200002	293.200002	293.200001	293.200003	1.49908141e-06	0	0	0	2.61063e-06	0	0	3
22	6	0	0.55	293.200002	293.200002	293.200002	293.200003	1.28977445e-06	0	0	0	2.69773e-06	0	0	3
23	6	0	0.575	293.200001	293.200002	293.200001	293.200003	1.09078013e-06	0	0	0	2.78787e-06	0	0	3
24	6	0	0.6	293.200001	293.200002	293.200001	293.200003	9.12615633e-07	0	0	0	2.86826e-06	0	0	3
25	7	0	0.625	293.200001	293.200002	293.200001	293.200003	7.51590676e-07	0	0	0	2.94025e-06	0	0	3
26	7	0	0.65	293.200001	293.200002	293.200001	293.200003	6.05822265e-07	0	0	0	3.03644e-06	0	0	3
27	7	0	0.675	293.200001	293.200002	293.200001	293.200003	4.73968726e-07	0	0	0	3.11906e-06	0	0	3
28	7	0	0.7	293.200001	293.200002	293.200001	293.200003	3.54965266e-07	0	0	0	3.19027e-06	0	0	3
29	8	0	0.725	293.200001	293.200002	293.200001	293.200003	4.56753696e-07	0	0	0	3.25184e-06	0	0	3
30	8	0	0.75	293.200001	293.200002	293.200001	293.200003	5.78889114e-07	0	0	0	3.30525e-06	0	0	3
31	8	0	0.775	293.200001	293.200002	293.200001	293.200003	7.04775914e-07	0	0	0	3.37221e-06	0	0	3
32	8	0	0.8	293.2	293.200002	293.2	293.200003	8.29125099e-07	0	0	0	3.42749e-06	0	0	3
33	9	0	0.825	293.2	293.200001	293.2	293.200003	9.47242597e-07	0	0	0	3.42824e-06	0	0	3
34	9	0	0.85	293.2	293.200001	293.2	293.200003	1.05942121e-06	0	0	0	3.42846e-06	0	0	3
35	9	0	0.875	293.2	293.200001	293.2	293.200002	1.16599495e-06	0	0	0	3.42862e-06	0	0	3
36	9	0	0.9	293.2	293.200001	293.2	293.200002	1.26388642e-06	0	0	0	3.42877e-06	0	0	3
37	9	0	0.925	293.2	293.200001	293.2	293.200002	1.35389524e-06	0	0	0	3.42904e-06	0	0	3
38	10	0	0.95	293.2	293.200001	293.2	293.200002	1.43659076e-06	0	0	0	3.42938e-06	0	0	3
39	10	0	0.975	293.2	293.200001	293.2	293.200002	1.48427932e-06	0	0	0	3.48513e-06	0	0	3
