Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	10	0	0.0107777809	101325.993	101325.993	101325.993	101325.993	0	0	0	0	16318.6	0	0	3
2	12	0	0.0215555617	101326.492	101326.243	101325.993	101326.492	0.249497457	0	0	0	33579.7	0	0	3
3	14	0	0.0323333426	101326.51	101326.332	101325.993	101326.51	0.33867495	0	0	0	49877.7	0	0	3
4	16	0	0.0431111234	101326.145	101326.285	101325.993	101326.51	0.33867495	0	0	0	69072.5	0	0	3
5	17	0	0.0538889043	101325.609	101326.15	101325.609	101326.51	0.33867495	0	0	0	87181.8	0	0	3
6	19	0	0.0646666851	101326.241	101326.165	101325.609	101326.51	0.33867495	0	0	0	104077	0	0	3
7	21	0	0.075444466	101328.845	101326.548	101325.609	101328.845	0.554656727	0	0	0	108319	0	0	3
8	23	0	0.0862222468	101333.075	101327.364	101325.609	101333.075	1.37055692	0	0	0	101231	0	0	3
9	25	0	0.0970000277	101337.767	101328.52	101325.609	101337.767	2.52643784	0	0	0	90733.5	0	0	3
10	28	0	0.107777809	101342.127	101329.88	101325.609	101342.127	3.88715172	0	0	0	81015.9	0	0	3
11	30	0	0.118555589	101346.985	101331.435	101325.609	101346.985	5.4421343	0	0	0	69771.1	0	0	3
12	32	0	0.12933337	101350.521	101333.026	101325.609	101350.521	7.03259281	0	0	0	61671.4	0	0	3
13	33	0	0.140111151	101353.011	101334.563	101325.609	101353.011	8.56989826	0	0	0	58245.2	0	0	3
14	35	0	0.150888932	101355.539	101336.062	101325.609	101355.539	10.0681785	0	0	0	57116.8	0	0	3
15	37	0	0.161666713	101358.483	101337.556	101325.609	101358.483	11.5629728	0	0	0	56125	0	0	3
16	39	0	0.172444494	101364.288	101339.227	101325.609	101364.288	13.233726	0	0	0	55168	0	0	3
17	41	0	0.183222275	101368.333	101340.939	101325.609	101368.333	14.9458215	0	0	0	54504.3	0	0	3
18	42	0	0.194000055	101366.884	101342.381	101325.609	101368.333	16.3872003	0	0	0	54274.7	0	0	3
19	44	0	0.204777836	101357.361	101343.169	101325.609	101368.333	17.1756493	0	0	0	53721.7	0	0	3
20	46	0	0.215555617	101339.393	101342.98	101325.609	101368.333	17.1756493	0	0	0	53405.3	0	0	3
21	48	0	0.226333398	101299.344	101340.902	101299.344	101368.333	17.1756493	0	0	0	52834.2	0	0	3
22	50	0	0.237111179	101257.487	101337.111	101257.487	101368.333	17.1756493	0	0	0	52429.6	0	0	3
23	52	0	0.24788896	101223.144	101332.156	101223.144	101368.333	17.1756493	0	0	0	51834.8	0	0	3
24	54	0	0.258666741	101201.412	101326.708	101201.412	101368.333	17.1756493	0	0	0	52121.4	0	0	3
25	56	0	0.269444521	101193.53	101321.381	101193.53	101368.333	21.7881446	0	0	0	51791.5	0	0	3
26	58	0	0.280222302	101202.617	101316.813	101193.53	101368.333	26.3559681	0	0	0	52103.8	0	0	3
27	60	0	0.291000083	101230.975	101313.634	101193.53	101368.333	29.5351657	0	0	0	52190.6	0	0	3
28	62	0	0.301777864	101273.747	101312.209	101193.53	101368.333	30.9597053	0	0	0	52501.3	0	0	3
29	64	0	0.312555645	101321.834	101312.541	101193.53	101368.333	30.9597053	0	0	0	52558.9	0	0	3
30	66	0	0.323333426	101366.143	101314.328	101193.53	101368.333	30.9597053	0	0	0	52638.9	0	0	3
31	68	0	0.334111206	101403.789	101317.214	101193.53	101403.789	30.9597053	0	0	0	52528.7	0	0	3
32	70	0	0.344888987	101409.883	101320.11	101193.53	101409.883	30.9597053	0	0	0	52414.1	0	0	3
33	72	0	0.355666768	101392.611	101322.307	101193.53	101409.883	30.9597053	0	0	0	52196.9	0	0	3
34	74	0	0.366444549	101365.709	101323.583	101193.53	101409.883	30.9597053	0	0	0	52064.1	0	0	3
35	75	0	0.37722233	101339.997	101324.052	101193.53	101409.883	30.9597053	0	0	0	51854.5	0	0	3
36	78	0	0.388000111	101319.812	101323.934	101193.53	101409.883	30.9597053	0	0	0	51737.4	0	0	3
37	80	0	0.398777892	101313.36	101323.649	101193.53	101409.883	30.9597053	0	0	0	51584.3	0	0	3
38	82	0	0.409555672	101315.028	101323.422	101193.53	101409.883	30.9597053	0	0	0	51520.5	0	0	3
39	84	0	0.420333453	101319.574	101323.323	101193.53	101409.883	30.9597053	0	0	0	51473	0	0	3
40	86	0	0.431111234	101323.637	101323.331	101193.53	101409.883	30.9597053	0	0	0	51458	0	0	3
41	88	0	0.441889015	101326.272	101323.403	101193.53	101409.883	30.9597053	0	0	0	51365.2	0	0	3
42	89	0	0.452666796	101326.208	101323.469	101193.53	101409.883	30.9597053	0	0	0	51295	0	0	3
43	91	0	0.463444577	101325.124	101323.508	101193.53	101409.883	30.9597053	0	0	0	51177.7	0	0	3
44	93	0	0.474222358	101323.646	101323.511	101193.53	101409.883	30.9597053	0	0	0	51158.1	0	0	3
45	95	0	0.485000138	101322.175	101323.481	101193.53	101409.883	30.9597053	0	0	0	51106.1	0	0	3
46	97	0	0.495777919	101320.966	101323.427	101193.53	101409.883	30.9597053	0	0	0	51072.4	0	0	3
47	99	0	0.5065557	101320.079	101323.355	101193.53	101409.883	30.9597053	0	0	0	51022.3	0	0	3
48	101	0	0.517333481	101319.562	101323.219	101193.53	101409.883	30.9597053	0	0	0	51060.2	0	0	3
49	102	0	0.528111262	101319.423	101323.068	101193.53	101409.883	30.9597053	0	0	0	51106	0	0	3
50	104	0	0.538889043	101319.541	101322.92	101193.53	101409.883	30.9597053	0	0	0	51183.4	0	0	3
51	106	0	0.549666824	101319.874	101322.786	101193.53	101409.883	30.9597053	0	0	0	51182.5	0	0	3
52	108	0	0.560444604	101320.358	101322.675	101193.53	101409.883	30.9597053	0	0	0	51158.2	0	0	3
53	109	0	0.571222385	101320.919	101322.562	101193.53	101409.883	30.9597053	0	0	0	51098.4	0	0	3
54	111	0	0.582000166	101321.496	101322.405	101193.53	101409.883	30.9597053	0	0	0	51084.9	0	0	3
55	113	0	0.592777947	101322.102	101322.172	101193.53	101409.883	30.9597053	0	0	0	51010.6	0	0	3
56	115	0	0.603555728	101322.68	101321.851	101193.53	101409.883	30.9597053	0	0	0	50978.3	0	0	3
57	117	0	0.614333509	101323.246	101321.449	101193.53	101409.883	30.9597053	0	0	0	50906.1	0	0	3
58	119	0	0.62511129	101323.771	101320.955	101193.53	101409.883	30.9597053	0	0	0	50895.3	0	0	3
59	120	0	0.63588907	101324.233	101320.396	101193.53	101409.883	30.9597053	0	0	0	50869.9	0	0	3
60	122	0	0.646666851	101324.592	101319.791	101193.53	101409.883	30.9597053	0	0	0	50918.1	0	0	3
61	124	0	0.657444632	101324.863	101319.138	101193.53	101409.883	30.9597053	0	0	0	50917.2	0	0	3
62	126	0	0.668222413	101325.057	101318.427	101193.53	101409.883	30.9597053	0	0	0	50928.8	0	0	3
63	128	0	0.679000194	101325.177	101317.595	101193.53	101409.883	30.9597053	0	0	0	50875.4	0	0	3
64	129	0	0.689777975	101325.214	101316.678	101193.53	101409.883	30.9597053	0	0	0	50872.9	0	0	3
65	131	0	0.700555756	101325.205	101315.791	101193.53	101409.883	30.9597053	0	0	0	50823.3	0	0	3
66	133	0	0.711333536	101325.153	101315.106	101193.53	101409.883	30.7709041	0	0	0	50834.4	0	0	3
67	134	0	0.722111317	101325.069	101314.801	101193.53	101409.883	28.6930018	0	0	0	50822.4	0	0	3
68	136	0	0.732889098	101324.974	101315.346	101193.53	101409.883	24.901402	0	0	0	50882.9	0	0	3
69	138	0	0.743666879	101324.876	101316.78	101193.53	101409.883	19.9463457	0	0	0	50920.8	0	0	3
70	140	0	0.75444466	101324.784	101318.942	101193.53	101409.883	14.4986811	0	0	0	51015.5	0	0	3
71	141	0	0.765222441	101324.705	101321.566	101193.53	101409.883	11.8428679	0	0	0	51066.5	0	0	3
72	143	0	0.776000222	101324.633	101324.355	101202.617	101409.883	12.1458667	0	0	0	51061.1	0	0	3
73	145	0	0.786778002	101324.581	101326.95	101230.975	101409.883	14.7408454	0	0	0	51021.7	0	0	3
74	146	0	0.797555783	101324.551	101328.941	101273.747	101409.883	16.7318274	0	0	0	51034.3	0	0	3
75	148	0	0.808333564	101324.54	101330.022	101313.36	101409.883	17.4806469	0	0	0	51003.2	0	0	3
76	150	0	0.819111345	101324.55	101330.08	101313.36	101409.883	15.7517121	0	0	0	50999.2	0	0	3
77	152	0	0.829889126	101324.583	101329.195	101313.36	101409.883	15.2788176	0	0	0	50937.4	0	0	3
78	153	0	0.840666907	101324.632	101327.511	101313.36	101409.883	15.2788176	0	0	0	50942.3	0	0	3
79	155	0	0.851444687	101324.698	101325.699	101313.36	101392.611	15.2788176	0	0	0	50943.8	0	0	3
80	157	0	0.862222468	101324.771	101324.255	101313.36	101365.709	15.2788176	0	0	0	50986.6	0	0	3
81	158	0	0.873000249	101324.849	101323.386	101313.36	101339.997	15.2788176	0	0	0	50967.6	0	0	3
82	160	0	0.88377803	101324.925	101323.065	101313.36	101326.272	12.9120104	0	0	0	50957.2	0	0	3
83	162	0	0.894555811	101325.001	101323.176	101313.36	101326.272	12.9120104	0	0	0	50903.5	0	0	3
84	163	0	0.905333592	101325.07	101323.425	101315.028	101326.272	11.2434858	0	0	0	50891.6	0	0	3
85	165	0	0.916111373	101325.14	101323.64	101319.423	101326.272	6.84898662	0	0	0	50857.8	0	0	3
86	167	0	0.926889153	101325.206	101323.76	101319.423	101326.272	6.84898662	0	0	0	50867.4	0	0	3
87	168	0	0.937666934	101325.252	101323.794	101319.423	101326.272	6.84898662	0	0	0	50848.1	0	0	3
88	170	0	0.948444715	101325.293	101323.773	101319.423	101326.208	6.78484619	0	0	0	50863.5	0	0	3
89	172	0	0.959222496	101325.33	101323.755	101319.423	101325.33	5.9074997	0	0	0	50842.9	0	0	3
90	173	0	0.970000277	101325.361	101323.76	101319.423	101325.361	5.937818	0	0	0	50862	0	0	3
91	175	0	0.980778058	101325.384	101323.797	101319.423	101325.384	5.9608262	0	0	0	50848.2	0	0	3
92	177	0	0.991555839	101325.405	101323.865	101319.423	101325.405	5.98206314	0	0	0	50915.4	0	0	3
93	179	0	1.00233362	101325.417	101323.96	101319.423	101325.417	5.99361019	6.49059217	0	0	50959	0	0	3
