Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.0107104802	0	0	0	0	0	0	0	0	0	0	0	3
2	8	0	0.0214209603	0	0	0	0	0	0	0	0	0	0	0	3
3	9	0	0.0321314405	0	0	0	0	0	0	0	0	0	0	0	3
4	11	0	0.0428419206	0	0	0	0	0	0	0	0	0	0	0	3
5	12	0	0.0535524008	0	0	0	0	0	0	0	0	0	0	0	3
6	14	0	0.0642628809	0	0	0	0	0	0	0	0	0	0	0	3
7	15	0	0.0749733611	0	0	0	0	0	0	0	0	0	0	0	3
8	16	0	0.0856838412	0	0	0	0	0	0	0	0	0	0	0	3
9	18	0	0.0963943214	0	0	0	0	0	0	0	0	0	0	0	3
10	19	0	0.107104802	0	0	0	0	0	0	0	0	0	0	0	3
11	20	0	0.117815282	0	0	0	0	0	0	0	0	0	0	0	3
12	22	0	0.128525762	0	0	0	0	0	0	0	0	0	0	0	3
13	23	0	0.139236242	0	0	0	0	0	0	0	0	0	0	0	3
14	24	0	0.149946722	0	0	0	0	0	0	0	0	0	0	0	3
15	26	0	0.160657202	0	0	0	0	0	0	0	0	0	0	0	3
16	27	0	0.171367682	0	0	0	0	0	0	0	0	0	0	0	3
17	28	0	0.182078163	0	0	0	0	0	0	0	0	0	0	0	3
18	30	0	0.192788643	0	0	0	0	0	0	0	0	0	0	0	3
19	31	0	0.203499123	0	0	0	0	0	0	0	0	0	0	0	3
20	32	0	0.214209603	0	0	0	0	0	0	0	0	0	0	0	3
21	34	0	0.224920083	0	0	0	0	0	0	0	0	0	0	0	3
22	35	0	0.235630563	0	0	0	0	0	0	0	0	0	0	0	3
23	37	0	0.246341043	0	0	0	0	0	0	0	0	0	0	0	3
24	38	0	0.257051524	0	0	0	0	0	0	0	0	0	0	0	3
25	39	0	0.267762004	0	0	0	0	0	0	0	0	0	0	0	3
26	41	0	0.278472484	0	0	0	0	0	0	0	0	0	0	0	3
27	42	0	0.289182964	0	0	0	0	0	0	0	0	0	0	0	3
28	43	0	0.299893444	0	0	0	0	0	0	0	0	0	0	0	3
29	45	0	0.310603924	0	0	0	0	0	0	0	0	0	0	0	3
30	46	0	0.321314405	0	0	0	0	0	0	0	0	0	0	0	3
31	47	0	0.332024885	0	0	0	0	0	0	0	0	0	0	0	3
32	49	0	0.342735365	0	0	0	0	0	0	0	0	0	0	0	3
33	50	0	0.353445845	0	0	0	0	0	0	0	0	0	0	0	3
34	51	0	0.364156325	0	0	0	0	0	0	0	0	0	0	0	3
35	53	0	0.374866805	0	0	0	0	0	0	0	0	0	0	0	3
36	54	0	0.385577285	0	0	0	0	0	0	0	0	0	0	0	3
37	56	0	0.396287766	0	0	0	0	0	0	0	0	0	0	0	3
38	57	0	0.406998246	0	0	0	0	0	0	0	0	0	0	0	3
39	58	0	0.417708726	0	0	0	0	0	0	0	0	0	0	0	3
40	60	0	0.428419206	0	0	0	0	0	0	0	0	0	0	0	3
41	61	0	0.439129686	0	0	0	0	0	0	0	0	0	0	0	3
42	63	0	0.449840166	0	0	0	0	0	0	0	0	0	0	0	3
43	64	0	0.460550647	0	0	0	0	0	0	0	0	0	0	0	3
44	66	0	0.471261127	0	0	0	0	0	0	0	0	0	0	0	3
45	67	0	0.481971607	0	0	0	0	0	0	0	0	0	0	0	3
46	69	0	0.492682087	0	0	0	0	0	0	0	0	0	0	0	3
47	70	0	0.503392567	0	0	0	0	0	0	0	0	0	0	0	3
48	72	0	0.514103047	0	0	0	0	0	0	0	0	0	0	0	3
49	73	0	0.524813527	0	0	0	0	0	0	0	0	0	0	0	3
50	74	0	0.535524008	0	0	0	0	0	0	0	0	0	0	0	3
51	76	0	0.546234488	0	0	0	0	0	0	0	0	0	0	0	3
52	77	0	0.556944968	0	0	0	0	0	0	0	0	0	0	0	3
