Iteration	CPUTime	PhysTime	Travels
1	7	0	0.0107104802
2	8	0	0.0214209603
3	9	0	0.0321314405
4	11	0	0.0428419206
5	12	0	0.0535524008
6	14	0	0.0642628809
7	15	0	0.0749733611
8	16	0	0.0856838412
9	18	0	0.0963943214
10	19	0	0.107104802
11	20	0	0.117815282
12	22	0	0.128525762
13	23	0	0.139236242
14	24	0	0.149946722
15	26	0	0.160657202
16	27	0	0.171367682
17	28	0	0.182078163
18	30	0	0.192788643
19	31	0	0.203499123
20	32	0	0.214209603
21	34	0	0.224920083
22	35	0	0.235630563
23	37	0	0.246341043
24	38	0	0.257051524
25	39	0	0.267762004
26	41	0	0.278472484
27	42	0	0.289182964
28	43	0	0.299893444
29	45	0	0.310603924
30	46	0	0.321314405
31	47	0	0.332024885
32	49	0	0.342735365
33	50	0	0.353445845
34	51	0	0.364156325
35	53	0	0.374866805
36	54	0	0.385577285
37	56	0	0.396287766
38	57	0	0.406998246
39	58	0	0.417708726
40	60	0	0.428419206
41	61	0	0.439129686
42	63	0	0.449840166
43	64	0	0.460550647
44	66	0	0.471261127
45	67	0	0.481971607
46	69	0	0.492682087
47	70	0	0.503392567
48	72	0	0.514103047
49	73	0	0.524813527
50	74	0	0.535524008
51	76	0	0.546234488
52	77	0	0.556944968
53	78	0	0.567655448
54	80	0	0.578365928
55	81	0	0.589076408
56	83	0	0.599786888
57	84	0	0.610497369
58	85	0	0.621207849
59	87	0	0.631918329
60	88	0	0.642628809
61	89	0	0.653339289
62	91	0	0.664049769
63	92	0	0.67476025
64	93	0	0.68547073
65	95	0	0.69618121
66	96	0	0.70689169
67	97	0	0.71760217
68	99	0	0.72831265
69	100	0	0.73902313
70	101	0	0.749733611
71	103	0	0.760444091
72	104	0	0.771154571
73	106	0	0.781865051
74	107	0	0.792575531
75	108	0	0.803286011
76	109	0	0.813996492
77	111	0	0.824706972
78	112	0	0.835417452
79	113	0	0.846127932
80	115	0	0.856838412
81	116	0	0.867548892
82	117	0	0.878259372
83	118	0	0.888969853
84	120	0	0.899680333
85	121	0	0.910390813
86	123	0	0.921101293
87	124	0	0.931811773
88	125	0	0.942522253
89	127	0	0.953232733
90	128	0	0.963943214
91	129	0	0.974653694
92	131	0	0.985364174
93	132	0	0.996074654
94	134	0	1.00678513
95	135	0	1.01749561
96	137	0	1.02820609
97	138	0	1.03891657
98	140	0	1.04962705
99	141	0	1.06033753
