Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0173887856	0.002416133	0.002416133	0.002416133	0.002416133	0	0	0	0	0	0	0	3
2	2	0	0.0347775712	0.0171235165	0.00976982474	0.002416133	0.0171235165	0.00735369175	0	0	0	0	0	0	3
3	3	0	0.0521663568	0.171388146	0.0636425984	0.002416133	0.171388146	0.0612264654	0	0	0	0	0	0	3
4	3	0	0.0695551424	0.386771399	0.144424799	0.002416133	0.386771399	0.142008666	0	0	0	0	0	0	3
5	3	0	0.0869439281	0.64224497	0.243988833	0.002416133	0.64224497	0.2415727	0	0	0	0	0	0	3
6	3	0	0.104332714	0.871909291	0.348642243	0.002416133	0.871909291	0.34622611	0	0	0	0	0	0	3
7	4	0	0.121721499	1.32902928	0.488697533	0.002416133	1.32902928	0.4862814	0	0	0	0	0	0	3
8	4	0	0.139110285	2.07739841	0.687285143	0.002416133	2.07739841	0.68486901	0	0	0	0	0	0	3
9	4	0	0.15649907	3.01921082	0.946387996	0.002416133	3.01921082	0.943971863	0	0	0	0	0	0	3
10	4	0	0.173887856	4.1298069	1.26472989	0.002416133	4.1298069	1.26231375	0	0	0	0	0	0	3
11	4	0	0.191276642	4.96753015	1.60134809	0.002416133	4.96753015	1.59893196	0	0	0	0	0	0	3
12	5	0	0.208665427	5.68599588	1.94173541	0.002416133	5.68599588	1.93931927	0	0	0	0	0	0	3
13	5	0	0.226054213	5.99275443	2.25335226	0.002416133	5.99275443	2.25093612	0	0	0	0	0	0	3
14	5	0	0.243442999	6.18356583	2.5340818	0.002416133	6.18356583	2.53166566	0	0	0	0	0	0	3
15	5	0	0.260831784	6.43508669	2.79414879	0.002416133	6.43508669	2.79173266	0	0	0	0	0	0	3
16	5	0	0.27822057	6.63150181	3.03398335	0.002416133	6.63150181	3.03156722	0	0	0	0	0	0	3
17	6	0	0.295609355	6.79805982	3.25539962	0.002416133	6.79805982	3.25298348	0	0	0	0	0	0	3
18	6	0	0.312998141	6.90658509	3.45824325	0.002416133	6.90658509	3.45582712	0	0	0	0	0	0	3
19	6	0	0.330386927	6.89836729	3.63930241	0.002416133	6.90658509	3.63688628	0	0	0	0	0	0	3
20	6	0	0.347775712	6.88667179	3.80167088	0.002416133	6.90658509	3.79925475	0	0	0	0	0	0	3
21	7	0	0.365164498	6.86490688	3.94753926	0.002416133	6.90658509	3.94512313	0	0	0	0	0	0	3
22	7	0	0.382553283	6.94338374	4.08371401	0.002416133	6.94338374	4.08129788	0	0	0	0	0	0	3
23	7	0	0.399942069	7.13059273	4.216187	0.002416133	7.13059273	4.21377087	0	0	0	0	0	0	3
24	7	0	0.417330855	7.32650635	4.34578364	0.002416133	7.32650635	4.34336751	0	0	0	0	0	0	3
