Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0173887856	293.14234	293.14234	293.14234	293.14234	0	0	0	0	115.533	0	0	3
2	2	0	0.0347775712	293.150626	293.146483	293.14234	293.150626	0.00414316254	0	0	0	81.7089	0	0	3
3	3	0	0.0521663568	293.159042	293.150669	293.14234	293.159042	0.00832970047	0	0	0	200.566	0	0	3
4	3	0	0.0695551424	293.177106	293.157279	293.14234	293.177106	0.0149389245	0	0	0	266.863	0	0	3
5	3	0	0.0869439281	293.187938	293.163411	293.14234	293.187938	0.021070842	0	0	0	332.345	0	0	3
6	3	0	0.104332714	293.208134	293.170864	293.14234	293.208134	0.0285247467	0	0	0	381.808	0	0	3
7	4	0	0.121721499	293.201635	293.17526	293.14234	293.208134	0.0329205887	0	0	0	440.985	0	0	3
8	4	0	0.139110285	293.174592	293.175177	293.14234	293.208134	0.0329205887	0	0	0	489.443	0	0	3
9	4	0	0.15649907	293.120229	293.169071	293.120229	293.208134	0.0329205887	0	0	0	513.83	0	0	3
10	4	0	0.173887856	293.084918	293.160656	293.084918	293.208134	0.0329205887	0	0	0	528.49	0	0	3
11	4	0	0.191276642	293.051207	293.150706	293.051207	293.208134	0.0329205887	0	0	0	580.809	0	0	3
12	5	0	0.208665427	293.011646	293.139118	293.011646	293.208134	0.0361424823	0	0	0	552.801	0	0	3
13	5	0	0.226054213	292.9789	293.126793	292.9789	293.208134	0.0484669443	0	0	0	547.699	0	0	3
14	5	0	0.243442999	292.957806	293.114723	292.957806	293.208134	0.0605374766	0	0	0	561.194	0	0	3
15	5	0	0.260831784	292.938356	293.102965	292.938356	293.208134	0.0722952453	0	0	0	587.351	0	0	3
16	5	0	0.27822057	292.891877	293.089772	292.891877	293.208134	0.0854882472	0	0	0	513.303	0	0	3
17	6	0	0.295609355	292.858654	293.076177	292.858654	293.208134	0.0990834251	0	0	0	491.224	0	0	3
18	6	0	0.312998141	292.825234	293.062236	292.825234	293.208134	0.113024694	0	0	0	496.646	0	0	3
19	6	0	0.330386927	292.797204	293.048287	292.797204	293.208134	0.12697375	0	0	0	550.138	0	0	3
20	6	0	0.347775712	292.733343	293.032539	292.733343	293.208134	0.142720946	0	0	0	440.962	0	0	3
21	7	0	0.365164498	292.602606	293.012066	292.602606	293.208134	0.163193965	0	0	0	284.862	0	0	3
22	7	0	0.382553283	292.463488	292.987131	292.463488	293.208134	0.188129328	0	0	0	177.518	0	0	3
23	7	0	0.399942069	292.328972	292.958515	292.328972	293.208134	0.216744936	0	0	0	178.141	0	0	3
