Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0183241542	103521.002	103521.002	103521.002	103521.002	0	0	0	0	5.06947e+06	0	0	3
2	2	0	0.0366483084	106580.932	105050.967	103521.002	106580.932	1529.96495	0	0	0	5.06947e+06	0	0	3
3	2	0	0.0549724626	109846.044	106649.326	103521.002	109846.044	3128.32384	0	0	0	5.0702e+06	0	0	3
4	2	0	0.0732966168	113578.198	108381.544	103521.002	113578.198	4860.54172	0	0	0	5.07523e+06	0	0	3
5	2	0	0.091620771	118848.614	110474.958	103521.002	118848.614	6953.95566	0	0	0	5.08001e+06	0	0	3
6	2	0	0.109944925	129211.232	113597.67	103521.002	129211.232	10076.668	0	0	0	4.84513e+06	0	0	3
7	3	0	0.128269079	141200.102	117540.875	103521.002	141200.102	14019.8725	0	0	0	5.08667e+06	0	0	3
8	3	0	0.146593234	153342.45	122016.072	103521.002	153342.45	18495.0695	0	0	0	5.07826e+06	0	0	3
9	3	0	0.164917388	164189.274	126701.983	103521.002	164189.274	23180.9808	0	0	0	4.83345e+06	0	0	3
10	3	0	0.183241542	160373.831	130069.168	103521.002	164189.274	26548.1656	0	0	0	5.06945e+06	0	0	3
11	3	0	0.201565696	156964.586	132514.206	103521.002	164189.274	28993.2037	0	0	0	5.06944e+06	0	0	3
12	3	0	0.21988985	150454.525	134009.233	103521.002	164189.274	30488.2302	0	0	0	5.06944e+06	0	0	3
13	3	0	0.238214005	144356.706	134805.192	103521.002	164189.274	31284.1897	0	0	0	5.07017e+06	0	0	3
14	4	0	0.256538159	138042.537	135036.431	103521.002	164189.274	31515.4287	0	0	0	5.07311e+06	0	0	3
15	4	0	0.274862313	132105.009	134841.003	103521.002	164189.274	31515.4287	0	0	0	5.07544e+06	0	0	3
16	4	0	0.293186467	126412.363	134314.213	103521.002	164189.274	31515.4287	0	0	0	5.07992e+06	0	0	3
17	4	0	0.311510621	121106.252	133537.274	103521.002	164189.274	31515.4287	0	0	0	5.07926e+06	0	0	3
18	4	0	0.329834776	116073.614	132567.071	103521.002	164189.274	31515.4287	0	0	0	5.07929e+06	0	0	3
19	4	0	0.34815893	111377.17	131451.813	103521.002	164189.274	31515.4287	0	0	0	5.081e+06	0	0	3
20	4	0	0.366483084	108096.617	130284.053	103521.002	164189.274	31515.4287	0	0	0	5.08549e+06	0	0	3
21	5	0	0.384807238	104724.215	129066.918	103521.002	164189.274	31515.4287	0	0	0	5.08977e+06	0	0	3
22	5	0	0.403131392	104052.753	127929.91	103521.002	164189.274	31515.4287	0	0	0	5.09382e+06	0	0	3
23	5	0	0.421455547	104391.861	126906.517	103521.002	164189.274	31515.4287	0	0	0	5.09331e+06	0	0	3
24	5	0	0.439779701	105891.799	126030.904	103521.002	164189.274	31515.4287	0	0	0	5.08995e+06	0	0	3
25	5	0	0.458103855	110230.78	125398.899	103521.002	164189.274	31515.4287	0	0	0	5.08325e+06	0	0	3
26	5	0	0.476428009	114216.92	124968.823	103521.002	164189.274	31515.4287	0	0	0	5.07761e+06	0	0	3
27	5	0	0.494752163	116669.402	124661.437	103521.002	164189.274	31515.4287	0	0	0	5.0744e+06	0	0	3
28	6	0	0.513076318	118352.42	124436.115	103521.002	164189.274	31515.4287	0	0	0	5.0723e+06	0	0	3
29	6	0	0.531400472	121390.922	125074.326	104052.753	164189.274	29985.4637	0	0	0	5.07214e+06	0	0	3
30	6	0	0.549724626	123236.984	125669.185	104052.753	164189.274	28387.1048	0	0	0	5.07341e+06	0	0	3
31	6	0	0.56804878	129809.674	126382.172	104052.753	164189.274	26654.8869	0	0	0	5.0728e+06	0	0	3
32	6	0	0.586372934	133008.517	127076.112	104052.753	164189.274	24561.473	0	0	0	5.07554e+06	0	0	3
33	6	0	0.604697089	137446.64	127740.327	104052.753	164189.274	21438.7607	0	0	0	5.07885e+06	0	0	3
34	7	0	0.623021243	142591.259	128218.185	104052.753	164189.274	17495.5561	0	0	0	5.08261e+06	0	0	3
35	7	0	0.641345397	148123.448	128465.447	104052.753	164189.274	13020.3592	0	0	0	5.08693e+06	0	0	3
36	7	0	0.659669551	156662.862	128584.034	104052.753	164189.274	10600.3164	0	0	0	5.09031e+06	0	0	3
37	7	0	0.677993705	162251.928	128514.843	104052.753	162251.928	10600.3164	0	0	0	5.09434e+06	0	0	3
38	7	0	0.69631786	169335.732	128834.911	104052.753	169335.732	10600.3164	0	0	0	5.09816e+06	0	0	3
39	7	0	0.714642014	183955.573	129798.874	104052.753	183955.573	10600.3164	0	0	0	5.10179e+06	0	0	3
40	7	0	0.732966168	198991.288	131532.33	104052.753	198991.288	10600.3164	0	0	0	5.10526e+06	0	0	3
41	8	0	0.751290322	217157.602	134132.362	104052.753	217157.602	10600.3164	0	0	0	5.10864e+06	0	0	3
42	8	0	0.769614476	237160.753	137672.298	104052.753	237160.753	13236.1839	0	0	0	5.48954e+06	0	0	3
43	8	0	0.787938631	259105.966	142208.047	104052.753	259105.966	17771.9324	0	0	0	6.04582e+06	0	0	3
44	8	0	0.806262785	283169.923	147806.531	104052.753	283169.923	23370.4167	0	0	0	6.65659e+06	0	0	3
45	8	0	0.824586939	309498.726	154534.834	104052.753	309498.726	30098.7193	0	0	0	7.32767e+06	0	0	3
46	9	0	0.842911093	338294.91	162471.309	104052.753	338294.91	38035.1942	0	0	0	8.06713e+06	0	0	3
47	9	0	0.861235247	369132.54	171676.858	104052.753	369132.54	47240.7431	0	0	0	8.4883e+06	0	0	3
48	9	0	0.879559402	399811.893	182095.26	104052.753	399811.893	57659.1458	0	0	0	8.06237e+06	0	0	3
49	9	0	0.897883556	423509.923	193480.464	104052.753	423509.923	69044.3497	0	0	0	7.77515e+06	0	0	3
50	9	0	0.91620771	439641.182	205465.765	104391.861	439641.182	81029.6507	0	0	0	7.38473e+06	0	0	3
51	9	0	0.934531864	457050.256	218060.708	105891.799	457050.256	93624.5934	0	0	0	7.04631e+06	0	0	3
52	10	0	0.952856018	486072.875	231638.604	110230.78	486072.875	107202.489	0	0	0	6.69212e+06	0	0	3
53	10	0	0.971180173	523265.893	246389.858	114216.92	523265.893	121953.743	0	0	0	6.50929e+06	0	0	3
54	10	0	0.989504327	542292.518	261678.272	116669.402	542292.518	137242.157	0	0	0	6.32092e+06	0	0	3
55	10	0	1.00782848	560584.228	277532.373	118352.42	560584.228	153096.258	13695.9443	0	8.9	6.39867e+06	0	0	3
56	10	0	1.02615264	598922.734	294695.598	121390.922	598922.734	169621.272	14846.0995	0	8.7	6.51274e+06	0	0	3
57	11	0	1.04447679	609865.952	312141.135	123236.984	609865.952	186471.95	15010.2477	0	8	6.52928e+06	0	0	3
58	11	0	1.06280094	617165.464	329781.438	129809.674	617165.464	203399.266	15137.9589	0	7.4	6.35008e+06	0	0	3
59	11	0	1.0811251	606246.067	346797.023	133008.517	617165.464	219720.912	15201.8145	0	6.9	6.35658e+06	0	0	3
60	11	0	1.09944925	599192.771	363446.461	137446.64	617165.464	235706.134	15240.1279	0	6.4	6.12827e+06	0	0	3
61	11	0	1.11777341	586334.083	379478.155	142591.259	617165.464	251259.97	15265.6701	0	6	6.02627e+06	0	0	3
62	12	0	1.13609756	577008.107	394993.043	148123.448	617165.464	266527.595	15283.9146	0	5.7	5.9787e+06	0	0	3
63	12	0	1.15442171	567016.84	409953.521	156662.862	617165.464	281438.678	15297.5979	0	5.4	5.92043e+06	0	0	3
64	12	0	1.17274587	557075.359	424253.967	162251.928	617165.464	295739.125	15308.2405	0	5.1	5.87936e+06	0	0	3
65	12	0	1.19107002	547598.879	438016.358	169335.732	617165.464	309181.448	15316.7546	0	4.9	5.82966e+06	0	0	3
66	13	0	1.20939418	538915.241	451215.627	183955.573	617165.464	321416.752	15323.7207	0	4.7	5.83158e+06	0	0	3
67	13	0	1.22771833	530515.907	463592.781	198991.288	617165.464	332060.451	15329.5257	0	4.6	5.81345e+06	0	0	3
68	13	0	1.24604249	523075.159	475167.205	217157.602	617165.464	341034.843	15334.4377	0	4.4	5.81356e+06	0	0	3
69	13	0	1.26436664	515664.146	485828.153	237160.753	617165.464	348155.855	15338.648	0	4.4	5.79254e+06	0	0	3
70	13	0	1.28269079	509715.482	495562.251	259105.966	617165.464	353354.204	15342.2969	0	4.3	5.79662e+06	0	0	3
71	14	0	1.30101495	503885.125	504304.364	283169.923	617165.464	333995.541	15345.4896	0	4.5	5.77251e+06	0	0	3
72	14	0	1.3193391	499232.594	512020.888	309498.726	617165.464	307666.738	15348.3068	0	4.9	5.76608e+06	0	0	3
73	14	0	1.33766326	495237.378	518654.411	338294.91	617165.464	278870.555	15350.8109	0	5.5	5.74859e+06	0	0	3
74	14	0	1.35598741	492063.312	524146.14	369132.54	617165.464	248032.924	15353.0515	0	6.1	5.73989e+06	0	0	3
75	14	0	1.37431156	489596.252	528448.415	399811.893	617165.464	217353.571	15355.068	0	7	5.71781e+06	0	0	3
76	14	0	1.39263572	487991.002	531597.669	423509.923	617165.464	193655.541	15356.8924	0	7.9	5.7088e+06	0	0	3
77	15	0	1.41095987	487278.069	533875.103	439641.182	617165.464	177524.282	15358.0886	0	8.6	5.69483e+06	0	0	3
78	15	0	1.42928403	486641.492	535553.685	457050.256	617165.464	160115.208	15357.2243	0	9.5	5.68354e+06	0	0	3
79	15	0	1.44760818	486841.503	536617.658	486072.875	617165.464	131092.589	15351.0083	0	11.7	5.66905e+06	0	0	3
80	15	0	1.46593234	487269.618	536660.399	486641.492	617165.464	130523.972	15340.5062	0	11.7	5.65764e+06	0	0	3
81	16	0	1.48425649	488465.694	535417.535	486641.492	617165.464	130523.972	15327.9822	0	11.7	5.64321e+06	0	0	3
82	16	0	1.50258064	489526.786	533533.044	486641.492	617165.464	130523.972	15314.5159	0	11.7	5.61676e+06	0	0	3
83	16	0	1.5209048	490410.629	531026.844	486641.492	617165.464	130523.972	15298.7559	0	11.7	5.60334e+06	0	0	3
84	16	0	1.53922895	491810.412	527201.404	486641.492	617165.464	130523.972	15282.1731	0	11.7	5.60712e+06	0	0	3
85	16	0	1.55755311	493064.083	523029.909	486641.492	617165.464	130523.972	15260.1231	0	11.6	5.60472e+06	0	0	3
86	17	0	1.57587726	494452.218	518647.293	486641.492	606246.067	119604.575	15236.4001	0	12.7	5.61018e+06	0	0	3
87	17	0	1.59420142	495640.787	514697.104	486641.492	599192.771	112551.279	15209.999	0	13.5	5.59675e+06	0	0	3
88	17	0	1.61252557	496544.863	511031.108	486641.492	586334.083	99692.5916	15180.521	0	15.2	5.59558e+06	0	0	3
89	17	0	1.63084972	497242.161	507849.253	486641.492	577008.107	90366.6148	15147.8957	0	16.7	5.58394e+06	0	0	3
90	17	0	1.64917388	498058.569	505029.627	486641.492	567016.84	80375.3478	15109.8152	0	18.7	5.58557e+06	0	0	3
91	18	0	1.66749803	498689.95	502589.381	486641.492	557075.359	70433.8668	15069.1927	0	21.3	5.5815e+06	0	0	3
92	18	0	1.68582219	499639.441	500538.098	486641.492	547598.879	60957.3875	15025.0224	0	24.6	5.58013e+06	0	0	3
93	18	0	1.70414634	500292.789	498848.595	486641.492	538915.241	52273.7491	14971.6349	0	28.6	5.56845e+06	0	0	3
94	18	0	1.72247049	500929.231	497491.952	486641.492	530515.907	43874.4149	14909.4193	0	33.9	5.56345e+06	0	0	3
95	18	0	1.74079465	502041.507	496475.009	486641.492	523075.159	36433.667	14836.6897	0	40.7	5.55962e+06	0	0	3
96	19	0	1.7591188	502496.394	495740.053	486641.492	515664.146	29022.6538	14752.8714	0	50.8	5.55319e+06	0	0	3
97	19	0	1.77744296	503022.194	495288.555	486641.492	509715.482	23073.9906	14657.3694	0	63.5	5.54412e+06	0	0	3
98	19	0	1.79576711	503780.656	495076.597	486641.492	503885.125	17243.6336	14549.5205	0	84.3	5.53931e+06	0	0	3
99	19	0	1.81409127	504326.146	495092.347	486641.492	504326.146	17684.6547	14428.6223	0	81.5	5.53102e+06	0	0	3
100	19	0	1.83241542	504984.436	495297.77	486641.492	504984.436	18342.9446	14293.9	0	77.9	5.52738e+06	0	0	3
101	20	0	1.85073957	505493.438	495664.058	486641.492	505493.438	18851.9465	14144.9236	0	75	5.5192e+06	0	0	3
102	20	0	1.86906373	506221.329	496169.702	486641.492	506221.329	19579.8368	13982.7041	0	71.4	5.51539e+06	0	0	3
103	20	0	1.88738788	507011.444	496791.673	486641.492	507011.444	20369.9524	13812.4325	0	67.8	5.51571e+06	0	0	3
104	20	0	1.90571204	507798.05	497499.067	486641.492	507798.05	21156.5586	13695.9443	0	64.7	5.51232e+06	0	0	3
105	21	0	1.92403619	508239.772	498247.7	486641.492	508239.772	21598.2804	13695.9443	0	63.4	5.50881e+06	0	0	3
106	21	0	1.94236035	509086.993	499049.325	486841.503	509086.993	22245.4903	13695.9443	0	61.5	5.50419e+06	0	0	3
107	21	0	1.9606845	509290.652	499851.08	487269.618	509290.652	22021.0343	13695.9443	0	62.1	5.49997e+06	0	0	3
108	21	0	1.97900865	509937.736	500660.656	488465.694	509937.736	21472.0415	13695.9443	0	63.7	5.49454e+06	0	0	3
109	22	0	1.99733281	510114.453	501433.826	489526.786	510114.453	20587.6668	13695.9443	0	66.5	5.48928e+06	0	0	3
110	22	0	2.01565696	510816.144	502194.16	490410.629	510816.144	20405.515	13695.9443	0	67.1	5.48362e+06	0	0	3
111	22	0	2.03398112	510959.168	502928.036	491810.412	510959.168	19148.7563	13695.9443	0	71.5	5.48004e+06	0	0	3
112	22	0	2.05230527	511476.263	503630.388	493064.083	511476.263	18412.1802	13695.9443	0	74.3	5.47325e+06	0	0	3
113	22	0	2.07062942	511627.219	504293.357	494452.218	511627.219	17175.0005	13695.9443	0	79.7	5.46794e+06	0	0	3
114	23	0	2.08895358	511807.345	504913.183	495640.787	511807.345	16166.5579	13695.9443	0	84.7	5.45932e+06	0	0	3
115	23	0	2.10727773	511892.403	505493.598	496544.863	511892.403	15347.5405	13695.9443	0	89.2	5.45257e+06	0	0	3
116	23	0	2.12560189	512321.519	506057.05	497242.161	512321.519	12772.6567	13695.9443	0	100	5.44703e+06	0	0	3
117	23	0	2.14392604	512485.406	506601.452	498058.569	512485.406	11524.855	13695.9443	0	100	5.4397e+06	0	0	3
118	24	0	2.1622502	512756.069	507126.362	498689.95	512756.069	12049.7657	13695.9443	0	100	5.4351e+06	0	0	3
119	24	0	2.18057435	512875.329	507632.983	499639.441	512875.329	12556.3864	13695.9443	0	100	5.42686e+06	0	0	3
120	24	0	2.1988985	513185.833	508116.783	500292.789	513185.833	12893.0443	13695.9443	0	100	5.42373e+06	0	0	3
121	24	0	2.21722266	513178.384	508576.983	500929.231	513185.833	12256.6024	13695.9443	0	100	5.4157e+06	0	0	3
122	25	0	2.23554681	513481.351	509025.273	502041.507	513481.351	11439.8444	13695.9443	0	100	5.41084e+06	0	0	3
123	25	0	2.25387097	513313.11	509427.83	502496.394	513481.351	10984.9568	13695.9443	0	100	5.40143e+06	0	0	3
124	25	0	2.27219512	513555.759	509822.807	503022.194	513555.759	10533.5649	13695.9443	0	100	5.39719e+06	0	0	3
125	25	0	2.29051927	513650.663	510202.395	503780.656	513650.663	9870.00708	13695.9443	0	100	5.38965e+06	0	0	3
126	25	0	2.30884343	514027.052	510568.338	504326.146	514027.052	9700.90543	13695.9443	0	100	5.3851e+06	0	0	3
127	26	0	2.32716758	514053.768	510915.753	504984.436	514053.768	9069.3312	13695.9443	0	100	5.3765e+06	0	0	3
