Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0183241542	293.105466	293.105466	293.105466	293.105466	0	0	0	0	146.34	0	0	3
2	2	0	0.0366483084	293.108955	293.107211	293.105466	293.108955	0.00174441834	0	0	0	327.055	0	0	3
3	2	0	0.0549724626	293.116917	293.110446	293.105466	293.116917	0.00498005193	0	0	0	418.002	0	0	3
4	2	0	0.0732966168	293.141129	293.118117	293.105466	293.141129	0.0126507509	0	0	0	544.594	0	0	3
5	2	0	0.091620771	293.159339	293.126361	293.105466	293.159339	0.0208952176	0	0	0	696.426	0	0	3
6	2	0	0.109944925	293.171653	293.13391	293.105466	293.171653	0.0284438406	0	0	0	800.226	0	0	3
7	3	0	0.128269079	293.166439	293.138557	293.105466	293.171653	0.033090863	0	0	0	794.036	0	0	3
8	3	0	0.146593234	293.157892	293.140974	293.105466	293.171653	0.0355077854	0	0	0	820.832	0	0	3
9	3	0	0.164917388	293.125105	293.139211	293.105466	293.171653	0.0355077854	0	0	0	843.584	0	0	3
10	3	0	0.183241542	293.082805	293.13357	293.082805	293.171653	0.0355077854	0	0	0	846.762	0	0	3
11	3	0	0.201565696	293.051056	293.126069	293.051056	293.171653	0.0355077854	0	0	0	1269.56	0	0	3
12	3	0	0.21988985	293.030941	293.118142	293.030941	293.171653	0.0355077854	0	0	0	1276.75	0	0	3
13	3	0	0.238214005	293.013898	293.110123	293.013898	293.171653	0.0355077854	0	0	0	1282.82	0	0	3
14	4	0	0.256538159	292.994737	293.101881	292.994737	293.171653	0.0390928641	0	0	0	1286.06	0	0	3
15	4	0	0.274862313	292.973761	293.09334	292.973761	293.171653	0.0476342176	0	0	0	1286.09	0	0	3
16	4	0	0.293186467	292.950573	293.084417	292.950573	293.171653	0.0565571131	0	0	0	1300.35	0	0	3
17	4	0	0.311510621	292.926202	293.07511	292.926202	293.171653	0.0658638791	0	0	0	1295.66	0	0	3
18	4	0	0.329834776	292.90475	293.065646	292.90475	293.171653	0.0753283215	0	0	0	1290.18	0	0	3
19	4	0	0.34815893	292.88614	293.056198	292.88614	293.171653	0.0847759834	0	0	0	1284.82	0	0	3
20	4	0	0.366483084	292.871083	293.046942	292.871083	293.171653	0.0940317131	0	0	0	1280.2	0	0	3
21	5	0	0.384807238	292.858303	293.037959	292.858303	293.171653	0.103014512	0	0	0	1222.53	0	0	3
22	5	0	0.403131392	292.860795	293.029906	292.858303	293.171653	0.111067449	0	0	0	1221.82	0	0	3
23	5	0	0.421455547	292.87324	293.023095	292.858303	293.171653	0.117879046	0	0	0	1221.98	0	0	3
24	5	0	0.439779701	292.893151	293.01768	292.858303	293.171653	0.123293377	0	0	0	1221.14	0	0	3
25	5	0	0.458103855	292.929812	293.014166	292.858303	293.171653	0.126808099	0	0	0	1220.09	0	0	3
26	5	0	0.476428009	292.968372	293.012404	292.858303	293.171653	0.128569383	0	0	0	1178.63	0	0	3
27	5	0	0.494752163	293.016752	293.012566	292.858303	293.171653	0.128569383	0	0	0	1175.97	0	0	3
28	6	0	0.513076318	293.065171	293.014444	292.858303	293.171653	0.128569383	0	0	0	1176.41	0	0	3
29	6	0	0.531400472	293.130686	293.015345	292.858303	293.171653	0.128569383	0	0	0	1175.81	0	0	3
30	6	0	0.549724626	293.204111	293.018743	292.858303	293.204111	0.128569383	0	0	0	1175.61	0	0	3
31	6	0	0.56804878	293.325989	293.02621	292.858303	293.325989	0.128569383	0	0	0	1101.65	0	0	3
32	6	0	0.586372934	293.463789	293.037734	292.858303	293.463789	0.128569383	0	0	0	1101.53	0	0	3
33	6	0	0.604697089	293.604767	293.053642	292.858303	293.604767	0.128569383	0	0	0	1101.49	0	0	3
34	7	0	0.623021243	293.772242	293.075092	292.858303	293.772242	0.128569383	0	0	0	1101.29	0	0	3
35	7	0	0.641345397	293.953386	293.103197	292.858303	293.953386	0.128569383	0	0	0	1100.59	0	0	3
36	7	0	0.659669551	294.275923	293.143126	292.858303	294.275923	0.130722008	0	0	0	1013.84	0	0	3
37	7	0	0.677993705	294.635382	293.197065	292.858303	294.635382	0.184660476	0	0	0	1013.7	0	0	3
38	7	0	0.69631786	295.08303	293.268502	292.858303	295.08303	0.256097088	0	0	0	1013.44	0	0	3
39	7	0	0.714642014	295.563412	293.358229	292.858303	295.563412	0.345824054	0	0	0	1013.08	0	0	3
40	7	0	0.732966168	296.147246	293.469525	292.858303	296.147246	0.457120647	0	0	0	1012.92	0	0	3
41	8	0	0.751290322	297.038736	293.613269	292.858303	297.038736	0.600864851	0	0	0	407.505	0	0	3
42	8	0	0.769614476	298.259837	293.801309	292.858303	298.259837	0.78890412	0	0	0	300.098	0	0	3
43	8	0	0.787938631	299.641692	294.039449	292.858303	299.641692	1.02704454	0	0	0	299.274	0	0	3
44	8	0	0.806262785	300.948615	294.325093	292.858303	300.948615	1.31268889	0	0	0	304.879	0	0	3
45	8	0	0.824586939	302.083243	294.652131	292.858303	302.083243	1.63972606	0	0	0	303.523	0	0	3
46	9	0	0.842911093	303.048622	295.014412	292.858303	303.048622	2.00200719	0	0	0	200.063	0	0	3
47	9	0	0.861235247	303.779133	295.403447	292.858303	303.779133	2.39104265	0	0	0	181.187	0	0	3
48	9	0	0.879559402	304.279747	295.810899	292.858303	304.279747	2.79849492	0	0	0	189.613	0	0	3
49	9	0	0.897883556	304.525052	296.227569	292.860795	304.525052	3.21516452	0	0	0	193.325	0	0	3
50	9	0	0.91620771	304.58398	296.646254	292.87324	304.58398	3.6338497	0	0	0	189.628	0	0	3
51	9	0	0.934531864	304.516261	297.062076	292.893151	304.58398	4.04967189	0	0	0	169.122	0	0	3
52	10	0	0.952856018	304.380927	297.472354	292.929812	304.58398	4.45994961	0	0	0	159.961	0	0	3
53	10	0	0.971180173	304.172669	297.873885	292.968372	304.58398	4.8614802	0	0	0	162.523	0	0	3
54	10	0	0.989504327	303.859753	298.262863	293.016752	304.58398	5.25029706	0	0	0	164.136	0	0	3
55	10	0	1.00782848	303.499033	298.63723	293.065171	304.58398	5.62278548	0.351770293	0	6.2	164.471	0	0	3
